Category,Amharic Sentence
Grammar Core,እኔ ትምህርት እማራለሁ።
Grammar Core,አንተ አመሰግናለሁ።
Grammar Core,እሱ ስራውን ጨርሷል።
Grammar Core,እርስዎ ገንዘብ ይደረሰበታል።
Grammar Core,እነርሱ ቤት አይገቡም።
Grammar Core,እኔ ነገ ወደ አሜሪካ እሄዳለሁ።
Grammar Core,እሱ ትምህርቱን ቀደመ።
Grammar Core,እናንተ ትረክባላችሁ?
Grammar Core,አስተማሪው ትምህርቱን ያስተምራል።
Grammar Core,ትእዛዙ ተከተለ።
Conversational Data,ሰላም እንዴት ነህ?
Conversational Data,ዛሬ ምን እንደምን አደር?
Conversational Data,እኔ በአሜሪካ እኖራለሁ።
Conversational Data,በቀጥታ እንገናኝ።
Conversational Data,ደስ ይላል፣ አንዳንድ ቀን እረፍ በለን።
Conversational Data,እሱ ተመለሰ?
Conversational Data,አንድ ሳምንት በኋላ ይደውላል።
Conversational Data,አቤት፣ አንድ ቀን በአንድ ስፍራ እንገናኝ።
Conversational Data,ምን አድርገህ ነበር?
Conversational Data,ወደ ቤትህ ምን ደርሰህ?
Code-Switching & Multilingualism,"ሰላም, how are you?"
Code-Switching & Multilingualism,እሱ work ማግኘት ይፈልጋል።
Code-Switching & Multilingualism,I will call you በማታ።
Code-Switching & Multilingualism,እርስዎ meeting እየቀመጡ ነው።
Code-Switching & Multilingualism,አሁን ወደ hotel እየሄድኩ ነኝ።
Code-Switching & Multilingualism,Let's meet በስራ አቀፍ ስፍራ።
Code-Switching & Multilingualism,ይህ ፕሮጄክት innovative ነው።
Code-Switching & Multilingualism,አንዳንድ Amharic words አልሰማሁም።
Code-Switching & Multilingualism,Email ይላኩልኝ።
Code-Switching & Multilingualism,ወደዚህ restaurant እንሄድ።
Formal & Professional Speech,እንኳን ወደ ዚህ ድርጅት በደህና መጡ።
Formal & Professional Speech,የስራው የቅድመ ሁኔታ አስፈላጊ ነው።
Formal & Professional Speech,የውሂብ መገንቢያው ተጠየቀ።
Formal & Professional Speech,በስራ ሳቢያ ተመለሰ።
Formal & Professional Speech,የድርጅት አሰራር የተሟሟል።
Formal & Professional Speech,በኢንቨስትመንት የቀደምነው ግለጽ ይሰጣል።
Formal & Professional Speech,የተመረጡት ተሳታፊዎች በዝርዝር ተረዳ።
