Category,Sentence_AR
Grammar Core (Sentence Structures & Tenses),أنا كنقرا دابا.
Grammar Core (Sentence Structures & Tenses),هو كان كيمشي للسوق كل نهار.
Grammar Core (Sentence Structures & Tenses),غادي نسافر غدا.
Grammar Core (Sentence Structures & Tenses),لو كنت فبلاصتو، غادي ندير نفس الحاجة.
Grammar Core (Sentence Structures & Tenses),ماشي مشكل، غادي نحاول مرّة أخرى.
Grammar Core (Sentence Structures & Tenses),خاصّك تهز المظلة حيت كاين الشتا.
Grammar Core (Sentence Structures & Tenses),علاش ما جيتيش البارح؟
Grammar Core (Sentence Structures & Tenses),واش كتعرف شنو خاصّنا نديرو؟
Grammar Core (Sentence Structures & Tenses),إلا كنتي مريض، خاصّك ترتاح.
Grammar Core (Sentence Structures & Tenses),هاد الكتاب تكتب بزاف ديال الوقت.
Conversational Data (Real-Life Dialogues & Exchanges),سلام، كيف داير؟
Conversational Data (Real-Life Dialogues & Exchanges),كلشي مزيان، وانت؟
Conversational Data (Real-Life Dialogues & Exchanges),فين مشيتي البارح؟
Conversational Data (Real-Life Dialogues & Exchanges),مشيت نجيب شي حوايج من السوق.
Conversational Data (Real-Life Dialogues & Exchanges),واش شفت الفيلم الجديد ديال مارفل؟
Conversational Data (Real-Life Dialogues & Exchanges),واش بغيت تاخد شي قهوة معايا؟
Conversational Data (Real-Life Dialogues & Exchanges),شكرا بزاف، ولكن عندي خدمة دابا.
Conversational Data (Real-Life Dialogues & Exchanges),يلا تبدلتي الرأي، قوليها لي.
Conversational Data (Real-Life Dialogues & Exchanges),أنا جاي في الطريق، ما تبعدش!
Conversational Data (Real-Life Dialogues & Exchanges),عفاك، شحال الساعة دابا؟
Code-Switching & Multilingualism,أنا غادي ندير download ديال هاد الفيلم.
Code-Switching & Multilingualism,خديت rendez-vous مع الطبيب.
Code-Switching & Multilingualism,بغيت نcheckي الإيميل ديالي.
Code-Switching & Multilingualism,فين كاين الـ Wi-Fi؟
Code-Switching & Multilingualism,محتاج update لبرنامج ديالي.
Code-Switching & Multilingualism,عفاك tagيني فالصورة.
Code-Switching & Multilingualism,كاين discount فهاد المحل.
Code-Switching & Multilingualism,أنا غادي ندير shopping غدا.
Code-Switching & Multilingualism,سولتو on WhatsApp.
Code-Switching & Multilingualism,واش عندك Facebook؟
"Formal & Professional Speech (Business, Legal, Medical, Technical)",الموظفين خاصّهم يجيوا مع الثامنة صباحًا.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",هذا العقد كيتطلب توقيع الطرفين.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",العملية الجراحية غادي تكون مع الطبيب المختص.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",حسب القانون، خاصّك تدفع الضرائب فهاد الوقت.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",باش تفتح حساب بنكي، خاصّك بطاقة تعريف.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",عندنا اجتماع مهم مع المدير.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",الدواء خاصّك تاخدو قبل الفطور.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",هاد الشركة متخصصة فالتكنولوجيا الحديثة.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",الاقتصاد غادي يعرف نمو كبير هاد العام.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",الزبناء كيعتمدوا علينا فالتوصيل السريع.
"Idioms, Proverbs & Cultural Expressions",اليد وحدة ما تصفقش.
"Idioms, Proverbs & Cultural Expressions",اللي دواك بدموعو، خلاك بعيونو.
"Idioms, Proverbs & Cultural Expressions",العين ما تعلاش على الحاجب.
"Idioms, Proverbs & Cultural Expressions",الله يجيب اللي يفهمنا وما يظلمنا.
"Idioms, Proverbs & Cultural Expressions",اللّي بغا العسل خاصّو يصبر على قرص النحل.
"Idioms, Proverbs & Cultural Expressions",الرزق تحت رجلين الأسد.
"Idioms, Proverbs & Cultural Expressions",ما يدوم غير المعقول.
"Idioms, Proverbs & Cultural Expressions",الجار قبل الدار.
"Idioms, Proverbs & Cultural Expressions",الحياة كالبحر، يوم هادئ ويوم هائج.
"Idioms, Proverbs & Cultural Expressions",المزوق من برا، أش خبارك من الداخل؟
Question-Answer Pairs (FAQ & Contextual Understanding),شحال الساعة دابا؟
Question-Answer Pairs (FAQ & Contextual Understanding),فين كاين أقرب صيدلية؟
Question-Answer Pairs (FAQ & Contextual Understanding),كيفاش نقدرو نوصلو للمطار؟
Question-Answer Pairs (FAQ & Contextual Understanding),شكون هو مؤسس هاد الشركة؟
Question-Answer Pairs (FAQ & Contextual Understanding),كيفاش نقدر نصلح التليفون ديالي؟
Question-Answer Pairs (FAQ & Contextual Understanding),علاش السماء زرقاء؟
Question-Answer Pairs (FAQ & Contextual Understanding),فين نقدر نلقى الحوايج الرخاص؟
Question-Answer Pairs (FAQ & Contextual Understanding),كيفاش نطيب الطاجين المغربي؟
Question-Answer Pairs (FAQ & Contextual Understanding),علاش ما جيتيش البارح؟
Question-Answer Pairs (FAQ & Contextual Understanding),شحال خاصني ندفع باش نكرّي طاكسي؟
Commands & Instructions (Imperative Sentences),سد الباب.
Commands & Instructions (Imperative Sentences),كتب اسمك هنا.
Commands & Instructions (Imperative Sentences),وقف هنا واحد دقيقة.
Commands & Instructions (Imperative Sentences),حط التليفون فوق الطابلة.
Commands & Instructions (Imperative Sentences),متنساش تجيب الحليب معاك.
Commands & Instructions (Imperative Sentences),سير جيب ليّا الما.
