Category,Sentence
Grammar Core (Sentence Structures & Tenses),Saya telah membaca buku itu kemarin.
Grammar Core (Sentence Structures & Tenses),Dia akan pergi ke Jakarta besok.
Grammar Core (Sentence Structures & Tenses),"Jika saya punya uang, saya akan membeli mobil baru."
Grammar Core (Sentence Structures & Tenses),Rumah itu sedang dibangun oleh para pekerja.
Grammar Core (Sentence Structures & Tenses),Dia tidak ingin makan malam hari ini.
Grammar Core (Sentence Structures & Tenses),Apakah kamu sudah menyelesaikan tugasmu?
Grammar Core (Sentence Structures & Tenses),Mereka telah tinggal di Bali selama tiga tahun.
Grammar Core (Sentence Structures & Tenses),"Kalau hujan, saya tidak akan keluar rumah."
Grammar Core (Sentence Structures & Tenses),Kami sedang menonton film saat telepon berbunyi.
Grammar Core (Sentence Structures & Tenses),Surat itu telah dikirim oleh sekretaris.
Conversational Data (Real-Life Dialogues & Exchanges),Halo! Apa kabar?
Conversational Data (Real-Life Dialogues & Exchanges),"Saya baik-baik saja, bagaimana denganmu?"
Conversational Data (Real-Life Dialogues & Exchanges),Kamu mau makan di mana hari ini?
Conversational Data (Real-Life Dialogues & Exchanges),Saya ingin pergi ke kafe baru di pusat kota.
Conversational Data (Real-Life Dialogues & Exchanges),Bisa tolong jelaskan lagi? Saya kurang paham.
Conversational Data (Real-Life Dialogues & Exchanges),"Maaf, saya terlambat. Lalu lintas sangat padat."
Conversational Data (Real-Life Dialogues & Exchanges),Berapa harga tiket ke Yogyakarta?
Conversational Data (Real-Life Dialogues & Exchanges),Saya akan menghubungimu nanti malam.
Conversational Data (Real-Life Dialogues & Exchanges),"Senang berbicara denganmu, sampai jumpa!"
Conversational Data (Real-Life Dialogues & Exchanges),Apakah kamu ingin minum kopi atau teh?
Code-Switching & Multilingualism,Besok saya ada meeting dengan klien di hotel.
Code-Switching & Multilingualism,Kamu bisa forward email itu ke saya?
Code-Switching & Multilingualism,"Aku lagi di mall, sebentar ya."
Code-Switching & Multilingualism,Tolong check-in untuk flight kita besok.
Code-Switching & Multilingualism,Ini adalah startup baru yang fokus di AI.
Code-Switching & Multilingualism,Kamu bisa download aplikasi ini di Play Store.
Code-Switching & Multilingualism,Saya sudah submit tugas ke Google Classroom.
Code-Switching & Multilingualism,Ini adalah deadline terakhir untuk proyek ini.
Code-Switching & Multilingualism,Bisa kasih feedback tentang proposal saya?
Code-Switching & Multilingualism,Saya akan call kamu setelah rapat selesai.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Berdasarkan laporan keuangan, pendapatan perusahaan meningkat 15%."
