category,croatian_sentence
Grammar Core (Sentence Structures & Tenses),Učim hrvatski jezik svaki dan.
Grammar Core (Sentence Structures & Tenses),Jučer sam učio matematiku.
Grammar Core (Sentence Structures & Tenses),Sutra ću učiti povijest.
Grammar Core (Sentence Structures & Tenses),"Da imam više vremena, učio bih glazbu."
Grammar Core (Sentence Structures & Tenses),Ne učim često fiziku.
Grammar Core (Sentence Structures & Tenses),Gramatika se uči u školi.
Grammar Core (Sentence Structures & Tenses),Učit ćemo zajedno večeras.
Grammar Core (Sentence Structures & Tenses),"Bio sam učio, ali nisam završio lekciju."
Grammar Core (Sentence Structures & Tenses),Nisam učio tijekom vikenda.
Grammar Core (Sentence Structures & Tenses),"Kad bih mogao, učio bih još jedan jezik."
Conversational Data (Real-Life Dialogues & Exchanges),Bok! Kako si danas?
Conversational Data (Real-Life Dialogues & Exchanges),"Dobro sam, hvala. A ti?"
Conversational Data (Real-Life Dialogues & Exchanges),Idemo na kavu kasnije?
Conversational Data (Real-Life Dialogues & Exchanges),Može! U koliko sati?
Conversational Data (Real-Life Dialogues & Exchanges),Vidimo se u pet ispred kina.
Conversational Data (Real-Life Dialogues & Exchanges),Zaboravio sam ti reći nešto važno.
Conversational Data (Real-Life Dialogues & Exchanges),Što planiraš za vikend?
Conversational Data (Real-Life Dialogues & Exchanges),Idem s obitelji na izlet.
Conversational Data (Real-Life Dialogues & Exchanges),Zvuči zabavno! Uživaj!
Conversational Data (Real-Life Dialogues & Exchanges),Hvala! Čujemo se uskoro.
Code-Switching & Multilingualism,"Idem u školu, ali first I need my backpack."
Code-Switching & Multilingualism,Možemo se naći poslijepodne after lunch?
Code-Switching & Multilingualism,Danas imam meeting s profesorom.
Code-Switching & Multilingualism,Ona je really good at math.
Code-Switching & Multilingualism,Idem na kavu with my best friend.
Code-Switching & Multilingualism,"Znaš što, that's not fair!"
Code-Switching & Multilingualism,"Možeš mi pomoći, please?"
Code-Switching & Multilingualism,Idemo shopping u subotu.
Code-Switching & Multilingualism,On je bio u Londonu last summer.
Code-Switching & Multilingualism,Trebam submitati taj dokument do sutra.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Poštovani gospodine, molimo Vas da ispunite obrazac."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Sastanak je zakazan za ponedjeljak u 10 sati.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Pacijent je stabilan, ali pod stalnim nadzorom."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ugovor stupa na snagu dana potpisivanja.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Potrebno je provesti dodatna ispitivanja.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Molimo dostavite sve relevantne dokumente.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Projekt uključuje analizu i evaluaciju podataka.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Izvješće će biti poslano na reviziju.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Odluka je donesena jednoglasno.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Molimo Vas za hitan odgovor na naš upit.
"Idioms, Proverbs & Cultural Expressions",Bolje vrabac u ruci nego golub na grani.
"Idioms, Proverbs & Cultural Expressions","Tko rano rani, dvije sreće grabi."
"Idioms, Proverbs & Cultural Expressions",Imaš oči kao sokol.
"Idioms, Proverbs & Cultural Expressions",Nije zlato sve što sja.
"Idioms, Proverbs & Cultural Expressions",Pao je s Marsa.
"Idioms, Proverbs & Cultural Expressions",Drži vodu dok majstori odu.
"Idioms, Proverbs & Cultural Expressions",Trn u oku.
"Idioms, Proverbs & Cultural Expressions","Tresla se brda, rodio se miš."
"Idioms, Proverbs & Cultural Expressions",Kao riba u vodi.
"Idioms, Proverbs & Cultural Expressions",Ne pada jabuka daleko od stabla.
Question-Answer Pairs (FAQ & Contextual Understanding),Što je glavni grad Hrvatske?
Question-Answer Pairs (FAQ & Contextual Understanding),Koliko traje školski sat?
Question-Answer Pairs (FAQ & Contextual Understanding),Koji je danas datum?
Question-Answer Pairs (FAQ & Contextual Understanding),Kako se zoveš?
Question-Answer Pairs (FAQ & Contextual Understanding),Zašto učiš hrvatski?
Question-Answer Pairs (FAQ & Contextual Understanding),Gdje radi tvoja sestra?
Question-Answer Pairs (FAQ & Contextual Understanding),Kada počinje predstava?
Question-Answer Pairs (FAQ & Contextual Understanding),Tko je napisao ovu knjigu?
Question-Answer Pairs (FAQ & Contextual Understanding),Kako se kaže 'hello' na hrvatskom?
Question-Answer Pairs (FAQ & Contextual Understanding),Koliko košta karta?
Commands & Instructions (Imperative Sentences),Otvorite prozor!
Commands & Instructions (Imperative Sentences),Zatvori vrata.
Commands & Instructions (Imperative Sentences),"Molim vas, sjednite."
Commands & Instructions (Imperative Sentences),Nazovi me sutra.
Commands & Instructions (Imperative Sentences),Nemoj zaboraviti domaću zadaću.
Commands & Instructions (Imperative Sentences),Pričekaj me ovdje.
Commands & Instructions (Imperative Sentences),Pogledaj ovaj dokument.
Commands & Instructions (Imperative Sentences),Pripremi izvještaj do petka.
Commands & Instructions (Imperative Sentences),"Obuci jaknu, vani je hladno."
Commands & Instructions (Imperative Sentences),"Požuri, kasnimo!"
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ana ide u Zagreb svaki vikend.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Google je poznata tehnološka tvrtka.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ivan i Petra putuju u Italiju u lipnju.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Konferencija će se održati 5. svibnja.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",UNESCO je priznao Dioklecijanovu palaču.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Facebook je promijenio ime u Meta.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Petar radi u Ministarstvu obrazovanja.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Rijeka teče kroz grad Karlovac.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Apple je lansirao novi proizvod u ožujku.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Zoran Milanović je predsjednik Hrvatske.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ovaj film je bio fantastičan!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ne sviđa mi se okus ove juhe.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Presretan sam zbog tvoje promocije.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Dan mi je bio jako naporan.
