Category,Sentence (Hausa)
Grammar Core (Sentence Structures & Tenses),Na je kasuwa jiya.
Grammar Core (Sentence Structures & Tenses),Zan je makaranta gobe.
Grammar Core (Sentence Structures & Tenses),Ina zuwa yanzu.
Grammar Core (Sentence Structures & Tenses),"Da na san haka, da ban tafi ba."
Grammar Core (Sentence Structures & Tenses),Ba ni da littafi.
Grammar Core (Sentence Structures & Tenses),Ana karanta litattafai a nan.
Grammar Core (Sentence Structures & Tenses),Sun karanta labari a jiya.
Grammar Core (Sentence Structures & Tenses),Za su ci abinci daga baya.
Grammar Core (Sentence Structures & Tenses),Ba za ta zo ba.
Grammar Core (Sentence Structures & Tenses),"In da zan iya, zan taimaka."
Conversational Data (Real-Life Dialogues & Exchanges),"Sannu, ya hanya?"
Conversational Data (Real-Life Dialogues & Exchanges),"Lafiya lau, kai fa?"
Conversational Data (Real-Life Dialogues & Exchanges),Ina son zuwa gidan abokina.
Conversational Data (Real-Life Dialogues & Exchanges),"To, sai mu hadu can."
Conversational Data (Real-Life Dialogues & Exchanges),Me kake shirin yi yau?
Conversational Data (Real-Life Dialogues & Exchanges),Zan je kasuwa ne. Kai fa?
Conversational Data (Real-Life Dialogues & Exchanges),Ni kuma ina gida kawai.
Conversational Data (Real-Life Dialogues & Exchanges),Allah ya kiyaye hanya.
Conversational Data (Real-Life Dialogues & Exchanges),"Ameen, nagode."
Conversational Data (Real-Life Dialogues & Exchanges),Sai anjima.
Code-Switching & Multilingualism,Zan je market yanzu yanzu.
Code-Switching & Multilingualism,"Kai, this phone ya lalace."
Code-Switching & Multilingualism,Yanzu haka na gama assignment ɗin nan.
Code-Switching & Multilingualism,Ina jin hungry sosai.
Code-Switching & Multilingualism,She said zata dawo gobe.
Code-Switching & Multilingualism,Wannan idea ɗinka yayi kyau.
Code-Switching & Multilingualism,Na tura muku email dinnan already.
Code-Switching & Multilingualism,Ga schedule ɗin meeting.
Code-Switching & Multilingualism,Ina son wannan style ɗin sosai.
Code-Switching & Multilingualism,Kada ka forget kiran su.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kamfaninmu yana gudanar da taro gobe.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Likitoci suna ba da magani ga marasa lafiya.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","A cewar doka, ba a yarda da hakan ba."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mun amince da sharuddan kwangilar.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ana bukatar lasisi kafin a fara aikin.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Rahoton asibiti yana nuni da ciwon zuciya.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Fasahar zamani tana sauƙaƙa aiki.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Akwai bukatar horo ga ma’aikata.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Sashen kasuwanci ya gabatar da rahoto.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",An sami cigaba a binciken kimiyya.
"Idioms, Proverbs & Cultural Expressions","In dai ruwan sama ne, ba ya hana shan ruwa."
"Idioms, Proverbs & Cultural Expressions",Baki biyu ba su hana cin abinci.
"Idioms, Proverbs & Cultural Expressions","Idan kifi zai lalace, daga kai yake fara wari."
"Idioms, Proverbs & Cultural Expressions","Komai nisan jifa, ƙasa zai faɗo."
"Idioms, Proverbs & Cultural Expressions",Mai hakuri yakan fi mai sauri.
"Idioms, Proverbs & Cultural Expressions",Gaba daya rijiya ba ta hana ruwa.
"Idioms, Proverbs & Cultural Expressions",An fi so a ji tsuntsu a hannu fiye da ɗari a cikin daji.
"Idioms, Proverbs & Cultural Expressions",Tsuntsu baya mantawa da tsohon gida.
"Idioms, Proverbs & Cultural Expressions",Jirgin da ba ka da ciki ba ya zame maka nauyi.
"Idioms, Proverbs & Cultural Expressions",Gashi a baka ba ya hana kamu.
Question-Answer Pairs (FAQ & Contextual Understanding),Ina ne kasuwa? — Yana can kusa da tashar mota.
Question-Answer Pairs (FAQ & Contextual Understanding),Yaushe za ku zo? — Za mu zo gobe da safe.
Question-Answer Pairs (FAQ & Contextual Understanding),Me kuke sayarwa? — Muna sayar da kayan miya.
Question-Answer Pairs (FAQ & Contextual Understanding),"Shin kun rufe? — A’a, har yanzu a bude muke."
Question-Answer Pairs (FAQ & Contextual Understanding),"Yaya iyalanka? — Alhamdulillah, suna lafiya."
Question-Answer Pairs (FAQ & Contextual Understanding),Me ya faru jiya? — An yi hadarin mota.
Question-Answer Pairs (FAQ & Contextual Understanding),"Za ka iya taimaka min? — I, zan taimaka."
Question-Answer Pairs (FAQ & Contextual Understanding),Ina za mu hadu? — A kofar makaranta.
Question-Answer Pairs (FAQ & Contextual Understanding),Wa ya kawo wannan? — Aminina ne ya kawo.
Question-Answer Pairs (FAQ & Contextual Understanding),Me kuke bukata? — Muna bukatar taimako.
Commands & Instructions (Imperative Sentences),Zo nan!
Commands & Instructions (Imperative Sentences),A bude kofar nan.
Commands & Instructions (Imperative Sentences),Ka rubuta sunanka a nan.
Commands & Instructions (Imperative Sentences),Ku tsaya a layi.
Commands & Instructions (Imperative Sentences),A dakatar da aikin yanzu.
Commands & Instructions (Imperative Sentences),Kar ku manta da kwanan wata.
Commands & Instructions (Imperative Sentences),Ka kawo min littafin nan.
Commands & Instructions (Imperative Sentences),Ku je ku kwanta yanzu.
Commands & Instructions (Imperative Sentences),A kulle kofa kafin ka fita.
Commands & Instructions (Imperative Sentences),Ka saurare ni da kyau.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Muhammadu Buhari ya ziyarta Kano a 2021.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",An kafa Jami’ar Ahmadu Bello a 1962.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Hukumar NCDC ta bada rahoto jiya.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Zan tafi Legas gobe.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Gwamnatin Kaduna ta sanar da hutun gobe.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Aliyu ya yi aiki a UNDP.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Za a gudanar da taro a Abuja.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Maryam ta je Saudiyya a ziyarar hajji.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Google ta buɗe ofishi a Najeriya.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",An sace ɗan jarida a Maiduguri.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ina jin daɗin wannan shirin.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ban ji daɗin cin abincin nan ba.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Wannan fim ya burge ni sosai.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Na gaji da halayen wasu mutane.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ina farin ciki da sakamakon jarrabawa.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Na damu da labarin nan.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Wannan mota tayi kyau ƙwarai.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ina jin haushi da wannan abu.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ina matuƙar jin tsoro a lokacin.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Godiya ga duk wanda ya taimaka.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Zan tafi kasuwa gobe.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Gobe zan je kasuwa.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ina da niyyar zuwa kasuwa gobe.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"A gobe, zanje kasuwa."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Bari in tafi kasuwa gobe.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Gobe ina shirin tafiya kasuwa.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Zan je in sayi kaya gobe.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tafiya kasuwa gobe na cikin shirina.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ina sa ran zuwa kasuwa gobe.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Gobe ne zan ziyarci kasuwa.
