Category,Uzbek Sentence
Code-Switching & Multilingualism,Bugun deadline bor!
Code-Switching & Multilingualism,Kechasi Netflix ko‘rdik.
Code-Switching & Multilingualism,Lunch uchun osh edik.
Code-Switching & Multilingualism,Men bugun shoppingga boraman.
Code-Switching & Multilingualism,Mening passwordim esdan chiqdi.
Code-Switching & Multilingualism,Presentation tayyor bo‘ldi.
Code-Switching & Multilingualism,Project manager bugun yig‘ilish o‘tkazadi.
Code-Switching & Multilingualism,Sening emailing juda professional edi.
Code-Switching & Multilingualism,Yana homework qilish kerak ekan.
Code-Switching & Multilingualism,Zoomda uchrashuv soat 3 da.
Commands & Instructions,Boshqalarni tinglang.
Commands & Instructions,Bu yerda kuting.
Commands & Instructions,Ehtiyot bo‘ling!
Commands & Instructions,Ilova yuklab oling.
Commands & Instructions,"Iltimos, eshikni yoping."
Commands & Instructions,Javoblaringizni tekshirib chiqing.
Commands & Instructions,Menga yordam bering.
Commands & Instructions,Qo‘lingizni yuving.
Commands & Instructions,"Shoshilmang, navbat bilan kiring."
Commands & Instructions,Soat yettida uyg‘oning.
Conversational Data (Real-Life Dialogues & Exchanges),"— Bugun ishda bandmisan?
— Ha, juda ko‘p ish bor."
Conversational Data (Real-Life Dialogues & Exchanges),"— Film yoqdimi?
— Zo‘r edi, albatta ko‘r!"
Conversational Data (Real-Life Dialogues & Exchanges),"— Kechirasiz, bu yo‘l qayerga olib boradi?
— Chapga buriling, keyin to‘g‘ri yuring."
Conversational Data (Real-Life Dialogues & Exchanges),"— Nima qilaylik bugun?
— Keling, parkka boramiz."
Conversational Data (Real-Life Dialogues & Exchanges),"— Nima yeysan?
— Palov buyurtma qilmoqchiman."
Conversational Data (Real-Life Dialogues & Exchanges),"— Salom! Qandaysan?
— Yaxshi, rahmat. O‘zingchi?"
Conversational Data (Real-Life Dialogues & Exchanges),"— Senga yordam kerakmi?
— Ha, iltimos, yordam ber."
Conversational Data (Real-Life Dialogues & Exchanges),"— Tabriklayman! Imtihondan o‘tibsan.
— Rahmat, juda xursandman."
Conversational Data (Real-Life Dialogues & Exchanges),"— Telefoning qayerda?
— Stolda qolibdi."
Conversational Data (Real-Life Dialogues & Exchanges),"— Uyga qachon qaytasan?
— Soat oltida."
Formal & Professional Speech,Bemorni diqqat bilan kuzatish lozim.
Formal & Professional Speech,Bugungi yig‘ilish soat 10:00 da boshlanadi.
Formal & Professional Speech,Hujjatni rasmiylashtirish tartibiga rioya qiling.
Formal & Professional Speech,"Hurmatli mijoz, xizmatimizdan foydalanganingiz uchun tashakkur."
Formal & Professional Speech,Javobgarlik chegaralari aniq ko‘rsatilgan.
Formal & Professional Speech,Shartnoma bandlariga qat'iy amal qilinishi shart.
Formal & Professional Speech,Tashkilotimiz siz bilan hamkorlik qilishdan mamnun.
Formal & Professional Speech,Texnik xatoliklar iloji boricha tezda tuzatiladi.
Formal & Professional Speech,Ushbu holatda qonun doirasida chora ko‘riladi.
Formal & Professional Speech,Vakolatli shaxs imzo qo‘yishi kerak.
Grammar Core (Sentence Structures & Tenses),"Agar u kelsa, biz boshlaymiz."
Grammar Core (Sentence Structures & Tenses),"Agar vaqtim bo‘lsa, sen bilan boraman."
Grammar Core (Sentence Structures & Tenses),Biz ertaga safarga chiqamiz.
Grammar Core (Sentence Structures & Tenses),Bu ish tez orada tugatiladi.
Grammar Core (Sentence Structures & Tenses),Men kecha kinoga bordim.
Grammar Core (Sentence Structures & Tenses),Men maktabga borishni xohlayman.
Grammar Core (Sentence Structures & Tenses),U darsga bormadi.
Grammar Core (Sentence Structures & Tenses),U hozir kitob o‘qiyapti.
Grammar Core (Sentence Structures & Tenses),Ular muzeyga borayotgan edi.
Grammar Core (Sentence Structures & Tenses),Yozda ko‘p odamlar dam olishadi.
"Idioms, Proverbs & Cultural Expressions",Erta chiqqan er uzoqqa borar.
"Idioms, Proverbs & Cultural Expressions","Gap bilan emas, ish bilan ko‘rsat."
"Idioms, Proverbs & Cultural Expressions",Har kimning qozoni o‘ziga osh pishirar.
"Idioms, Proverbs & Cultural Expressions","It hurar, karvon o‘tar."
"Idioms, Proverbs & Cultural Expressions","Ko‘z – ko‘zgudek, til – so‘zdek."
"Idioms, Proverbs & Cultural Expressions",Odam do‘st bilan odam.
"Idioms, Proverbs & Cultural Expressions",Oltin topganga ham baxt tilanmas.
"Idioms, Proverbs & Cultural Expressions",Qo‘lga suv quyilmaydi.
"Idioms, Proverbs & Cultural Expressions",Qush uyasida ko‘rganini qiladi.
"Idioms, Proverbs & Cultural Expressions","Yetti o‘lchab, bir kes."
Named Entity Recognition (NER) Data,13-mart kuni konferensiya bo‘lib o‘tadi.
Named Entity Recognition (NER) Data,Alisher Navoiy o‘zbek adabiyotining asoschilaridan biri.
Named Entity Recognition (NER) Data,Azizjon sobiq diplomat bo‘lgan.
Named Entity Recognition (NER) Data,Google kompaniyasi bugun taqdimot o‘tkazmoqda.
Named Entity Recognition (NER) Data,Islom Karimov 1991-yilda prezident etib saylangan.
Named Entity Recognition (NER) Data,O‘zbekiston Milliy universiteti yetakchi o‘quv dargohlaridan biridir.
Named Entity Recognition (NER) Data,Qashqadaryo viloyatida kuchli yomg‘ir yog‘di.
Named Entity Recognition (NER) Data,Samsung yangi smartfon chiqardi.
Named Entity Recognition (NER) Data,Toshkent O‘zbekistonning poytaxtidir.
Named Entity Recognition (NER) Data,UNESCO bu yili Buxoroni himoya ostiga oldi.
Paraphrased & Augmented Sentences,Film ko‘rish uchun men kecha chiqdim.
Paraphrased & Augmented Sentences,Kecha men bir film tomosha qildim.
Paraphrased & Augmented Sentences,Kecha men film ko‘rgani bordim.
Paraphrased & Augmented Sentences,Kinoga borishim kechagacha bo‘ldi.
Paraphrased & Augmented Sentences,Kinoni ko‘rish uchun men kechqurun bordim.
