Category,Interglossa Sentence
Grammar Core (Sentence Structures & Tenses),Me vide un puero in urba.
Grammar Core (Sentence Structures & Tenses),El habe du fratres e un soror.
Grammar Core (Sentence Structures & Tenses),Nos va visita te domi manjana.
Grammar Core (Sentence Structures & Tenses),El no pote veni hodie.
Grammar Core (Sentence Structures & Tenses),"Si pluvi, nos no va vade a plage."
Grammar Core (Sentence Structures & Tenses),Me ha labora in hospital per tri annu.
Grammar Core (Sentence Structures & Tenses),Nos es invita a festa per amici.
Grammar Core (Sentence Structures & Tenses),El debe studia pro exam.
Grammar Core (Sentence Structures & Tenses),Me videva un can qui curre in strato.
Grammar Core (Sentence Structures & Tenses),Nos ha mange in ristorante multe vices.
Conversational Data (Real-Life Dialogues & Exchanges),Salute! Como tu es?
Conversational Data (Real-Life Dialogues & Exchanges),"Me es bon, gratia! E tu?"
Conversational Data (Real-Life Dialogues & Exchanges),Tu pote adjuta me trova hotel?
Conversational Data (Real-Life Dialogues & Exchanges),Quale es precio de cafe in iste bar?
Conversational Data (Real-Life Dialogues & Exchanges),Nos va cena ensembla ce sera?
Conversational Data (Real-Life Dialogues & Exchanges),El dice que le libro es interessante.
Conversational Data (Real-Life Dialogues & Exchanges),Tu vole veni a cinema hodie?
Conversational Data (Real-Life Dialogues & Exchanges),Me ha oblitera te numero!
Conversational Data (Real-Life Dialogues & Exchanges),Nos vide in plaza a hora de octo?
Conversational Data (Real-Life Dialogues & Exchanges),Gratia pro te adjuta!
Code-Switching & Multilingualism,Me habe un rendez-vous con medico.
Code-Switching & Multilingualism,El compra pan e queso pro picnic.
Code-Switching & Multilingualism,Nos va al mercado per bus.
Code-Switching & Multilingualism,Tu comprende iste parole en Anglese?
Code-Switching & Multilingualism,Me vole un caffè con sucre.
Code-Switching & Multilingualism,El dice ‘bonjour’ a cada persona.
Code-Switching & Multilingualism,Me usa smartphone pro traducte text.
Code-Switching & Multilingualism,Nos es in hotel pro due noctes.
Code-Switching & Multilingualism,Me habe clase de yoga in gym.
Code-Switching & Multilingualism,Tu pote responde in Francese si vole.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nos require te signatura pro contracto.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",El consulta con doctor ante decision.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Iste documento es official.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tu debe respecta regulas de firma.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",El labora in departemento de finança.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nos ha confirmate reservation pro conferentia.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Paciente debe prende medica tre vices per die.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",El habe responsabilita de projecto.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Firma va publica novo producto mense sequente.
