Category,Sentence (Interslavic)
Grammar Core (Sentence Structures & Tenses),Ja pisa list včera.
Grammar Core (Sentence Structures & Tenses),On budet govoriti s nami zavtra.
Grammar Core (Sentence Structures & Tenses),My jesmo učili gramatiku.
Grammar Core (Sentence Structures & Tenses),"Ja byh rad, ako bych mogl pomogti."
Grammar Core (Sentence Structures & Tenses),Knyga je čitana od studentov.
Grammar Core (Sentence Structures & Tenses),Ona ne zna kuda idti.
Grammar Core (Sentence Structures & Tenses),Budem govoriti s učiteljem jutri.
Grammar Core (Sentence Structures & Tenses),"Děti by běhali v sadu, ako by bylo teplo."
Grammar Core (Sentence Structures & Tenses),Napiši mně e-mel kogda možeš.
Grammar Core (Sentence Structures & Tenses),Ja ne jesm viděl tvoj prijatel.
Conversational Data (Real-Life Dialogues & Exchanges),Zdravo! Kak ti dneska?
Conversational Data (Real-Life Dialogues & Exchanges),"Dobre, a ty?"
Conversational Data (Real-Life Dialogues & Exchanges),Kudy idemo na oběd?
Conversational Data (Real-Life Dialogues & Exchanges),Mogu ti pomagati?
Conversational Data (Real-Life Dialogues & Exchanges),"Hej, počekaj na mene!"
Conversational Data (Real-Life Dialogues & Exchanges),"Prošu, daj mi menu."
Conversational Data (Real-Life Dialogues & Exchanges),Koliko stojit ta kava?
Conversational Data (Real-Life Dialogues & Exchanges),Vidimo se zavtra!
Conversational Data (Real-Life Dialogues & Exchanges),Tvoje telefona zvoni.
Conversational Data (Real-Life Dialogues & Exchanges),Ne znajem gde to jest.
Code-Switching & Multilingualism,"Daj mi knygu, please."
Code-Switching & Multilingualism,Ja jesm v restauraciji – što byśm měl objednati?
Code-Switching & Multilingualism,To je tak cool!
Code-Switching & Multilingualism,Mamy mít meeting na Skype zavtra.
Code-Switching & Multilingualism,Potrebuju wi-fi password.
Code-Switching & Multilingualism,Gde je nearest metro station?
Code-Switching & Multilingualism,On govorit mix jazykov.
Code-Switching & Multilingualism,"Sorry, ne mam časa teper."
Code-Switching & Multilingualism,Ja rabotaju i studiruju.
Code-Switching & Multilingualism,Čujem muziku iz ulice.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Uvaženi pan, prošu podpišati dokument."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Zasedanje budet začeti v 10 godin.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Pacijent treba medicinsku pomoč.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Pravo ne dopuskaje taku proceduru.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Moj kompanija propozuje novy produkt.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Razumemo vašu zapytku.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kak môžemo pomogti vam?
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Soglasno zakonu, to ne jest možno."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Učitel budet govoreti o etom tematu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Budemo analizovati danni detajno.
"Idioms, Proverbs & Cultural Expressions","Kto rano vstava, tomu Boh daje."
"Idioms, Proverbs & Cultural Expressions",Ne perelivaj vodu.
"Idioms, Proverbs & Cultural Expressions",Vse dobro konecno končaje.
"Idioms, Proverbs & Cultural Expressions","Ako vetar ne duje, vesi ne plavot."
"Idioms, Proverbs & Cultural Expressions",Dumaj predi činiti.
"Idioms, Proverbs & Cultural Expressions",Ne govori velikimi slovami.
"Idioms, Proverbs & Cultural Expressions","Bilo lipše umirati stoječi, něž žiti klečeči."
"Idioms, Proverbs & Cultural Expressions",Glupost i smělost hodet ruko v ruku.
"Idioms, Proverbs & Cultural Expressions",Čovek ne jest ostrvo.
"Idioms, Proverbs & Cultural Expressions",Vse puti vedut do Rima.
Question-Answer Pairs (FAQ & Contextual Understanding),Kak jest vreme v tvojem městu?
Question-Answer Pairs (FAQ & Contextual Understanding),Koliko godin jest sejčas?
Question-Answer Pairs (FAQ & Contextual Understanding),Kto byl prvym človekom na Měsecu?
Question-Answer Pairs (FAQ & Contextual Understanding),Koji jest glavny produkt vašoj firmi?
Question-Answer Pairs (FAQ & Contextual Understanding),Gde možem kupiti bilety?
Question-Answer Pairs (FAQ & Contextual Understanding),Kto pisal tu knygu?
Question-Answer Pairs (FAQ & Contextual Understanding),Što jest najbolja metoda učenja jazykov?
Question-Answer Pairs (FAQ & Contextual Understanding),Kak možem izpolzovati to aplikaciju?
Question-Answer Pairs (FAQ & Contextual Understanding),Koji jest najlepši plaž v Europe?
Question-Answer Pairs (FAQ & Contextual Understanding),Što to znači?
Commands & Instructions (Imperative Sentences),"Otvori vrata, prošu."
Commands & Instructions (Imperative Sentences),Pishi mně kogda budet čas.
Commands & Instructions (Imperative Sentences),Pomož mi s domacim robotom.
Commands & Instructions (Imperative Sentences),Ne hoditi tam!
Commands & Instructions (Imperative Sentences),"Govoriti glasno, prošu."
Commands & Instructions (Imperative Sentences),Pokaži mi mape.
Commands & Instructions (Imperative Sentences),Pusti mene pervi.
Commands & Instructions (Imperative Sentences),Slědi instrukciji v dokumentu.
Commands & Instructions (Imperative Sentences),Spavaj rano dneska.
Commands & Instructions (Imperative Sentences),"Prinesi mi čaj, prošu."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Peter Petrov bydlo v Moskve.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Eiffelova věža jest v Parizu.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Prvi prezident USA byl George Washington.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Olympijske igry byhly v Tokyo v 2021.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Google jest velky IT kompanija.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Tesla buduje električne avtomobile.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Gde jest Nil, najdolga rěka v světe?"
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Shakespeare pisal Hamleta.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Europa i Azija jest na jednom kontinentu.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Najvyša gora v světe jest Everest.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mně jest radostno.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ja jesm zlostny sejčas.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),To bylo vrlo udivljujuče!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ona jest mnogo pečna.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),On ne jest uvereny v sebe.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ja jestem spokojny s rezultatom.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),To jest velikolepno!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Boly mene serdce.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ničto ne moglo mě učiniti veselijše.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ja jesm šokovan s tem što viděl.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),To jest moja najlubša knyga.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ja mnogo ljubu putovanja.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),To jest interesantna tema.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ja dužo rada učim jazyky.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),To jest dužo lep film.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mogu čitati knjigy po večeru.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Učitel mnogo pomagaje studentam.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Veselje jest ključ k dobroj žitju.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Pisanje jest doby metod učeni.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),To jest lepša verzija propozičije.
