Category,Sentence (Southern Ndebele)
Grammar Core,Ngifuna ukuhamba namhlanje.
Grammar Core,Uzafika kusasa ekuseni.
Grammar Core,Sasikhuluma ngesikhathi izulu lisina.
Grammar Core,Ngabe uzokwenza umsebenzi wakho na?
Grammar Core,Izincwadi zaziphezu kwedeski.
Grammar Core,Sizobona ukuthi kungasebenza yini.
Grammar Core,Akumelanga ukhulume kanjalo kubantu abadala.
Grammar Core,Kwakumele ngenze lokhu izolo.
Grammar Core,Bengingacabangi ukuthi uzobuya.
Grammar Core,Inja izodla ukudla kwayo.
Conversational Data,"Sawubona, unjani namhlanje?"
Conversational Data,Ngicela ukubuza umbuzo omncane.
Conversational Data,Uyafuna ukuya eGoli ngesonto elizayo?
Conversational Data,"Ngiyaxolisa, bengiphazamisekile."
Conversational Data,Kungaba kuhle uma singahlangana namhlanje.
Conversational Data,Ngiyajabula ukukubona futhi!
Conversational Data,Ngabe usukulungele ukuhamba?
Conversational Data,"Angizwanga kahle, ungaphinda?"
Conversational Data,Bengicabanga ukuthi kuzoba lula.
Conversational Data,Sicela usixoxele kabanzi ngalokho.
Code-Switching & Multilingualism,Ngizoya edolobheni to buy some groceries.
Code-Switching & Multilingualism,Kufanele senze izinto quickly and efficiently.
Code-Switching & Multilingualism,Uzongisiza with this homework?
Code-Switching & Multilingualism,"Ngihamba eGoli, kodwa I will be back soon."
Code-Switching & Multilingualism,"Akumnandi ukuyohlala khona, it's very cold."
Code-Switching & Multilingualism,"Bekumuhle, but the weather changed."
Code-Switching & Multilingualism,Ngicela i-receipt for this purchase.
Code-Switching & Multilingualism,Siyahamba to the taxi rank.
Code-Switching & Multilingualism,"That was a good idea, kodwa ngiyesaba."
Code-Switching & Multilingualism,"Uzofika nini ekhaya, or will you stay out?"
Formal & Professional Speech,Ngicela ukwaziswa ngemigomo yenkampani.
Formal & Professional Speech,Kumele sigcine isivumelwano sethu silandela umthetho.
Formal & Professional Speech,Siyabonga ngokuxhumana nathi.
Formal & Professional Speech,Imibiko yokuhlola izothunyelwa kusasa.
Formal & Professional Speech,"Ngiyaxolisa, le mininingwane ayitholakali njengamanje."
Formal & Professional Speech,Uhlelo luzoqhubeka njengoba kuhlelwe.
Formal & Professional Speech,Kufanele silandele izinqubo ezisemthethweni.
Formal & Professional Speech,Sicela ugcwalise amafomu adingekayo.
Formal & Professional Speech,Umhlangano uzoqala ngo-9 ekuseni.
Formal & Professional Speech,Ngiyalazisa ithuba lokusebenza nani.
"Idioms, Proverbs & Cultural Expressions",Izandla ziyagezana.
"Idioms, Proverbs & Cultural Expressions",Ukukhanya kwelanga akufani.
"Idioms, Proverbs & Cultural Expressions",Inkomo ingazala umuntu.
"Idioms, Proverbs & Cultural Expressions",Kuyahlwa kusempondozankomo.
"Idioms, Proverbs & Cultural Expressions",Inhlanzi ithungelwa ngamanzi.
"Idioms, Proverbs & Cultural Expressions",Izimbuzi ziyaqina ngokulima.
"Idioms, Proverbs & Cultural Expressions",Umakhothwa ngunina.
"Idioms, Proverbs & Cultural Expressions",Isibani sifaneleke endlini.
"Idioms, Proverbs & Cultural Expressions",Inja ingaba nenhlanhla.
"Idioms, Proverbs & Cultural Expressions",Ukuhamba kubuya ngenhlanhla.
Question-Answer Pairs,Ubani igama lakho? - Igama lami nguSipho.
Question-Answer Pairs,"Ungaphinda lokho? - Yebo, ngingaphinda."
Question-Answer Pairs,Ubani ofuna ukukhuluma nami? - NguThabo.
Question-Answer Pairs,"Ngabe sekusondele isikhathi sokuhamba? - Yebo, siyahamba manje."
Question-Answer Pairs,"Ungakuchaza kangcono lokhu? - Impela, lokhu kusho ukuthi..."
Question-Answer Pairs,Kutheni ulapha namhlanje? - Ngize ukuzobona umngani wami.
Question-Answer Pairs,Uhlala kuphi? - Ngihlala eWitbank.
Question-Answer Pairs,Uthanda ini ukudla? - Ngithanda inyama yenkukhu.
Question-Answer Pairs,"Ngabe uyangizwa? - Yebo, ngiyakuzwa kahle."
Question-Answer Pairs,Sihlala kuphi namhlanje ebusuku? - Sihlala esihhotela.
Commands & Instructions,Hlala phansi.
Commands & Instructions,Vula iwindi.
Commands & Instructions,Khuluma kancane.
Commands & Instructions,Ngicela uphakamise izandla zakho.
Commands & Instructions,Ungakhohlwa ukupheka ukudla.
Commands & Instructions,Sicela uhlanze itafula.
Commands & Instructions,Ungalibali ukuletha incwadi.
Commands & Instructions,Qala umsebenzi wakho manje.
Commands & Instructions,Sicela ungathinti le nto.
Commands & Instructions,Yenza umsebenzi wakho ngokucophelela.
Named Entity Recognition (NER) Data,UJabulani uhlala ePretoria.
Named Entity Recognition (NER) Data,"Izolo, uThandi waya eGoli."
Named Entity Recognition (NER) Data,I-University of Johannesburg ingesinye sezikhungo ezinkulu.
Named Entity Recognition (NER) Data,Umhlangano uzoqala ngoLwesihlanu.
Named Entity Recognition (NER) Data,UDr. Mthembu ungudokotela odumile.
Named Entity Recognition (NER) Data,UNelson Mandela waba ngumongameli wokuqala wentando yeningi.
Named Entity Recognition (NER) Data,Indiza izofika ngo-7:30 ebusuku.
Named Entity Recognition (NER) Data,Izulu eThekwini liyashisa.
Named Entity Recognition (NER) Data,UJohn uthenge ikhaya eKapa.
Named Entity Recognition (NER) Data,INedbank inikeza izinsiza zezimali.
Sentiment Analysis Data,Ngijabule kakhulu namhlanje!
Sentiment Analysis Data,Ngiyazisola ngalokho okwenzekile.
Sentiment Analysis Data,Lokhu kuyamangalisa!
