Category,Aymara Sentence
Grammar Core,Nayaxa qillqaniwa.
Grammar Core,Jumaxa qillqäta.
Grammar Core,Jupanakaxa qillqapxaniwa.
Grammar Core,Nayaxa qillqañ munta.
Grammar Core,Jumaxa qillqañ munkiti.
Grammar Core,Jupanakaxa qillqatawa.
Grammar Core,Qillqataxaniwa.
Grammar Core,Qillqañatakixa wakichäta.
Grammar Core,Janiwa qillqañäkiti.
Grammar Core,Qillqasiñawa.
Conversational Data,"Kamisaraki, kullaka?"
Conversational Data,"Waliki, juma?"
Conversational Data,¿Kunjamasktsa mä taza kafe?
Conversational Data,"Janiwa, jichhaxa wakt'ayäta."
Conversational Data,"Jikisiñkama, ukhamarak suma urukama."
Conversational Data,"Qhankurusma, tata."
Conversational Data,¡Wali kusisita juman uñjata!
Conversational Data,¿Kunatsa janiw jutkti?
Conversational Data,"Jutïma, wakichätawa."
Conversational Data,"Ukhamaraki, nanakaxa chika irnaqapxañäni."
Code-Switching & Multilingualism,Jichhax reuniónaniwa en la tarde.
Code-Switching & Multilingualism,"Wali jan walt’awinaka utji, pero we'll fix it."
Code-Switching & Multilingualism,Kunjamsa sasaw they answered.
Code-Switching & Multilingualism,"Chiqpachawa, pero I don't agree."
Code-Switching & Multilingualism,"Janiwa sumäkiti, maybe tomorrow."
Code-Switching & Multilingualism,"Vamos a ir, ukhamaraki."
Code-Switching & Multilingualism,"Nayax doctoräki, you know?"
Code-Switching & Multilingualism,"Kusisita uka fiesta, it was amazing."
Code-Switching & Multilingualism,Uñstayätawa en el periódico.
Code-Switching & Multilingualism,"Uñt’añ munta, pero I forgot."
Formal & Professional Speech,Kamisaki jilïr autoridadanaka.
Formal & Professional Speech,"Tayka, mä consulta médica munirista."
Formal & Professional Speech,Uñakipt’añani uka qillqatanaka.
Formal & Professional Speech,Aruskipañani amuyumpi.
Formal & Professional Speech,Amuyt’añani ukham jan ch’amañchaspa.
Formal & Professional Speech,Jichhax reuniónampi tantacht’asiñaniwa.
Formal & Professional Speech,Ukax jach’a kamachinakaru arsuspa.
Formal & Professional Speech,"Kuntï lurata, qillqatañawa."
Formal & Professional Speech,Uka yatxatawinaka jilpachawa.
Formal & Professional Speech,Taqiniw yatiñ utar puriñani.
"Idioms, Proverbs & Cultural Expressions","Uñjta ukhaxa, amuyt’añawa."
"Idioms, Proverbs & Cultural Expressions",Aka uraqx jan wali ukhamawa.
"Idioms, Proverbs & Cultural Expressions","Suma churañani, ukax amuyumpiwa."
"Idioms, Proverbs & Cultural Expressions","Janiw chiqapäkiti, pä lado tuqiw sarapxi."
"Idioms, Proverbs & Cultural Expressions",Qhathunxa ñanqha utt’i.
"Idioms, Proverbs & Cultural Expressions","Jiwañamawa, ukaxa wali jach’awa."
"Idioms, Proverbs & Cultural Expressions","Kuntï mayjt’aya, mayjt’ayarakixa."
"Idioms, Proverbs & Cultural Expressions",Q’umachataxa jan jiwkiti.
"Idioms, Proverbs & Cultural Expressions",Suma qamasiñatakixa munasiña.
"Idioms, Proverbs & Cultural Expressions","Jan wali aru, ch’aman jak’achasi."
Question-Answer Pairs,¿Kunjamsa jikxatasma? – Walikiwa.
Question-Answer Pairs,¿Kuna tiempoti? – Tunkani.
Question-Answer Pairs,¿Khititix jutani? – Taykajj jutani.
Question-Answer Pairs,¿Kunjam lurañaxa? – Amasïña.
Question-Answer Pairs,"¿Uñjata? – Janiwa, chhaqïta."
Question-Answer Pairs,¿Qawqhapacharakisa? – Alwakipachawa.
Question-Answer Pairs,¿Kuna uñtañ munta? – Wawanaka uñtañ munta.
Question-Answer Pairs,"¿Mayampisa aruskipañani? – Jisa, ukhamawa."
Question-Answer Pairs,¿Jilatakisma? – Janiwa.
Question-Answer Pairs,¿Kunatsa llakitäta? – Irnaqañwa ch’amäta.
Commands & Instructions,Sarapxam!
Commands & Instructions,Uñjapxam ukax askïwa.
Commands & Instructions,K’uchuki qamasiñamawa.
Commands & Instructions,Qillqapxam.
Commands & Instructions,Amuykipañamawa.
Commands & Instructions,Lurapxam janiw ch’amäkiti.
