category,sentence_fula
Grammar Core,Mi yi'i ɗum.
Grammar Core,Mi yi'ii ɗum.
Grammar Core,Miɗo yi'ude ɗum.
Grammar Core,"So mi yi'i ɗum, miɗo weeyii."
Grammar Core,Mi yi'iɗaa ɗum.
Grammar Core,Ɗum woni yi'ude.
Grammar Core,A yi'i ɗum?
Grammar Core,Miɗo yi'ugol ɗum jam.
Grammar Core,Mi yi'i ɗum jooni.
Grammar Core,Mi yi'iɗaa ɗum jooni.
Conversational Data,"A jaaraama, no mbadde?"
Conversational Data,"Jam tan, ko fayde?"
Conversational Data,Ko fii no ndiyam?
Conversational Data,"Alaa, mi waawi fayde."
Conversational Data,"Mbele e jam, mi wondi."
Conversational Data,"Ko feewi, a yiɗi yahar?"
Conversational Data,"Awa, mi yahi!"
Conversational Data,"Amin, on jooɗii?"
Conversational Data,"Eey, mi jooɗii."
Conversational Data,Ko honɗun e makko?
Code-Switching & Multilingualism,Mi jogii appointment e hospital jooni.
Code-Switching & Multilingualism,Mi waawi téléphoner e 5pm.
Code-Switching & Multilingualism,Ko doctor ngol e consultation room 2.
Code-Switching & Multilingualism,"Let’s go, miɗo waawi seede."
Code-Switching & Multilingualism,Mi newi email makko jooni.
Code-Switching & Multilingualism,A yetti document ngol e meeting?
Code-Switching & Multilingualism,"She said, ‘Mi yahi’."
Code-Switching & Multilingualism,Daw no wala network walla signal.
Code-Switching & Multilingualism,Miɓe check-in e hotel biɗɗo.
Code-Switching & Multilingualism,Ko yaa greeting message on WhatsApp?
Formal & Professional Speech,Miɗo arɗo ka ngesaaji ngal.
Formal & Professional Speech,Ko ɓuri woni laatata e ndiyam e cellulaaji.
Formal & Professional Speech,Doktor ngal wi’i men so ɓe waawi fayde.
Formal & Professional Speech,Min weltii e ndimi jam tan.
Formal & Professional Speech,Jangirde ngal ko feewi lesdi ngol.
Formal & Professional Speech,Miɗo deftere e nder tarbiyaaji.
Formal & Professional Speech,Mi wi’i makko ndokkere feewi.
Formal & Professional Speech,Miɗo inaama e baafal ngal.
Formal & Professional Speech,Miɗo siftor ngal ko moƴƴi.
Formal & Professional Speech,Mi arta e janngirde baabaajo.
"Idioms, Proverbs & Cultural Expressions",Ko ndiyam fuɗɗi nyamude ɓe ɗiyan.
"Idioms, Proverbs & Cultural Expressions","Ko honɗun ɗum waawa seede, ɗum waawa wi’i!"
"Idioms, Proverbs & Cultural Expressions",Fayde wala yittooɗe e ndiyam.
"Idioms, Proverbs & Cultural Expressions",Ko ndiyan jogii moƴƴere.
