Category,Sentence (North Frisian)
Grammar Core,Ik bin nei Husum gongen.
Grammar Core,Hastû dyn hûswurk makke?
Grammar Core,Hy sil moarn nei de stêd gean.
Grammar Core,"As it moai waar is, sille wy nei it strân."
Grammar Core,Se hiene al iten doe't ik oankaam.
Grammar Core,It boek wurdt troch de skriuwer skreaun.
Grammar Core,Wiest net thús juster?
Grammar Core,Ik soe graach in grutte pizza hawwe wolle.
Grammar Core,"As ik jild hie, soe ik in auto keapje."
Grammar Core,Hy hat nea sa'n grut hûs sjoen.
Conversational Data,Hoi! Hoe giet it mei dy?
Conversational Data,"It giet goed, tankewol! En mei dy?"
Conversational Data,Wat dochst fan 'e middei?
Conversational Data,Ik gean nei de bioskoop mei freonen.
Conversational Data,Hast ek sin yn kofje?
Conversational Data,"Ja, lit ús nei in kafee gean."
Conversational Data,Wat is dyn favorite boek?
Conversational Data,Ik hâld fan mystearjes en romans.
Conversational Data,Sille wy moarn yn it park kuierje?
Conversational Data,Dat liket my in goed plan!
Code-Switching & Multilingualism,Ik ha in meeting moarn by de office.
Code-Switching & Multilingualism,"Dat wie echt in spannende film, weißt du?"
Code-Switching & Multilingualism,"Ik bin in beetje müde, sil ik sliepe gean."
Code-Switching & Multilingualism,We sille ús homework moarn klearmeitsje.
Code-Switching & Multilingualism,Kommst nei it feest jûn? Es wird toll!
Code-Switching & Multilingualism,Hy hat syn car by it hûs parkeard.
Code-Switching & Multilingualism,De chef sei: 'Dêr hawwe wy no gjin tiid foar'.
Code-Switching & Multilingualism,"It wie echt een leuke avond, oder?"
Code-Switching & Multilingualism,Ik tink dat it email net goed ferstjoerd is.
Code-Switching & Multilingualism,"Lit ús in foto meitsje, say cheese!"
Formal & Professional Speech,Neffens it rapport binne de resultaten posityf.
Formal & Professional Speech,Dizze gearkomste wurdt moarn om njoggen oere hâlden.
Formal & Professional Speech,Jo moatte dit formulier foar 17:00 oere ynleverje.
Formal & Professional Speech,De pasjint moat dizze medisinen twa kear deis nimme.
Formal & Professional Speech,Wy sille de kontrakt betiid besjen en ûndertekenje.
Formal & Professional Speech,Dit dokumint moat ûndertekene wurde troch de direkteur.
Formal & Professional Speech,De rjochter hat besletten it gefal opnij te besjen.
Formal & Professional Speech,De operaasje duorret likernôch twa oeren.
Formal & Professional Speech,Wy moatte it budzjet foar it projekt evaluearje.
Formal & Professional Speech,De nije wet giet yn op 1 jannewaris.
"Idioms, Proverbs & Cultural Expressions",Hy hâldt syn kaarten ticht by it boarst.
"Idioms, Proverbs & Cultural Expressions",It is as reinwetter op in ein.
"Idioms, Proverbs & Cultural Expressions",Se binne as twa drippen wetter.
"Idioms, Proverbs & Cultural Expressions",Hy hat syn hân yn alle saken.
"Idioms, Proverbs & Cultural Expressions",De kat om de hjitte brij hinne draaie.
"Idioms, Proverbs & Cultural Expressions",Mei it waarme izer smeie.
