Category,Guarani_Sentence
Grammar Core (Sentence Structures & Tenses),Che ahasa kuri pe puente.
Grammar Core (Sentence Structures & Tenses),Ha'e oho hína mbo'ehaópe.
Grammar Core (Sentence Structures & Tenses),Ore rokaru va'erã ko'ẽrõ.
Grammar Core (Sentence Structures & Tenses),Ndaha'éi che ajapo va'ekue.
Grammar Core (Sentence Structures & Tenses),Oñembohasa peteĩ ñe'ẽ ambuévape.
Grammar Core (Sentence Structures & Tenses),Pe mitã oñembyahýi.
Grammar Core (Sentence Structures & Tenses),Oguereko kuri peteĩ mba'e guasu.
Grammar Core (Sentence Structures & Tenses),Ha'ekuéra ndoúi gueteri.
Grammar Core (Sentence Structures & Tenses),Ikatu che aha ndéve ndive?
Grammar Core (Sentence Structures & Tenses),Pe mba'e ojeporu ojehechauka hag̃ua.
Conversational Data (Real-Life Dialogues & Exchanges),"—Mba'éichapa? —Iporã, ha nde?"
Conversational Data (Real-Life Dialogues & Exchanges),"—Nde réra piko María? —Hee, che réra María."
Conversational Data (Real-Life Dialogues & Exchanges),—Reho moõ? —Aha tenda oguerekóva so'o.
Conversational Data (Real-Life Dialogues & Exchanges),—Che aikotevẽ ne pytyvõ. —Mba'eichaitépa ikatu chepytyvõ?
Conversational Data (Real-Life Dialogues & Exchanges),—Reikuaa piko moõpa oĩ pe tape? —Che ndaha'éi ko’água.
Conversational Data (Real-Life Dialogues & Exchanges),"—Rekaru piko? —Hee, okaru porã."
Conversational Data (Real-Life Dialogues & Exchanges),—Eikéna. —Aguyjevete.
Conversational Data (Real-Life Dialogues & Exchanges),—Ore roikotevẽ peteĩ karumbe. —Peẽ piko peipuru jey?
Conversational Data (Real-Life Dialogues & Exchanges),—Mba'e la ne remiandu? —Che ahayhu pe ñe'ẽ.
Conversational Data (Real-Life Dialogues & Exchanges),"—Eguata pya'e. —Ha'e, che sy."
Code-Switching & Multilingualism,"Che rovia hína, because I trust you."
Code-Switching & Multilingualism,"Eike pe clase, por favor."
Code-Switching & Multilingualism,"Ko'ẽrõ jajotopáta, see you!"
Code-Switching & Multilingualism,Ha'e oĩ busy hína ko'ág̃a.
Code-Switching & Multilingualism,"Ajapóta peteĩ presentación, you know?"
Code-Switching & Multilingualism,Ndaikuaái mba'épa he'i teacher.
Code-Switching & Multilingualism,Jajapo homework ndive.
Code-Switching & Multilingualism,Pe henda oñembohape legalmente.
Code-Switching & Multilingualism,Ha'e ohendu pe podcast francés-pe.
Code-Switching & Multilingualism,Pe karai oñe’ẽ guarani ha español reheve.
Formal & Professional Speech,Ko'ã léi oñemboaje hekopete.
Formal & Professional Speech,Oñembojerovia medicina rupive.
Formal & Professional Speech,Eñembo'e hekoitépe umi mitã rehehápe.
Formal & Professional Speech,Oñemohendáta peteĩ aty guasu.
Formal & Professional Speech,Pe empresa ojapo contrato pyahu.
Formal & Professional Speech,Ojepuru tecnología oñemyatyrõ hag̃ua.
Formal & Professional Speech,Eike salón-pe ha eñemboheko.
Formal & Professional Speech,Ko jehaipyre ha'e oficial.
Formal & Professional Speech,Pe tapicha ojapo análisis clínico.
Formal & Professional Speech,Ikatu rehechauka ne competencia profesional.
"Idioms, Proverbs & Cultural Expressions",Peteĩ kuña arandu okakuaa mitãme.
"Idioms, Proverbs & Cultural Expressions",Ha'e ojapo chipa ryguasurãicha.
"Idioms, Proverbs & Cultural Expressions","Ka’avo rehegua, iñakãrei."
"Idioms, Proverbs & Cultural Expressions",Ñemity ha sapy’a py’a oiko joaju.
"Idioms, Proverbs & Cultural Expressions","Ára ro’y, pyhare haku."
