Category,Faroese
Grammar Core,Eg fari í skúla hvønn dag.
Grammar Core,Hon hevur lisið bókina.
Grammar Core,Vit fóru ein túr í fjør.
Grammar Core,Tey skulu arbeiða í morgin.
Grammar Core,"Eg hevði sungið, um eg kundi."
Grammar Core,Tú ert ikki komin enn.
Grammar Core,Bókin verður lisin av læraranum.
Grammar Core,Skalt tú til arbeiðis?
Grammar Core,Eg vil drekka kaffi nú.
Grammar Core,"Um hann hevði vitið, hevði hann ikki gjørt tað."
Conversational Data,"Hey, hvussu gongur?"
Conversational Data,Eg sá teg í gjár!
Conversational Data,"Neyvan, men kanska seinni."
Conversational Data,Kanst tú hjálpa mær við hesum?
Conversational Data,"Jú, sjálvandi!"
Conversational Data,Eg veit ikki hvat tú meinar.
Conversational Data,"Ná, so er tað bara tað."
Conversational Data,Takk fyri hjálpina!
Conversational Data,Hvussu leingi hevur tú búð her?
Conversational Data,Eg haldi tað er eitt gott hugskot.
Code-Switching & Multilingualism,"Eg skal møta kl. 10, so I'll be there."
Code-Switching & Multilingualism,"Tú veitst, it’s kinda hard at forklára."
Code-Switching & Multilingualism,Vit tosaðu um weekendina – tað var amazing!
Code-Switching & Multilingualism,Kann tú hjálpa mær við hesum task-in?
Code-Switching & Multilingualism,Hon segði: ‘Eg eri busy í dag.’
Code-Switching & Multilingualism,"Eg haldi vit fara í cinema, maybe í kvøld."
Code-Switching & Multilingualism,"Næ, ikki í dag, tomorrow kanska."
Code-Switching & Multilingualism,"Hetta er eitt gott example, ikki so?"
Code-Switching & Multilingualism,Eg eri tired men klárur at royna.
Code-Switching & Multilingualism,"Vit síggjast í morgin, alright?"
Formal & Professional Speech,Vinaliga útfyll formið innan 5 dagar.
Formal & Professional Speech,"Vit vilja boða tykkum frá, at fundurin verður framskundaður."
Formal & Professional Speech,Greiningin vísir ein vøkstur í inntøkum.
Formal & Professional Speech,Tú verður boðin til viðtalu týsdagin kl. 14.
Formal & Professional Speech,Henda avtalan er galdandi til 30. apríl.
Formal & Professional Speech,Læknin mælir til at hvíla teg í 3 dagar.
Formal & Professional Speech,Allir starvsfólk skulu vera til staðar kl. 08:30.
Formal & Professional Speech,Tú verður biðin um at undirskriva skjalið niðanfyri.
Formal & Professional Speech,Viðgerðin fer fram eftir reglugerðini.
Formal & Professional Speech,Fyrispurningurin verður viðgjørdur skjótast gjørligt.
"Idioms, Proverbs & Cultural Expressions",Hann setti seg í bátin uttan ár.
