Category,Sentence_Ichishkiin
Grammar Core (Sentence Structures & Tenses),Kwɨn kúusi nash wíya.
Grammar Core (Sentence Structures & Tenses),Nash yawisha kúusi.
Grammar Core (Sentence Structures & Tenses),Manash yawíisha kúusi?
Grammar Core (Sentence Structures & Tenses),Nash yawisha matash áwisha.
Grammar Core (Sentence Structures & Tenses),"Kúusi, manash wíya ana?"
Grammar Core (Sentence Structures & Tenses),Tkwátatisha yawíisha kúusi.
Grammar Core (Sentence Structures & Tenses),Nash yawisha kúusi pátkwsha.
Grammar Core (Sentence Structures & Tenses),Tkwátatisha nákni wíya?
Grammar Core (Sentence Structures & Tenses),Nash yawisha kúusi páywi.
Grammar Core (Sentence Structures & Tenses),"Nash yawisha kúusi, kúuk núun áwisha."
Conversational Data (Real-Life Dialogues & Exchanges),Q̓ay q̓ína!
Conversational Data (Real-Life Dialogues & Exchanges),Nash tkwátatisha kwɨn kúusi.
Conversational Data (Real-Life Dialogues & Exchanges),Shapa kwɨn kúusi?
Conversational Data (Real-Life Dialogues & Exchanges),Kush kúusi núun wá?
Conversational Data (Real-Life Dialogues & Exchanges),Manash sha wíya kúusi?
Conversational Data (Real-Life Dialogues & Exchanges),Nash kúusi pátkwsha?
Conversational Data (Real-Life Dialogues & Exchanges),Kwɨn kúusi nash yawisha áwa?
Conversational Data (Real-Life Dialogues & Exchanges),"Haw nash yawisha kúusi, kúuk nash áwisha."
Conversational Data (Real-Life Dialogues & Exchanges),Kwɨn kúusi sha kúktana?
Conversational Data (Real-Life Dialogues & Exchanges),"Nash yawisha kúusi, kúuk núun páywi."
Code-Switching & Multilingualism,Nash yawisha yesterday.
Code-Switching & Multilingualism,Haw nash eating tkwátatisha.
Code-Switching & Multilingualism,Kwɨn kúusi nash shopping áwa.
Code-Switching & Multilingualism,Shapa kwɨn kúusi nash travel?
Code-Switching & Multilingualism,Kwɨn kúusi sha school áwa?
Code-Switching & Multilingualism,Manash sha driving kúusi?
Code-Switching & Multilingualism,Nash working kúusi.
Code-Switching & Multilingualism,Sha learning Ichishkiin áwa?
Code-Switching & Multilingualism,Haw nash study kwɨn kúusi?
Code-Switching & Multilingualism,Kush teacher wá?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kwɨn kúusi sha nash meeting.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tkwátatisha nash kwɨn kúusi.
