Category,Telugu_Sentence
Grammar Core,ఆమె నిన్న సినిమా చూసింది.
Grammar Core,వాళ్లు రేపు ఇంటికి వస్తారు.
Grammar Core,మనం పుస్తకం చదవాలి.
Grammar Core,నేను పాఠశాలకి వెళ్లలేను.
Grammar Core,ఇవన్నీ విద్యార్థులచే రాయబడినవి.
Grammar Core,ఆయన భోజనం చేస్తుంటాడు.
Grammar Core,వర్షం పడుతుందా?
Grammar Core,నువ్వు చదువుకుంటే మంచి ఫలితం వస్తుంది.
Grammar Core,వాళ్లు వెళ్లకపోతే మంచిది.
Grammar Core,ఈ పని నేను చేయాలి.
Conversational Data,హే! ఎలా ఉన్నావు?
Conversational Data,నాకు కాఫీ కావాలి.
Conversational Data,ఏం చేస్తున్నావు ఇప్పుడు?
Conversational Data,రాత్రి సినిమా చూసామా?
Conversational Data,ఆఫీసు ఎలా సాగుతోంది?
Conversational Data,"వద్దురా, అది మంచిది కాదు."
Conversational Data,"ఓకే, నాతో రా."
Conversational Data,ఎప్పుడెళ్దాం?
Conversational Data,నువ్వు నా ఫోన్ తీసావా?
Conversational Data,"సరే, కలుద్దాం రేపు."
Code-Switching & Multilingualism,నేను shopping mall కి వెళ్తున్నా.
Code-Switching & Multilingualism,ఆ project submit చేసావా?
Code-Switching & Multilingualism,Lunch time లో కలుద్దాం.
Code-Switching & Multilingualism,పేపర్ English లో ఉన్నది.
Code-Switching & Multilingualism,Exam result announce అయింది.
Code-Switching & Multilingualism,meeting లో delay ఉంది.
Code-Switching & Multilingualism,నాకు Telugu కంటే Hindi బాగా రాదు.
Code-Switching & Multilingualism,"Let’s go, వేళైంది."
Code-Switching & Multilingualism,"కాఫీ బాగుంది, right?"
Code-Switching & Multilingualism,"Submit చెయ్యండి, please."
Formal & Professional Speech,దయచేసి మీ మెడికల్ రిపోర్ట్ ఇవ్వండి.
Formal & Professional Speech,మీరు ఈ ప్రాజెక్ట్ డాక్యుమెంటేషన్ చదివారా?
Formal & Professional Speech,ఇది మానవ హక్కుల ఉల్లంఘన.
Formal & Professional Speech,క్లయింట్ ప్రెజెంటేషన్ సరిగ్గా తయారుచేయండి.
Formal & Professional Speech,పేషెంట్‌ను సర్జరీకి రెడీ చేయండి.
Formal & Professional Speech,ఇది ఒక లీగల్ నోటీసు.
Formal & Professional Speech,దయచేసి రిసెప్షన్ వద్ద మీ పేరును నమోదు చేయండి.
Formal & Professional Speech,మీరు ఈ ఒప్పందాన్ని అంగీకరిస్తున్నారా?
Formal & Professional Speech,ఆ ఫైలు confidential.
Formal & Professional Speech,ఈ ప్రొసీజర్ పద్ధతిగా చేయాలి.
"Idioms, Proverbs & Cultural Expressions",మంచికి తలదు.
"Idioms, Proverbs & Cultural Expressions","గాలి లేదు, వాన లేదు – పొంగనిదే పొయ్యింది."
"Idioms, Proverbs & Cultural Expressions",నీవు నేరం చేయకపోతే భయపడాల్సిన అవసరం లేదు.
"Idioms, Proverbs & Cultural Expressions",కాకి నాకేలు మోత కరువయ్యే రోజుల్లో వినిపించదు.
"Idioms, Proverbs & Cultural Expressions",నిద్రపోతే కలలు రావు.
"Idioms, Proverbs & Cultural Expressions",పులిని చూసి పారిపోవాలి.
"Idioms, Proverbs & Cultural Expressions",పుట్టిన పుట్టులోనే జాగ్రత్తగా ఉండాలి.
"Idioms, Proverbs & Cultural Expressions",నెమ్మదిగా నడిచిన మేక ముందుకెళ్తుంది.
"Idioms, Proverbs & Cultural Expressions",పాపం కన్నా శిక్ష పెద్దది.
"Idioms, Proverbs & Cultural Expressions",ఎర్రని నెమలి నెత్తురును తెలియదట.
Question-Answer Pairs,తెలుగు రాష్ట్రాలవేమిటి?
Question-Answer Pairs,ఆయన ఎవరు?
Question-Answer Pairs,వాళ్లు ఎప్పుడు వస్తారు?
Question-Answer Pairs,ఇది ఎందుకు జరిగింది?
Question-Answer Pairs,మీకు ఈ పని ఎలా తెలిసింది?
Question-Answer Pairs,తెలంగాణ రాజధాని ఏది?
Question-Answer Pairs,భూమికి చంద్రుడు ఎందుకు అవసరం?
Question-Answer Pairs,సాహిత్యంలో నీకు ఇష్టమైన కవి ఎవరు?
Question-Answer Pairs,ఈ పుస్తకం ఎవరికి సంబంధించినది?
Question-Answer Pairs,మీరు ఎప్పుడు పుట్టారు?
Commands & Instructions,దయచేసి తలుపు మూసండి.
Commands & Instructions,కూడిగానీ రా.
Commands & Instructions,ఫైలు సబ్మిట్ చేయండి.
Commands & Instructions,ఆలస్యం చేయకండి.
Commands & Instructions,నన్ను ఫోన్ చేయండి.
Commands & Instructions,ఈ మెయిల్ పంపించండి.
Commands & Instructions,పుస్తకం చదవండి.
Commands & Instructions,ఇక్కడ రాయండి.
Commands & Instructions,ప్యాకేజీ తెరవండి.
Commands & Instructions,సైలెంట్‌గా ఉండు.
Named Entity Recognition (NER) Data,నరేంద్ర మోదీ భారత ప్రధానమంత్రి.
Named Entity Recognition (NER) Data,హైదరాబాద్ తెలంగాణాలో ఉంది.
Named Entity Recognition (NER) Data,రామాయణం ఓ ప్రముఖ గ్రంధం.
Named Entity Recognition (NER) Data,మైక్రోసాఫ్ట్ కంపెనీ అమెరికాలో ఉంది.
Named Entity Recognition (NER) Data,గంగా భారతదేశపు ప్రసిద్ధ నది.
Named Entity Recognition (NER) Data,డాక్టర్ అబ్దుల్ కలాం భారత మాజీ రాష్ట్రపతి.
Named Entity Recognition (NER) Data,సెప్టెంబర్ 5ని ఉపాధ్యాయ దినోత్సవంగా జరుపుకుంటారు.
Named Entity Recognition (NER) Data,తాజ్ మహల్ అగ్రాలో ఉంది.
Named Entity Recognition (NER) Data,రెడ్ క్రాస్ ఓ అంతర్జాతీయ సంస్థ.
Named Entity Recognition (NER) Data,దసరా హిందువుల పండుగ.
Sentiment Analysis Data,నాకు ఇవాళ చాలా సంతోషంగా ఉంది.
Sentiment Analysis Data,ఈ సినిమా అసహ్యం వేసింది.
Sentiment Analysis Data,ఆ మాట వినగానే బాధేసింది.
Sentiment Analysis Data,నీ కృషి చాలా ఇన్‌స్పైరింగ్.
Sentiment Analysis Data,నాకు నీవు చెప్పింది నచ్చలేదు.
Sentiment Analysis Data,అద్భుతంగా సాగుతోంది పని.
Sentiment Analysis Data,ఆ వార్త విని దిగులైంది.
Sentiment Analysis Data,ఈ పాట చాలా ఆనందానిస్తుంది.
Sentiment Analysis Data,ఆ వానలో నడవడం చాలా తీపి అనుభూతి.
Sentiment Analysis Data,నాకు రేపు భయం వేస్తోంది.
Paraphrased & Augmented Sentences,నిన్న ఆమె ఒక చిత్రాన్ని చూశారు.
Paraphrased & Augmented Sentences,ఆమె ఒక సినిమాను నిన్న చూసింది.
Paraphrased & Augmented Sentences,నిన్న ఆమె సినిమా చూచింది.
Paraphrased & Augmented Sentences,చూడబడిన సినిమా ఆమె నిన్నటి.
Paraphrased & Augmented Sentences,ఆమె సినిమాను నిన్న వీక్షించింది.
Paraphrased & Augmented Sentences,నిన్న ఆమె సినిమా చూసినది.
Paraphrased & Augmented Sentences,ఆమె నిన్నటి సినిమా చూసింది.
Paraphrased & Augmented Sentences,సినిమా ఆమె నిన్న చూశారు.
Paraphrased & Augmented Sentences,ఆమె చూచిన సినిమా నిన్నటి.
Paraphrased & Augmented Sentences,నిన్న చూసినది ఆమె సినిమా.
