category,sentence_mm
Grammar Core,မနေ့က သူ မြန်မာစာကို လေ့လာခဲ့တယ်။
Grammar Core,နောက်အပတ်မှာ ကျွန်တော် ဘဏ်ကို သွားမယ်။
Grammar Core,သူ အလုပ်ကို မလုပ်ဘူး။
Grammar Core,ကျွန်မ ဟင်းချက်နေတယ်။
Grammar Core,မင်းတို့ စာရေးနေမှာလား။
Grammar Core,အလုပ်ကို လုပ်ပြီးပြီ။
Grammar Core,သူက စာအုပ်ကို ဖတ်နေသလား။
Grammar Core,မိုးရွာရင် ကျောင်းမသွားဘူး။
Grammar Core,သူ့ရဲ့ အမိန့်ကို မနားဘူးဆိုရင် ပြဿနာဖြစ်မယ်။
Grammar Core,အလုပ်တွေ တာဝန်ယူပြီးပြီဆိုတာ ဝမ်းသာပါတယ်။
Conversational Data,ဟေး ဘာလုပ်နေတာလဲ?
Conversational Data,ငါ မနေ့က မင်းကို call ခေါ်တာ များသွားတယ်။
Conversational Data,အေးတယ်၊ coffee တစ်ခွက်သွားသောက်မလား?
Conversational Data,အလုပ်ကဘယ်လိုလဲ?
Conversational Data,ဒါနဲ့ မနက်ဖြန် သွားနိုင်မလား?
Conversational Data,ဟုတ်တယ်၊ ဒီကနေ မနက် ၉ နာရီမှာထွက်မယ်။
Conversational Data,မနေ့ကစာသင်ခန်းထဲမှာဘာဖြစ်တာလဲ?
Conversational Data,အိမ်မှာတည်နေရာကောင်းလား?
Conversational Data,အစားအစာ မျှော်လင့်ထားသလောက် မကောင်းဘူး။
Conversational Data,တနင်္ဂနွေနေ့မှာ outing ပြုလုပ်မလား?
Code-Switching & Multilingualism,မနက်ဖြန် Zoom meeting ရှိတယ်၊ သတိထားပါ။
Code-Switching & Multilingualism,သွားပြီး laptop charger တစ်ခုဝယ်လိုက်မယ်။
Code-Switching & Multilingualism,ဒီတလောမှာ stress ဖြစ်နေတယ်။
Code-Switching & Multilingualism,မှတ်သားထားရမယ်။ Deadline က Friday ဖြစ်တယ်။
Code-Switching & Multilingualism,သူ daily routine ထဲမှာ meditation ထည့်တယ်။
Code-Switching & Multilingualism,ကျွန်တော် try လုပ်ပြီးပြီ။
Code-Switching & Multilingualism,အခု မင်း design ကို feedback ပြန်ပေးမယ်။
Code-Switching & Multilingualism,ဒီတော့ Let's start brainstorming now.
Code-Switching & Multilingualism,Email က auto-reply လား မသိဘူး။
Code-Switching & Multilingualism,သူတို့ English-Burmese mix နဲ့ ပြောတတ်တယ်။
Formal & Professional Speech,ဒီအစီရင်ခံစာအရ အလုပ်အပ်ခြင်းက ကျေနပ်ဖွယ်ဖြစ်သည်။
Formal & Professional Speech,ဆေးရုံ၌ ပထမဆုံးအကြိမ်စစ်ဆေးမှု ပြုလုပ်ခဲ့သည်။
Formal & Professional Speech,ကျေးဇူးပြုပြီး သတ်မှတ်ချက်များအား လိုက်နာပါ။
Formal & Professional Speech,ဖောက်သည်တောင်းဆိုချက်ကို စနစ်တကျဖြေရှင်းပေးပါ။
Formal & Professional Speech,ကျွန်တော်၏ အတွေ့အကြုံမှာ ရင်းနှီးမြှုပ်နှံမှုများပါဝင်သည်။
Formal & Professional Speech,အဆိုပါအမှုမှာ တရားဝင်သက်သေများရှိသည်။
Formal & Professional Speech,အလုပ်အမှုဆောင် အဖြစ်တာဝန်ယူရမည်။
Formal & Professional Speech,ဤစာချုပ်ကို နှစ်ဖက်လက်မှတ်ရေးထိုးရန်လိုအပ်သည်။
Formal & Professional Speech,မိမိအဖွဲ့၏ရည်ရွယ်ချက်များအားရှင်းပြပါ။
Formal & Professional Speech,ဤအစည်းအဝေးတွင် လုပ်ငန်းစဉ်များအပေါ် ဆွေးနွေးမည်။
Idioms & Cultural Expressions,ငါးမဖမ်းခင် ငါးဟင်းမချက်နဲ့။
Idioms & Cultural Expressions,ဘုရင်မကျန်ဘူးဆိုတာကို တစ်နေ့မှာသိလာမယ်။
Idioms & Cultural Expressions,ချစ်ခြင်းဆိုတာ မျက်စိမှတဆင့် ဝင်လာတတ်တယ်။
Idioms & Cultural Expressions,မြန်တယ်ဆိုပြီး လမ်းလွဲမကျသင့်ဘူး။
Idioms & Cultural Expressions,မီးအောက်ကငါးကလေးလိုနေတယ်။
Idioms & Cultural Expressions,သူက မိုးမဖြစ်ခင်ထီးဖြန့်ထားတယ်။
Idioms & Cultural Expressions,တစ်ဖက်ကလည်း မတည် မချမ်းဘူး။
Idioms & Cultural Expressions,အရာရာမှာ နဂိုအတိုင်းအောင်ကြိုးစားပါ။
Idioms & Cultural Expressions,အလင်းမရှိရင် မျက်လုံးဖုံးလိုက်ရမယ်။
Idioms & Cultural Expressions,ရေစီးသွားတဲ့တံတားပဲ။
Question-Answer Pairs,မင်းဘယ်မှာနေသလဲ? - ကျွန်တော်ရန်ကုန်မှာနေရတယ်။
Question-Answer Pairs,စာမေးပွဲဘယ်နေ့မှာလဲ? - သောကြာနေ့ပါ။
Question-Answer Pairs,သူဘယ်နှနှစ်ရှိပြီလဲ? - သူ ၂၅ နှစ်ရှိပြီ။
Question-Answer Pairs,မုန့်ကောင်းလား? - အရမ်းကောင်းတယ်။
Question-Answer Pairs,သင်ဘယ်မှာအလုပ်လုပ်လဲ? - မန္တလေးမှာ bank တစ်ခုမှာပါ။
Question-Answer Pairs,ဒီ app ကိုဘယ်လိုသုံးရမလဲ? - Menu ထဲက instructions ကိုဖတ်ပါ။
Question-Answer Pairs,သူအကြောင်းကို မင်းသိလား? - မသိဘူး။
Question-Answer Pairs,ဒီနောက်ဆုံးမေးခွန်းလား? - ဟုတ်ပါတယ်။
Question-Answer Pairs,မင်းပျော်နေတယ်လား? - ဟုတ်တယ်။
Question-Answer Pairs,ဘယ်တုန်းကစလုပ်မလဲ? - မနက်ကိုစလုပ်မယ်။
Commands & Instructions,ကျေးဇူးပြုပြီး တံခါးကိုပိတ်ပါ။
Commands & Instructions,စာအုပ်ကို ဖတ်ပြီးမှ အိပ်ပါ။
Commands & Instructions,အစားအစာကို မမေ့ပါနှင့်။
Commands & Instructions,လျှပ်စစ်မီးကို ပိတ်ထားပါ။
Commands & Instructions,အေးဆေးနားပါ။
Commands & Instructions,စကားနည်းနည်းပြောပါ။
Commands & Instructions,လမ်းဖြတ်မယ်ဆိုရင် သတိပြုပါ။
Commands & Instructions,သူ့ကိုဖုန်းခေါ်ပါ။
Commands & Instructions,စာရင်းကိုပြန်စစ်ပါ။
Commands & Instructions,ကျွန်မနောက်တဖန်ပြောမယ်။
NER Data,သူက အောင်ဆန်းစုကြည်နဲ့ တွေ့ဖူးတယ်။
NER Data,ကျွန်မ ဒီဇင်ဘာလ ၂၅ ရက်နေ့မှာမွေးတယ်။
NER Data,အမေရိကန်နိုင်ငံကနေ ပြန်လာတယ်။
NER Data,ကျောင်းကို မန္တလေးတက္ကသိုလ်မှာတက်တယ်။
NER Data,Google က သူ့ကို အလုပ်ခေါ်တယ်။
NER Data,မြစ်ကြီးနားမြို့မှာ မိုးအေးတယ်။
NER Data,UNICEF က လူငယ်တွေကိုအကူအညီပေးတယ်။
NER Data,သူတို့က သူရိယစဉ်ဖြစ်တယ်။
NER Data,တနင်္လာနေ့တိုင်း စာသင်တယ်။
NER Data,မြန်မာ့စီးပွားရေးဘဏ်မှာအလုပ်လုပ်တယ်။
Sentiment Analysis,ကျွန်မအရမ်းပျော်နေတယ်။
Sentiment Analysis,ဒီအတွေ့အကြုံကစိတ်မရှည်ဖြစ်စေတယ်။
Sentiment Analysis,အစာရယ်ကတော့မင်းမုန်းအောင်ကောင်းတယ်။
Sentiment Analysis,သူ့ပြောတာက အနည်းငယ်စိတ်ညစ်စေတယ်။
Sentiment Analysis,အလုပ်က သဘာဝကျကျစိတ်ဝင်စားဖို့ကောင်းတယ်။
Sentiment Analysis,မနေ့က ပျော်ဖို့ကောင်းတဲ့နေ့ပါ။
Sentiment Analysis,ဒီ app သုံးရတာ အရမ်းအဆင်မပြေတာ။
Sentiment Analysis,သူ့အပြုအမူကလွဲမှားနေတယ်။
Sentiment Analysis,အောင်မြင်မှုရဖို့ကို ယုံကြည်တယ်။
Sentiment Analysis,မနက်ဖြန်အတွက် စိတ်လှုပ်ရှားနေတယ်။
Paraphrased & Augmented,သူ စာအုပ်ဖတ်နေတာ။
Paraphrased & Augmented,သူက စာအုပ်ကို ဖတ်နေတယ်။
Paraphrased & Augmented,သူစာအုပ်ဖတ်နေတယ်။
Paraphrased & Augmented,သူဟာ စာအုပ်ဖတ်နေတာပဲ။
Paraphrased & Augmented,စာအုပ်ဖတ်နေသူက သူပဲ။
Paraphrased & Augmented,သူက စာအုပ်ဖတ်နေတဲ့လူပါ။
Paraphrased & Augmented,သူ ဖတ်နေတဲ့စာအုပ်က စိတ်ဝင်စားဖို့ကောင်းတယ်။
Paraphrased & Augmented,သူကအခုစာအုပ်ဖတ်နေတာပါ။
