Category,Sentence (Montserrat Creole)
Grammar Core,Mi bin go a schuil yistide.
Grammar Core,Dem a cook food pan di faya.
Grammar Core,"If mi did know, mi wouldn bin go."
Grammar Core,Mi ago visit mi modda later.
Grammar Core,She always a sing when she happy.
Grammar Core,Di book dem don read arready.
Grammar Core,Mi shudda buy dat dress.
Grammar Core,Im waan fi go but im cyaan.
Grammar Core,Mi mek di cake wid coconut an sugar.
Grammar Core,Nobady neva see im yestide.
Conversational Data,Ow u deh? Mi long time no see yo!
Conversational Data,Mi need fi buy some ting from di shop.
Conversational Data,Dem tell mi say rain ago fall later.
Conversational Data,A wah yo do yestide?
Conversational Data,Mi cyaan believe di price dem raise so much!
Conversational Data,Mi hear say dem a go build new road.
Conversational Data,"Mi cyaan find mi key, yo see dem?"
Conversational Data,"Mi soon reach, hol on likkle bit."
Conversational Data,"Mi haffi lef now, cyaan late fi wuk."
Conversational Data,Di food taste real good!
Code-Switching & Multilingualism,"Mi just buy a new phone, it really fast!"
Code-Switching & Multilingualism,Wi ago meet pan Zoom fi di meeting.
Code-Switching & Multilingualism,Mi cyaan decide if mi waan go cinema or stay home.
Code-Switching & Multilingualism,Di restaurant sell di best jerk chicken in town.
Code-Switching & Multilingualism,"Mi cousin live a Canada now, im love di cold."
Code-Switching & Multilingualism,Wi deh chat bout di football match last night.
Code-Switching & Multilingualism,Mi soon check mi email an sen di response.
Code-Switching & Multilingualism,Mi haffi tek di train to wuk every morning.
Code-Switching & Multilingualism,Mi likkle sister love listen to reggae music.
Code-Switching & Multilingualism,Mi plan fi travel a London next year.
Formal & Professional Speech,"Good morning, mi wud like fi schedule an appointment."
Formal & Professional Speech,Di company a look fi new employees.
Formal & Professional Speech,Di contract state di terms an conditions clearly.
Formal & Professional Speech,Di doctor recommend more exercise fi good health.
Formal & Professional Speech,Di lawyer a review di case carefully.
Formal & Professional Speech,Wi appreciate yo business an support.
Formal & Professional Speech,Please ensure di documents dem sign properly.
Formal & Professional Speech,Customer service a assist clients all di time.
Formal & Professional Speech,Di government announce new policies fi tourism.
Formal & Professional Speech,Financial stability a key fi future success.
"Idioms, Proverbs & Cultural Expressions",One one cocoa full basket.
"Idioms, Proverbs & Cultural Expressions",Time longer dan rope.
"Idioms, Proverbs & Cultural Expressions",Mi cyaan put all mi egg in one basket.
"Idioms, Proverbs & Cultural Expressions",All fish have dem bone.
"Idioms, Proverbs & Cultural Expressions","Mi granny always say, 'Wah sweet nanny goat a go run im belly.'"
"Idioms, Proverbs & Cultural Expressions",Di pot cyaan call di kettle black.
"Idioms, Proverbs & Cultural Expressions","When trouble tek yuh, pickney clothes fit yuh."
"Idioms, Proverbs & Cultural Expressions",Monkey know which tree fi climb.
"Idioms, Proverbs & Cultural Expressions",Mi nuh waan jump outta frying pan into fire.
"Idioms, Proverbs & Cultural Expressions",Empty barrel mek di most noise.
Question-Answer Pairs,Wah yo name? - Mi name a Junior.
Question-Answer Pairs,Weh yo live? - Mi live a St. John's.
Question-Answer Pairs,Wah time it deh now? - It almost midday.
Question-Answer Pairs,"Yo eat already? - No, mi still hungry."
Question-Answer Pairs,"Yo like di movie? - Yes, it did real nice."
Question-Answer Pairs,How much fi dis? - It cost twenty dollar.
Question-Answer Pairs,When yo ago lef? - Mi ago lef later today.
Question-Answer Pairs,Why yo late? - Traffic did bad this morning.
Question-Answer Pairs,Weh mi shoes deh? - Check under di bed.
Question-Answer Pairs,Who call mi? - It sound like it was Mark.
Commands & Instructions,Come yah an look pon dis.
Commands & Instructions,Gi mi di salt please.
Commands & Instructions,Tun off di light before yo lef.
Commands & Instructions,"Wait yah, mi soon come."
Commands & Instructions,Bring di paper come gi mi.
Commands & Instructions,Put di food pan di table.
Commands & Instructions,Write yo name pan di paper.
Commands & Instructions,Lef di door open fi di breeze.
Commands & Instructions,"Hol di bag tight, it heavy."
Commands & Instructions,Mi need yo help wid dis.
Named Entity Recognition,Mi go Montserrat last year fi carnival.
Named Entity Recognition,John an Mary deh yah wid wi.
Named Entity Recognition,Di Prime Minister address di nation yestide.
Named Entity Recognition,Mi teacher name Miss James.
Named Entity Recognition,Wi live near Soufrière Hills.
Named Entity Recognition,Di airport at Gerald’s look nice.
Named Entity Recognition,Mi birthday deh pan di 15th of August.
Named Entity Recognition,Dem plan fi visit St. Kitts next month.
Named Entity Recognition,Mi uncle wuk a Bank of Montserrat.
Named Entity Recognition,Mi fada did know di Queen in im young days.
Sentiment Analysis,Mi love how di weather nice today!
Sentiment Analysis,Mi vex say mi miss di bus.
Sentiment Analysis,Mi feel real tired afta di long day.
Sentiment Analysis,"Di food so good, mi wah eat more."
Sentiment Analysis,Mi cyaan believe mi lose mi phone!
Sentiment Analysis,Mi so happy fi see mi friend again.
Sentiment Analysis,Mi no like how dem change di rules.
Sentiment Analysis,"Di movie did boring, mi nearly sleep."
Sentiment Analysis,Mi excited fi mi trip next week!
Sentiment Analysis,Mi sad say di party done already.
Paraphrased & Augmented Sentences,"Mi neva go pan di trip, mi did busy."
Paraphrased & Augmented Sentences,Mi did busy so mi neva mek di trip.
Paraphrased & Augmented Sentences,Di food taste sweet!
Paraphrased & Augmented Sentences,"Di food real nice, mi love it!"
Paraphrased & Augmented Sentences,Mi cyaan find mi book.
Paraphrased & Augmented Sentences,Mi a look fi mi book but mi nuh see it.
Paraphrased & Augmented Sentences,It deh pan di table.
Paraphrased & Augmented Sentences,Di table have it pan top.
Paraphrased & Augmented Sentences,"Mi soon reach, hol tight."
Paraphrased & Augmented Sentences,"Mi a come soon, wait likkle."
