Category,Sentence (Frisian)
Grammar Core (Sentence Structures & Tenses),Ik haw juster in boek lêzen.
Grammar Core (Sentence Structures & Tenses),Se sil moarn nei skoalle gean.
Grammar Core (Sentence Structures & Tenses),"As it reinich wie, bleau ik thús."
Grammar Core (Sentence Structures & Tenses),De doar wurdt iepene troch de leraar.
Grammar Core (Sentence Structures & Tenses),Hy hat in nije auto kocht.
Grammar Core (Sentence Structures & Tenses),Se wiene ferline wike op fakânsje.
Grammar Core (Sentence Structures & Tenses),Ik soe graach nei dy film sjen.
Grammar Core (Sentence Structures & Tenses),Wy hawwe ús bêst dien foar it eksamen.
Grammar Core (Sentence Structures & Tenses),It bern wie al sliepend doe’t wy oankamen.
Grammar Core (Sentence Structures & Tenses),Hy hie de brief al lêzen foardat ik kaam.
Conversational Data (Real-Life Dialogues & Exchanges),"Hoi, hoe giet it mei dy?"
Conversational Data (Real-Life Dialogues & Exchanges),"Goedemiddei, kinne jo my helpe?"
Conversational Data (Real-Life Dialogues & Exchanges),Wat tinksto oer dizze film?
Conversational Data (Real-Life Dialogues & Exchanges),Ik fyn it waar hjoed hiel moai.
Conversational Data (Real-Life Dialogues & Exchanges),Kinne wy moarn nei de stêd gean?
Conversational Data (Real-Life Dialogues & Exchanges),"Sorry, mar ik bin wat let."
Conversational Data (Real-Life Dialogues & Exchanges),Wat is dyn favorite hobby?
Conversational Data (Real-Life Dialogues & Exchanges),Hast al it nijs lêzen?
Conversational Data (Real-Life Dialogues & Exchanges),Ik tink dat wy dêr foar soargje moatte.
Conversational Data (Real-Life Dialogues & Exchanges),Wêr wolst ite jûn?
Code-Switching & Multilingualism,Ik moat myn passport checke foar de reis.
Code-Switching & Multilingualism,Se wie echt in leuke teacher yn skoalle.
Code-Switching & Multilingualism,Hasto dy app al gedownload?
Code-Switching & Multilingualism,Myn broer studearret software engineering.
Code-Switching & Multilingualism,Hy sei: ‘Dat is echt cool!’
Code-Switching & Multilingualism,Kinne wy dit event plannen foar tongersdei?
Code-Switching & Multilingualism,De klant wol syn order feroarje.
Code-Switching & Multilingualism,Ik bin mei myn team op in brainstorm sessie.
Code-Switching & Multilingualism,Dat liket my in goede deal.
Code-Switching & Multilingualism,Hast de email noch net stjoerd?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",De kontraktbetingsten moatte goed beoardiele wurde.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Pasjinten moatte har identifikaasje bringe.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",De finansjele rapportaazje moat op 'e tiid yntsjinne wurde.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",It gebrûk fan dit produkt wurdt allinich oanrikkemandearre nei konsultaasjes.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",De wetjouwing ferplichtet bedriuwen om belestingen te beteljen.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Dit rapport jout in analyze fan 'e trends fan ferline jier.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Wy sille in gearkomste planne om de strategy te besprekken.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",De garânsje op dit produkt duorret twa jier.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Dizze medikaasje moat allinnich brûkt wurde ûnder tafersjoch.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",De dokter sil de resultaten moarn beprate.
"Idioms, Proverbs & Cultural Expressions",Hy hat de kat yn it tsjuster set.
"Idioms, Proverbs & Cultural Expressions",Jou gjin jild út foar in keal yn ’e sek.
"Idioms, Proverbs & Cultural Expressions",De earste klap is in daalder wurdich.
"Idioms, Proverbs & Cultural Expressions",Hy rint as in hazze fan in slange.
"Idioms, Proverbs & Cultural Expressions",Elk skiep moat op syn eigen poaten stean.
"Idioms, Proverbs & Cultural Expressions",In fûgel yn ’e hân is better as tsien yn ’e loft.
"Idioms, Proverbs & Cultural Expressions",De wyn sit yn de seilen.
"Idioms, Proverbs & Cultural Expressions",Hy brûkt gjin wurden mar dieden.
"Idioms, Proverbs & Cultural Expressions",It is in druppel op in hite plaat.
"Idioms, Proverbs & Cultural Expressions",Hja steane as in hús op in goede fundearring.
Question-Answer Pairs (FAQ & Contextual Understanding),Wêr is it treinstasjon? - It is rjochts fan it plein.
Question-Answer Pairs (FAQ & Contextual Understanding),Hoe let giet de bus nei Ljouwert? - Om 14:30.
Question-Answer Pairs (FAQ & Contextual Understanding),"Kin ik hjir betelje mei kaart? - Ja, wis!"
Question-Answer Pairs (FAQ & Contextual Understanding),Wat is it spesjale menu fan hjoed? - Wy hawwe fisk en salade.
Question-Answer Pairs (FAQ & Contextual Understanding),Wêrom is de winkel hjoed ticht? - It is in feestdei.
Question-Answer Pairs (FAQ & Contextual Understanding),"Kinne jo dit yn in oare taal útlizze? - Ja, ik kin it yn Ingelsk útlizze."
Question-Answer Pairs (FAQ & Contextual Understanding),Wat is it waarmoarn? - Sinne en 18 graden.
Question-Answer Pairs (FAQ & Contextual Understanding),Hoe kin ik in lidmaatskip krije? - Jo kinne online oanfreegje.
Question-Answer Pairs (FAQ & Contextual Understanding),"Is der in koarting foar studinten? - Ja, 10% koarting."
Question-Answer Pairs (FAQ & Contextual Understanding),Wat is de priis fan dizze laptop? - 999 euro.
Commands & Instructions (Imperative Sentences),Sjoch hjir ris nei.
Commands & Instructions (Imperative Sentences),Doch de doar ticht.
Commands & Instructions (Imperative Sentences),Gean nei de dokter as it net better wurdt.
Commands & Instructions (Imperative Sentences),Lit my witte as der problemen binne.
Commands & Instructions (Imperative Sentences),Ferjit net dyn kaai mei te nimmen.
Commands & Instructions (Imperative Sentences),Besykje dit resept thús!
Commands & Instructions (Imperative Sentences),Stopje mei skriemen en hannelje!
Commands & Instructions (Imperative Sentences),Harkje goed nei de ynstruksjes.
Commands & Instructions (Imperative Sentences),Doch de laptop út as jo klear binne.
Commands & Instructions (Imperative Sentences),Set it yn ‘e koelkast.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Johan hat in nij boek oer Fryslân skreaun.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Amsterdam is de haadstêd fan Nederlân.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",De earste trein nei Grins ferlit it stasjon om 07:15.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Microsoft hat hjoed in nije software-update útbrocht.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Kening Willem-Alexander sil in besite bringe oan Ljouwert.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",De Olympyske Spullen fan 2024 wurde hâlden yn Parys.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Dizze wike begjint it Simmerfestival yn Dokkum.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",De FNP is in politike partij yn Fryslân.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",De Frysktalige skoallen nimme diel oan it nije ûnderwiisprojekt.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Yn 1498 waard Albrecht fan Saksen de heerser fan Fryslân.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ik bin sa bliid mei myn nije baan!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Dit waar makket my echt depressyf.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ik bin teloarsteld oer de tsjinst fan dit bedriuw.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Wat in geweldige film! Ik soe it oan elkenien oanbefelje.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ik fiel my hjoed net sa goed.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Se is sa entûsjast oer har nije projekt!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),De tsjinstferliening yn dit restaurant is ferskriklik!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ik bin echt grutsk op wat wy berikt hawwe.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Hy wie lilk om't syn bestelling ferkeard wie.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ik bin tankber foar al de stipe dy't ik krigen haw.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ik haw juster in boek lêzen. → Juster haw ik in boek lêzen.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Se sil moarn nei skoalle gean. → Moarn giet se nei skoalle.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Wat in geweldige film! → Dizze film wie echt prachtich.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ik bin sa bliid mei myn nije baan! → Myn nije baan makket my tige lokkich.
