Category,Limburgish Sentence
Grammar Core,Ich haet vaandaag mich huus schoen opgeruumd.
Grammar Core,Morge gaon veer mit de trein nao Mestreech.
Grammar Core,Heur waas zjus get noa de winkel gaon.
Grammar Core,Ich zou neet weite waat ich moet doon.
Grammar Core,Hae weurt d'r einne sjoen tied van make.
Grammar Core,Ich hebbe de heile daag aan dich gedach.
Grammar Core,Kins doe mich helpe mit dit probleem?
Grammar Core,"Ze weure gein gewoen mens, mer echte helde."
Grammar Core,"Waeër ich neet ziek gewaes, dan waor ich nao 't feest gaon."
Grammar Core,Ze weite neet waat ze môtte doon.
Conversational Data,"Hey, hoe geit 't mit dich vandaach?"
Conversational Data,"Ich bin e bietje mood, ich haet nag neet good geslaope."
Conversational Data,Waat zègste? Ich höb dich neet good verstaon.
Conversational Data,Zulle veer vanavond same eine film kieke?
Conversational Data,"Doe möt neet zoe sjnel prate, ich kan die neet biehouwe."
Conversational Data,"Ich haet ein lekker stök vlaai gekocht, wilste eine hapje?"
Conversational Data,"Doe kins meuch ins belleeve, ich zeg toch de waerheid!"
Conversational Data,Haej is ’t in Mestreech?
Conversational Data,"Ich hob anger weark te doon, sorry dat ich neet kan blieve."
Conversational Data,"Veer zeen meh op ’t café, geitste mit?"
Code-Switching & Multilingualism,Ich gaon straks lunch make en danach de meeting joinen.
Code-Switching & Multilingualism,Doe kin mich adden op WhatsApp?
Code-Switching & Multilingualism,Mien laptop is crashed en ich kan niks meer doe.
Code-Switching & Multilingualism,Ich höb ein call mit de client vanaaf.
Code-Switching & Multilingualism,Doe mót die email forwarde nao de baas.
Code-Switching & Multilingualism,Ich haet ein nieuwe update installed op mien phone.
Code-Switching & Multilingualism,Kinste ’t formulier online uploaden?
Code-Switching & Multilingualism,Ich haet net eine coffee break gehad.
Code-Switching & Multilingualism,Ich gaon shoppe in de city vanaaf.
Code-Switching & Multilingualism,Veer haet 't project kickstarted vandaach.
Formal & Professional Speech,"Geachte heer Janssen, ich wilsse uch informere euver de vergadering."
Formal & Professional Speech,"Met vriendelijke groet, Anja van Dijk."
Formal & Professional Speech,De rapportage weurt vandaach verstuurd nao de directie.
Formal & Professional Speech,Kunt ge uch agenda vrijmake veur eine bespreking?
Formal & Professional Speech,Dit document bevat vertrouwelijke informatie.
Formal & Professional Speech,Heur ervaring in finance is indrukwekkend.
Formal & Professional Speech,Onze partners waardeere de professionaliteit van ons bedrijf.
Formal & Professional Speech,De wetgeving schrif veur dat dit correct gedokumenteerd weurt.
Formal & Professional Speech,Dit product is ontwikkeld mit de hoogste standaarden.
Formal & Professional Speech,Veer stelle uch voorstel op prijs en beluuë de mogelijkheden.
