Category,Sentence_Lao
Grammar Core,ຂ້ອຍກິນເຂົ້າທຸກມື້
Grammar Core,ຂ້ອຍກິນເຂົ້າແລ້ວ
Grammar Core,ຂ້ອຍຈະກິນເຂົ້າ
Grammar Core,ຂ້ອຍບໍ່ໄດ້ກິນເຂົ້າ
Grammar Core,ເຂົາຖືກກິນເຂົ້າ
Grammar Core,"ຖ້າຂ້ອຍກິນເຂົ້າ, ຂ້ອຍຈະເຂົ້ານອນ"
Grammar Core,ເມື່ອຄືນນີ້ຂ້ອຍໄດ້ກິນເຂົ້າ
Grammar Core,ຂ້ອຍຄວນຈະກິນເຂົ້າ
Grammar Core,ຂ້ອຍກຳລັງກິນເຂົ້າ
Grammar Core,ຂ້ອຍຈະຕ້ອງກິນເຂົ້າ
Conversational Data,"ສະບາຍດີ, ທ່ານຊື່ຫຍັງ?"
Conversational Data,ຂ້ອຍຊື່ປີເມື່ອໃດ?
Conversational Data,ເຈົ້າເຂົ້າໃຈທີ່ຂ້ອຍພູດບໍ?
Conversational Data,ເຈົ້າມາແຕ່ໃສ?
Conversational Data,ຂ້ອຍຈິ່ງຊອບກາເຟ
Conversational Data,ເຈົ້າຄິດວ່າອາກາດມື້ນີ້ເປັນແນວໃດ?
Conversational Data,ເຂົາໄປທີ່ໂຮງໜັງບໍ?
Conversational Data,ຂ້ອຍຢາກໄປເທດສະການ
Conversational Data,ມື້ນີ້ເປັນວັນເຊົາທີ່ດີ
Conversational Data,"ຂ້ອຍສະບາຍດີ, ແລ້ວເຈົ້າເປັນແນວໃດ?"
Code-Switching & Multilingualism,ຂ້ອຍຊອບຟັງ music ໃນຕອນເຊົ້າ
Code-Switching & Multilingualism,ເຈົ້າສົນໃຈ technology ບໍ?
Code-Switching & Multilingualism,ເຂົາໃຊ້ Lao ແລະ English ປະສົມກັນ
Code-Switching & Multilingualism,ຂ້ອຍຈະ order coffee
Code-Switching & Multilingualism,ນີ້ແມ່ນ app ທີ່ຂ້ອຍຊອບ
Code-Switching & Multilingualism,ຂ້ອຍຄິດວ່າ brand ນີ້ດີ
Code-Switching & Multilingualism,ເຈົ້າໄດ້ເບິ່ງ movie ຄືນນີ້ບໍ?
Code-Switching & Multilingualism,ຂ້ອຍສັ່ງ food online
Code-Switching & Multilingualism,ຂ້ອຍກຳລັງ chat ກັບໝູ່
Code-Switching & Multilingualism,ນີ້ແມ່ນ message ທີ່ສົ່ງໃຫ້ເຈົ້າ
Formal & Professional Speech,ຂ້ອຍຂໍຂອບໃຈສໍາລັບເວລາຂອງທ່ານ
Formal & Professional Speech,ໃນວັນທີ 10 ເຮົາມີການປະຊຸມ
Formal & Professional Speech,ຂ້ອຍຈະສົ່ງອີເມວທົດສອບ
