Category,Sentence (Yoruba)
Grammar Core (Sentence Structures & Tenses),Mo n ṣiṣẹ bayi.
Grammar Core (Sentence Structures & Tenses),O ti sùn tẹlẹ.
Grammar Core (Sentence Structures & Tenses),A yoo lọ si ọja lola.
Grammar Core (Sentence Structures & Tenses),"Ti o ba ṣiṣẹ takuntakun, iwọ yoo ṣaṣeyọri."
Grammar Core (Sentence Structures & Tenses),Mi ò fẹ lọ si ibẹ.
Grammar Core (Sentence Structures & Tenses),Ohun tí ó yẹ kí ó ṣe ni pé kí o gbiyanju.
Grammar Core (Sentence Structures & Tenses),Mi ò le jẹun bayi.
Grammar Core (Sentence Structures & Tenses),A gba iṣẹ yẹn ni ọjọ Tuesday.
Grammar Core (Sentence Structures & Tenses),Mo ti ri ọ ni ṣaaju.
Grammar Core (Sentence Structures & Tenses),Wọn n ba mi sọrọ.
Conversational Data (Real-Life Dialogues & Exchanges),"Bawo ni? – Mo wa daadaa, o ṣeun."
Conversational Data (Real-Life Dialogues & Exchanges),Kilode tí o fi pẹ bayii?
Conversational Data (Real-Life Dialogues & Exchanges),Njẹ o ti jẹun?
Conversational Data (Real-Life Dialogues & Exchanges),Emi yoo pe ọ nigbakuugba.
Conversational Data (Real-Life Dialogues & Exchanges),Eleyi ko tọ.
Conversational Data (Real-Life Dialogues & Exchanges),Kilode tí o fi ronu bẹ?
Conversational Data (Real-Life Dialogues & Exchanges),"E jọwọ, mo fẹ lati ra nkan."
Conversational Data (Real-Life Dialogues & Exchanges),Ṣe o le ran mi lọwọ?
Conversational Data (Real-Life Dialogues & Exchanges),Mo n lo si ile mi bayii.
Conversational Data (Real-Life Dialogues & Exchanges),"O n dun mi, jọwọ gbọ mi."
Code-Switching & Multilingualism,Mo ti ra groceries ni shop yẹn.
Code-Switching & Multilingualism,E lo pay bill yin ni counter.
Code-Switching & Multilingualism,Kilode tí o fi late wa class?
Code-Switching & Multilingualism,Jọwọ send mi message yẹn.
Code-Switching & Multilingualism,"Ma binu, network mi slow."
Code-Switching & Multilingualism,Ẹ jẹ ki n cancel rẹ.
Code-Switching & Multilingualism,Mo fẹ change location.
Code-Switching & Multilingualism,Let's go ṣá!
Code-Switching & Multilingualism,This food tastes better ju pe mo ro lo.
Code-Switching & Multilingualism,A ma wa online later.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Jọwọ ṣalaye ofin yẹn fun mi.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",A gbọdọ fi ọwọ́ mu iṣẹ naa.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ijọba n gbìyànjú lati mu idagbasoke ba orilẹ-ede.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ọjọgbọn yẹn ṣàlàyé ipa ti ẹkọ́ lórí awujọ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ẹ jọwọ kí ẹ dá mi lohun l’ókàn t’ó dá.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Iṣẹ́ ti a n ṣe ni iduroṣinṣin.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ṣe o fẹ yan ilé-iṣẹ́ yii?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",A nilo ipinnu to lagbara.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ilera wa ni pataki.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mo fi ṣìlė fun ipade naa.
"Idioms, Proverbs & Cultural Expressions",Ẹni tí kò gbin kì yóò gbà.
"Idioms, Proverbs & Cultural Expressions",Àyàfi ẹni tó bá fọ́ tán l’ó mọ ibi tí omi ń wọ.
