Category,Sentence (Interlingue)
Grammar Core (Sentence Structures & Tenses),Il scrit un lettra yer.
Grammar Core (Sentence Structures & Tenses),Yo va leer un libre deman.
Grammar Core (Sentence Structures & Tenses),"Si tu vole, noi posse incontrar nos hodie."
Grammar Core (Sentence Structures & Tenses),Il ne eat al labor proque il es malade.
Grammar Core (Sentence Structures & Tenses),Chascun debe far su beson.
Grammar Core (Sentence Structures & Tenses),"Quande li sole rise, yo senti me felici."
Grammar Core (Sentence Structures & Tenses),Li libres esset tro pesant por portar.
Grammar Core (Sentence Structures & Tenses),"Si yo havet plu témpor, yo vad vell viagear."
Grammar Core (Sentence Structures & Tenses),Un bon idee ne es sempre un bon solution.
Grammar Core (Sentence Structures & Tenses),"In li passate, li persones ne havet smartfones."
Conversational Data (Real-Life Dialogues & Exchanges),Salute! Como sta vos?
Conversational Data (Real-Life Dialogues & Exchanges),"Yo vole un caffé, per favor."
Conversational Data (Real-Life Dialogues & Exchanges),"Pardona me, esque tu posse adjutar me?"
Conversational Data (Real-Life Dialogues & Exchanges),Ne problemes! Noi posse parlar plu tard.
Conversational Data (Real-Life Dialogues & Exchanges),Tu ha videt mi claves?
Conversational Data (Real-Life Dialogues & Exchanges),"Yo ne save exactmen, ma yo pensa que es possibil."
Conversational Data (Real-Life Dialogues & Exchanges),Gratias! To es mult apreciat.
Conversational Data (Real-Life Dialogues & Exchanges),"Noi va al cinemá hodie, tu vole junter nos?"
Conversational Data (Real-Life Dialogues & Exchanges),Quante custa ti cose?
Conversational Data (Real-Life Dialogues & Exchanges),"Li tren va ear in 5 minutes, noi deve hastar nos!"
Code-Switching & Multilingualism,"Yo vole un espresso e un croissant, merci!"
Code-Switching & Multilingualism,Esque tu comprende mi request pro un update?
Code-Switching & Multilingualism,"Pardona, ma li software update ne es complet."
Code-Switching & Multilingualism,Vamos al restaurante que tiene el mejor vino.
Code-Switching & Multilingualism,Li meeting es confirmat por 3 PM in Zoom.
Code-Switching & Multilingualism,"Elle es en vacance, mais elle reviendra demain."
Code-Switching & Multilingualism,Il faut télécharger le document avant midi.
Code-Switching & Multilingualism,"Li evento va esser in Berlin, hast du Lust zu kommen?"
Code-Switching & Multilingualism,Yo habe un importante deadline hodie.
Code-Switching & Multilingualism,Bonjorno! Como sta vos hodie?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Li contractu debe esser signat ante vender li proprietá.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Noi va informar vos pri li procedura del reclamation.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Li patient ha reportat simptomes de febre e tosse.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Por proceder con li transaccion, signa ci document."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Es necessi un verification del identitá.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ti discussion es confidential e non deve esser divulgat.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Li analysi demonstra que li vendites ha augmentat.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nos recivei vostre petition e va responder prest.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Consultation con un specialist es recomendet.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Li sistema ha esset optimisat por meliorar li eficientie.
"Idioms, Proverbs & Cultural Expressions",Li pomme ne cade lontan del arbore.
"Idioms, Proverbs & Cultural Expressions",Un mann sin amicos es quam un arbo sin frondes.
"Idioms, Proverbs & Cultural Expressions",Tro multe cuisiniers ruina li supa.
"Idioms, Proverbs & Cultural Expressions",Un galla ne changea su plumage.
"Idioms, Proverbs & Cultural Expressions",Li herbe es plu verd altra-loc.
"Idioms, Proverbs & Cultural Expressions",Un lingue non sufice por conversas bon.
"Idioms, Proverbs & Cultural Expressions",Li verité sempre veni al luce.
"Idioms, Proverbs & Cultural Expressions",Ne fa un montania ex un talpecol.
"Idioms, Proverbs & Cultural Expressions",Li silentie parla plu fort quam paroles.
"Idioms, Proverbs & Cultural Expressions","Qui semina vent, cosecha tempeste."
Question-Answer Pairs (FAQ & Contextual Understanding),Ubi es li bibliotheca? – Li bibliotheca es al centre del cité.
Question-Answer Pairs (FAQ & Contextual Understanding),Quant custa ti libre? – It custa 10 euros.
Question-Answer Pairs (FAQ & Contextual Understanding),"Esque yo posse prender un pause? – Yes, ma ne tro long."
Question-Answer Pairs (FAQ & Contextual Understanding),Qui es li chef del projectu? – Es Maria.
Question-Answer Pairs (FAQ & Contextual Understanding),Quande va comensar li reunion? – A 14:00.
Question-Answer Pairs (FAQ & Contextual Understanding),"Esque tu ja finit li raport? – No, yo va finir it deman."
Question-Answer Pairs (FAQ & Contextual Understanding),Qual es li diferentie inter café e té? – Café es plu fort.
Question-Answer Pairs (FAQ & Contextual Understanding),Tu prefere li matin o li sero? – Yo prefere li matin.
Question-Answer Pairs (FAQ & Contextual Understanding),Quant kilometros es li distantie? – Circa 50 kilometros.
Question-Answer Pairs (FAQ & Contextual Understanding),Qual es tu opinion pri ti tema? – Yo pensa que it es un bon idéa.
Commands & Instructions (Imperative Sentences),Adjuta me con ti problema!
Commands & Instructions (Imperative Sentences),Ples lassa li porta apert.
Commands & Instructions (Imperative Sentences),Ne oblivia signar li document.
Commands & Instructions (Imperative Sentences),Lega li regulas ante comensar.
Commands & Instructions (Imperative Sentences),Scri tu nómine ci.
Commands & Instructions (Imperative Sentences),Pren un loc in li sala.
Commands & Instructions (Imperative Sentences),Dormi bastante pro esser fresc.
Commands & Instructions (Imperative Sentences),Ne manja tosi rapidmen.
Commands & Instructions (Imperative Sentences),Pren li bus numero 5 por ear al centre.
Commands & Instructions (Imperative Sentences),Repete li frase por memorar it melior.
Named Entity Recognition (NER) Data,Paris es li cité del lúmine.
Named Entity Recognition (NER) Data,Albert Einstein nascet in 1879.
Named Entity Recognition (NER) Data,Apple Inc. ha presentat su nov telefon.
Named Entity Recognition (NER) Data,Li Amazon es li plu long fluvie in America del Sud.
Named Entity Recognition (NER) Data,Noi visita Roma pro li vacance.
Named Entity Recognition (NER) Data,Tesla ha lanciat un nov model.
Named Entity Recognition (NER) Data,Li Premie Nobel es un grand honor.
Named Entity Recognition (NER) Data,Li Torre Eiffel es in Francia.
Named Entity Recognition (NER) Data,Shakespeare scrit Hamlet.
Named Entity Recognition (NER) Data,Li Google I/O eventu es chascun annu.
Sentiment Analysis Data,Yo es mult felici hodie!
Sentiment Analysis Data,To es li plu bell jorn de mi vive.
Sentiment Analysis Data,Yo senti me frustrat pri to.
Sentiment Analysis Data,Li filme esset extraordinari.
Sentiment Analysis Data,Li servicie in ti restaurante es horribil.
Sentiment Analysis Data,Yo odia quande it pluve sin fin.
Sentiment Analysis Data,Li musica fa me senti tranquil.
Sentiment Analysis Data,Mi can es mi max bon amico!
Sentiment Analysis Data,Yo es mult excitant pri li eventu!
Sentiment Analysis Data,Yo ne es cert pri mi decision.
Paraphrased & Augmented Sentences,Li clima es bell hodie. | Hodie li temp es admirabil.
Paraphrased & Augmented Sentences,"Yo vole un tasse de café. | Un café, por favor."
Paraphrased & Augmented Sentences,Li tren va ear prest. | Li tren departi in curt témpor.
Paraphrased & Augmented Sentences,"Yo va leer un libre deman. | Deman, yo lee un libre."
Paraphrased & Augmented Sentences,Li negociation es complex. | Li discussion es dificil.
Paraphrased & Augmented Sentences,"Esque tu ha videt mi claves? | Mi claves, tu los ha videt?"
Paraphrased & Augmented Sentences,Yo senti me bon. | Yo es in un bon statu.
Paraphrased & Augmented Sentences,"Pardona me, esque tu posse adjutar me? | Posse tu adjutar me, per favor?"
Paraphrased & Augmented Sentences,Yo pensa que it es possibil. | It sembla que it es possibil.
Paraphrased & Augmented Sentences,Li evento va esser in Berlin. | In Berlin va esser un evento.
