Category,Sentence (Turkmen)
Grammar Core (Sentence Structures & Tenses),Men düýn işe gitdim.
Grammar Core (Sentence Structures & Tenses),Ol ertir mekdebe barar.
Grammar Core (Sentence Structures & Tenses),Biz kitap okaýarys.
Grammar Core (Sentence Structures & Tenses),Siz kino görýärdiňiz.
Grammar Core (Sentence Structures & Tenses),Men gitmän galdym.
Grammar Core (Sentence Structures & Tenses),Olar aýdylan işi ýerine ýetirerler.
Grammar Core (Sentence Structures & Tenses),Ol ýazylan haty okady.
Grammar Core (Sentence Structures & Tenses),"Eger-de ol gelse, biz gitmeris."
Grammar Core (Sentence Structures & Tenses),Kitaplar okalýar.
Grammar Core (Sentence Structures & Tenses),Sen maňa kömek etmediň.
Conversational Data (Real-Life Dialogues & Exchanges),"– Salam! Näme hal ýagdaýlaryň? – Gowy, sag bol."
Conversational Data (Real-Life Dialogues & Exchanges),"– Bu gün bazara gitjekmi? – Hawa, gitsek gowy bolar."
Conversational Data (Real-Life Dialogues & Exchanges),– Men nahar bişirdim. – Näme bişirdiň?
Conversational Data (Real-Life Dialogues & Exchanges),"– Telefonyň bar-da? – Hawa, täze aldyk."
Conversational Data (Real-Life Dialogues & Exchanges),– Özüňe seret. – Sen hem şeýle!
Conversational Data (Real-Life Dialogues & Exchanges),"– Bile okaýarsyňmy? – Elbetde, bile öwreneliň."
Conversational Data (Real-Life Dialogues & Exchanges),"– Işden nädip çykdyň? – Gowy geçdi, alada etme."
Conversational Data (Real-Life Dialogues & Exchanges),– Mugallym näme diýdi? – Ol bize täze tabşyryk berdi.
Conversational Data (Real-Life Dialogues & Exchanges),– Şu gün dynç alalyňmy? – Gowy pikir.
Conversational Data (Real-Life Dialogues & Exchanges),"– Sag bol! – Sag boluň, görüşeris!"
Code-Switching & Multilingualism,"Men ertir bazara gidýän, but I don't know what to buy."
Code-Switching & Multilingualism,"Şol restoranda gowy nahar bar, especially the kebab."
Code-Switching & Multilingualism,"Biz şo ýerde duşuşarys, maybe at 6 o'clock."
Code-Switching & Multilingualism,Ol aýdýar: 'Geljekde I'll study abroad.'
Code-Switching & Multilingualism,"Bugün gaty yssy, let’s go içeri giräýin."
Code-Switching & Multilingualism,"Men şol meseleyi düşündim, but I still have some questions."
Code-Switching & Multilingualism,"Ol aýdýar ol busy, şonuň üçin gelmezmiş."
Code-Switching & Multilingualism,Bu tema hakda previously gürrüň etdik.
Code-Switching & Multilingualism,Çagalar aýdýarlar: 'Biz tired we öýe gitmek isleýäris.'
Code-Switching & Multilingualism,"Ol öýe geldi, and then he left again."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Hormatly ýolbaşçy, şu hat arkaly ýüzlenýärin."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Resminamalar wagtynda tabşyrylmaly.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Bu prosedura boýunça degişli işgärler jogapkärdir.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Beýleki tarap bilen şertnama baglaşyldy.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Lukman aýdýar: ýüregiňiziň ýagdaýy gowulaşýar.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Bu mesele mejlisde ara alnyp maslahatlaşyldy.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tehniki görkezmeler bilen içgin tanyşyň.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Biz maliýe hasabatlaryny taýýarladyk.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Müşderiniň arzasy ýazmaça görnüşde kabul edildi.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Resmi jogap 5 iş gününiň dowamynda iberiler.
"Idioms, Proverbs & Cultural Expressions","Etme ekeniňi, çekme ekeniňi."
"Idioms, Proverbs & Cultural Expressions","Ýel de bolsa, ak ýel bolsun."
"Idioms, Proverbs & Cultural Expressions","Tapan okan, okaýan tapan."
"Idioms, Proverbs & Cultural Expressions",Ýagşylygyň hatyrasy bar.
"Idioms, Proverbs & Cultural Expressions",Daýanyň bolsa dag aşar.
"Idioms, Proverbs & Cultural Expressions",Iňňe geçýän ýerden ýüki geçir.
"Idioms, Proverbs & Cultural Expressions","Göz gözü görmez, ýürek ýüregi duýmaz."
"Idioms, Proverbs & Cultural Expressions","Tiz giden öň geler, akyl bilen yza galmaz."
