Category,Tok Pisin Sentence
Grammar Core (Sentence Structures & Tenses),Mi bin go long maket long Sande.
Grammar Core (Sentence Structures & Tenses),Em bai kam bek bihain long apinun.
Grammar Core (Sentence Structures & Tenses),Mi save stori wantaim ol pren bilong mi.
Grammar Core (Sentence Structures & Tenses),Ol i wok long lukautim haus.
Grammar Core (Sentence Structures & Tenses),Mi no inap go long skul tude.
Grammar Core (Sentence Structures & Tenses),Skul bai stat long nekis wik.
Grammar Core (Sentence Structures & Tenses),Ol manmeri i bin wokim dispela haus.
Grammar Core (Sentence Structures & Tenses),Dispela buk i mas ritim gut.
Grammar Core (Sentence Structures & Tenses),"Sapos yu no wok hat, yu no kisim mani."
Grammar Core (Sentence Structures & Tenses),Mi laik bai mi inap bungim yu long taun.
Conversational Data (Real-Life Dialogues & Exchanges),Yu orait ah?
Conversational Data (Real-Life Dialogues & Exchanges),Mi laik baim wanpela kok.
Conversational Data (Real-Life Dialogues & Exchanges),Yu stap we nau?
Conversational Data (Real-Life Dialogues & Exchanges),Mi bin lukim em long stua.
Conversational Data (Real-Life Dialogues & Exchanges),Em i tokim mi olsem em no save.
Conversational Data (Real-Life Dialogues & Exchanges),Yu wok yet o yu stap long haus?
Conversational Data (Real-Life Dialogues & Exchanges),"Nogat, mi no kisim."
Conversational Data (Real-Life Dialogues & Exchanges),"Tenkyu tru, mi amamas."
Conversational Data (Real-Life Dialogues & Exchanges),Em i go pinis?
Conversational Data (Real-Life Dialogues & Exchanges),Mi no ting em bai kam bek.
Code-Switching & Multilingualism,Mi go long haus na mi kisim lewa.
Code-Switching & Multilingualism,Yu kisim displa one?
Code-Switching & Multilingualism,"Tude em hot tru, em olsem fire."
Code-Switching & Multilingualism,Mi stap busy olgeta long wok.
Code-Switching & Multilingualism,Em i go wantaim olgeta wantok.
Code-Switching & Multilingualism,Dispela samting em olsem normal tasol.
Code-Switching & Multilingualism,"Mi no ken go yet, mi gat meeting."
Code-Switching & Multilingualism,Yu laik kaikai rice o banana?
Code-Switching & Multilingualism,Mi no klia long displa explanation.
Code-Switching & Multilingualism,Plis bringim dispela bag i go insait.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mi laik mekim appointment long lukim dokta.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Dispela report i mas stap confidential.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Plis signim dispela kontrak hia.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Yumi bai mekim meeting long Mande 9am.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ol patient i mas abrusim dispela area.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Taim yu pinisim, salim report i kam."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Dispela medication em long sik malaria.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kompeni i no inap givim bonus long dispela quarter.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mi raitim wanpela strong toktok bilong court.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Wokman i mas bihainim ol safety rul.
"Idioms, Proverbs & Cultural Expressions",Yu no ken putim han long wara bipo yu lukim diwai.
"Idioms, Proverbs & Cultural Expressions",Wanpela het i no inap kirapim ol ples.
"Idioms, Proverbs & Cultural Expressions","Sapos yu laik kaikai banana, yu mas planim."
"Idioms, Proverbs & Cultural Expressions",Wara i no save bruk nating.
"Idioms, Proverbs & Cultural Expressions",Ol man i save tok: 'Snek i save stap klostu long gras.'
"Idioms, Proverbs & Cultural Expressions",Yu no ken lap long bagarap bilong narapela.
"Idioms, Proverbs & Cultural Expressions",Wanpela kain samting i no save kamap planti taim.
"Idioms, Proverbs & Cultural Expressions",Bel isi em i winim strongpela maus.
"Idioms, Proverbs & Cultural Expressions","Bihainim rot bilong tumbuna, bai yu no lus."
"Idioms, Proverbs & Cultural Expressions","Taun i gat planti ai, bush i gat planti yau."
Question-Answer Pairs (FAQ & Contextual Understanding),Wanem nem bilong yu?
Question-Answer Pairs (FAQ & Contextual Understanding),Yu save long husat i mekim dispela?
Question-Answer Pairs (FAQ & Contextual Understanding),Wanem samting i kamap long skul?
Question-Answer Pairs (FAQ & Contextual Understanding),Olsem wanem mi inap helpim yu?
Question-Answer Pairs (FAQ & Contextual Understanding),Yu ting dispela gutpela idea?
Question-Answer Pairs (FAQ & Contextual Understanding),Wanem taim yumi bai bung?
