Category,IsiZulu Sentence
Grammar Core (Sentence Structures & Tenses),Ngiyafunda incwadi yonke.
Grammar Core (Sentence Structures & Tenses),Ngizofunda incwadi kusasa.
Grammar Core (Sentence Structures & Tenses),Bafunde izindaba ezimnandi.
Grammar Core (Sentence Structures & Tenses),Besifunda ngesikhathi esedlule.
Grammar Core (Sentence Structures & Tenses),"Uma ngifunda, ngithola ulwazi oluningi."
Grammar Core (Sentence Structures & Tenses),Incwadi ibhalwe ngesiZulu.
Grammar Core (Sentence Structures & Tenses),Angifundi kulezi zinsuku.
Grammar Core (Sentence Structures & Tenses),Ngifunde incwadi izolo.
Grammar Core (Sentence Structures & Tenses),Ngabe uzofunda nami?
Grammar Core (Sentence Structures & Tenses),Ngizobe ngifunda uma ngihamba ekhaya.
Conversational Data (Real-Life Dialogues & Exchanges),Sawubona! Unjani namuhla?
Conversational Data (Real-Life Dialogues & Exchanges),"Ngiyaphila, ngiyabonga. Wena?"
Conversational Data (Real-Life Dialogues & Exchanges),"Ngicela ikhofi elilodwa, ngiyabonga."
Conversational Data (Real-Life Dialogues & Exchanges),Uhlala kuphi?
Conversational Data (Real-Life Dialogues & Exchanges),"Ngihlala eThekwini, wena?"
Conversational Data (Real-Life Dialogues & Exchanges),"Ngiyaxolisa, angizwa kahle."
Conversational Data (Real-Life Dialogues & Exchanges),Sizobonana kusasa emsebenzini.
Conversational Data (Real-Life Dialogues & Exchanges),Ngicela ukusiza ngale ndaba.
Conversational Data (Real-Life Dialogues & Exchanges),"Yebo, ngiyavuma ngalokho."
Conversational Data (Real-Life Dialogues & Exchanges),Ucabanga ukuthi kuhle ukwenza lokho?
Code-Switching & Multilingualism,Ngithanda ukudlala i-soccer ngeSonto.
Code-Switching & Multilingualism,"Please, unganginika amanzi?"
Code-Switching & Multilingualism,Ngizohamba ku-bus eSandton.
Code-Switching & Multilingualism,I-meeting izoba ngoLwesihlanu.
Code-Switching & Multilingualism,Ngifuna i-laptop entsha ye-project.
Code-Switching & Multilingualism,Sizokwenza review ye-document kusasa.
Code-Switching & Multilingualism,Mina ngisebenza e-call centre.
Code-Switching & Multilingualism,Yini i-deadline yalo msebenzi?
Code-Switching & Multilingualism,Hamba straight bese ujika right.
Code-Switching & Multilingualism,Ngikhuluma isiZulu and English kahle.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Sicela ukwazisa amakhasimende ethu ngalolu shintsho.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ngicela uphinde ukuchaza lesi sigaba sesivumelwano.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Udokotela uzokubona ngo-10 ekuseni.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Sicela uthumele ama-invoyisi akho.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ibhange lidinga ubufakazi bokuthi uhlala kuphi.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Sicela ugcwalise le fomu ngaphambi kokuthi ungeniswe.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Umthetho uyalawula ukuthi kufanele wenzeni.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ngidinga umbiko wokuhlolwa kwekhwalithi.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Uchwepheshe uzolungisa lolu daba.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kubalulekile ukuhlinzeka ngemininingwane enembile.
