Category,Samoan Sentence
Grammar Core (Sentence Structures & Tenses),Sa ou alu i le fale ananafi.
Grammar Core (Sentence Structures & Tenses),O lea ou te faitau i le tusi i le taimi nei.
Grammar Core (Sentence Structures & Tenses),O le a ia galue i le ofisa taeao.
Grammar Core (Sentence Structures & Tenses),"Pe ana ou iloa, semanu ou te alu."
Grammar Core (Sentence Structures & Tenses),E le mafai ona ia sau i le aso.
Grammar Core (Sentence Structures & Tenses),Ua uma ona fai le galuega.
Grammar Core (Sentence Structures & Tenses),E masani ona matou feiloaʻi i le Aso Gafua.
Grammar Core (Sentence Structures & Tenses),O le tamāloa na tu i le faitotoʻa.
Grammar Core (Sentence Structures & Tenses),"Afai e te fia iloa, fesili mai."
Grammar Core (Sentence Structures & Tenses),Na galue o ia mo le lima tausaga.
Conversational Data (Real-Life Dialogues & Exchanges),Talofa! Oa mai oe?
Conversational Data (Real-Life Dialogues & Exchanges),"Ua lelei, fa'afetai. Ae o oe?"
Conversational Data (Real-Life Dialogues & Exchanges),O fea e te nofo ai?
Conversational Data (Real-Life Dialogues & Exchanges),"Ou te nofo i Apia, i Samoa."
Conversational Data (Real-Life Dialogues & Exchanges),E te fia alu i le matafaga i le Aso Toʻonaʻi?
Conversational Data (Real-Life Dialogues & Exchanges),"Ioe, e manaia tele le tafaoga i le sami."
Conversational Data (Real-Life Dialogues & Exchanges),Ua e 'ai i le meaʻai Sāmoa?
Conversational Data (Real-Life Dialogues & Exchanges),"Ioe, ou te fiafia i le palusami."
Conversational Data (Real-Life Dialogues & Exchanges),"Fa'amalie atu, o le ā le taimi?"
Conversational Data (Real-Life Dialogues & Exchanges),E sefulu minute i le iva.
Code-Switching & Multilingualism,"Hey, e te sau i le party i le weekend?"
Code-Switching & Multilingualism,Ua ou download le app i luga o le telefoni.
Code-Switching & Multilingualism,"Let's go, ae 'aua le galo lau pusa vai."
Code-Switching & Multilingualism,"Ua ou i le class, text mai mulimuli ane."
Code-Switching & Multilingualism,E i ai se meeting i le zoom i le 10am.
Code-Switching & Multilingualism,"O le tutor e lelei tele, very helpful!"
Code-Switching & Multilingualism,Check out le link na ou lafo atu.
Code-Switching & Multilingualism,E mana'omia se ID mo le exam.
Code-Switching & Multilingualism,Ua lava le budget mo le project?
Code-Switching & Multilingualism,"I’m not sure, ae ou te fesili atu."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Faʻamolemole saini i le pepa aʻo leʻi ulufale.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",O le fono o le a amata i le 9 i le taeao.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ua fautuaina le gasegase e inu vailaʻau i aso uma.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",E manaʻomia le fa'ataga aloaʻia a le pulega.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",O le lipoti ua maeʻa ma ua sauni e tuʻuina atu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Fa'amolemole, 'aua le fa'aogaina le meafaigaluega e aunoa ma le aʻoaʻoga."
