Category,Malay_Sentence
Grammar Core,Saya makan nasi setiap hari.
Grammar Core,Dia sedang membaca buku di perpustakaan.
Grammar Core,Kami akan pergi ke pantai esok.
Grammar Core,Mereka telah selesai bekerja.
Grammar Core,"Jika saya ada masa, saya akan datang."
Grammar Core,Dia tidak suka makan pedas.
Grammar Core,Surat itu ditulis oleh guru.
Grammar Core,Kami belajar bahasa Melayu sejak tahun lalu.
Grammar Core,Adakah awak sudah makan tengah hari?
Grammar Core,Anak itu sedang bermain di taman.
Conversational Data,Hai! Apa khabar?
Conversational Data,"Saya sihat, terima kasih. Awak pula?"
Conversational Data,Nak pergi minum kopi petang ni?
Conversational Data,Boleh juga. Kat mana nak jumpa?
Conversational Data,Jom jumpa kat kafe depan sekolah pukul lima.
Conversational Data,"Okay, saya akan sampai awal sikit."
Conversational Data,"Eh, semalam tengok wayang tak?"
Conversational Data,Tengok! Best gila cerita tu!
Conversational Data,"Nanti kita lepak hujung minggu ni, nak?"
Conversational Data,Confirm! Saya free hari Sabtu.
Code-Switching & Multilingualism,"Saya nak pergi ke mall kejap, lepas tu balik."
Code-Switching & Multilingualism,Dia always forget homework dia.
Code-Switching & Multilingualism,Can you tolong saya kejap?
Code-Switching & Multilingualism,Boss suruh submit report before lunch.
Code-Switching & Multilingualism,Tadi meeting semua cakap pasal budget.
Code-Switching & Multilingualism,"Kita buat brainstorming session next week, ok?"
Code-Switching & Multilingualism,"Lunch tadi best, dia bawa nasi lemak homemade."
Code-Switching & Multilingualism,"Sorry, I tak dengar apa you cakap tadi."
Code-Switching & Multilingualism,Esok ada kelas English and Science.
Code-Switching & Multilingualism,Jangan lupa pakai uniform for sports day esok.
Formal & Professional Speech,Mesyuarat akan bermula tepat pada pukul sembilan pagi.
Formal & Professional Speech,Sila pastikan semua dokumen telah ditandatangani.
Formal & Professional Speech,Pesakit perlu mengambil ubat ini setiap lapan jam.
Formal & Professional Speech,Laporan kewangan suku ketiga telah dihantar kepada pengarah.
Formal & Professional Speech,Kami menghargai kerjasama anda dalam perkara ini.
