Category,Sentence (Twi)
Grammar Core,Me kɔ sukuu daa.
Grammar Core,Wɔyɛ adwuma no pɛpɛɛpɛ.
Grammar Core,Ɔbaa no bɛkɔ Kumasi ɛnnɛ.
Grammar Core,Me nyaa nnamfo bebree bere a meyɛ nwisiaa.
Grammar Core,Yɛbɛtumi afa ho.
Grammar Core,Wobɛtumi anya me akyɛdeɛ?
Grammar Core,Nnipa no ho yɛ fɛ.
Grammar Core,Nea ɔyɛe no ho yɛ hare.
Grammar Core,Ɔbɛyɛ den sɛ ɔbɛkɔ.
Grammar Core,Ɛyɛ me anigye sɛ mehyiaa wo.
Conversational Data,Ete sɛn?
Conversational Data,Mekɔ fie.
Conversational Data,Yɛnkɔ nkɔfa nsuo.
Conversational Data,Me pɛ fufu ne nkrakra.
Conversational Data,Wo ho te sɛn?
Conversational Data,Me ho yɛ fɛ.
Conversational Data,"Dabi, mennim."
Conversational Data,Ɛyɛ paa.
Conversational Data,"Mepaakyɛw, wobɛtumi aboa me?"
Conversational Data,Ɛbɛyɛ dɛn na yebetumi akɔ?
Code-Switching & Multilingualism,"Ɛnnɛ meyɛ busy, mentumi mma."
Code-Switching & Multilingualism,Wo friend me anaa?
Code-Switching & Multilingualism,Momma yɛ meeti wɔ shop no.
Code-Switching & Multilingualism,M'adi lunch anaa?
Code-Switching & Multilingualism,Wobetumi email me deɛ?
Code-Switching & Multilingualism,"Laptop no adum, mentumi nsesa battery no."
Code-Switching & Multilingualism,Mo bɛ call me back?
Code-Switching & Multilingualism,Ɛyɛ cool.
Code-Switching & Multilingualism,Saa yɛ normal.
Code-Switching & Multilingualism,Ɛno yɛ fact.
Formal & Professional Speech,"Mepaakyɛw, m'ani gye asɛm yi ho."
Formal & Professional Speech,Ɛyɛ dɛn na yebetumi anya ho akyɛdeɛ?
Formal & Professional Speech,Mebɛdane wo akyɛdeɛ.
Formal & Professional Speech,"Sɛnea woka no, m'ani agye."
Formal & Professional Speech,"Sɛdeɛ yɛ bɛyɛ no, ɛsɛ sɛ yɛ hyia."
Formal & Professional Speech,"Ɛyɛ den, nanso yɛbɛ yɛ no."
Formal & Professional Speech,Mepɛ sɛ menya nsɛm ho nkɔmmɔ.
Formal & Professional Speech,Yebetumi de ho aka.
Formal & Professional Speech,"Sɛ wo nante, yɛbɛkɔ so."
Formal & Professional Speech,Yɛbɛyɛ saa na yɛnhunu anaa?
"Idioms, Proverbs & Cultural Expressions","Nea ɔka ne ho da no, ɔnka ne ho da."
"Idioms, Proverbs & Cultural Expressions",Nsuo a ɛto no nyansafoɔ anka no.
"Idioms, Proverbs & Cultural Expressions","Ɛban kɛse a ne gyinapɛn mu yɛ den, ɛrensɔ."
"Idioms, Proverbs & Cultural Expressions","Sɛ wo werɛ fi a, wo ho bɛyɛ den."
"Idioms, Proverbs & Cultural Expressions",Nea ɔpɛ adwuma na ɔnya adeɛ.
"Idioms, Proverbs & Cultural Expressions","Wopɛ sɛ wo tua, na wuhu."
"Idioms, Proverbs & Cultural Expressions","Woka akyire a, wonni nkɔso."
"Idioms, Proverbs & Cultural Expressions",Aboa bi bɔ ɔne no ho.
"Idioms, Proverbs & Cultural Expressions",Ɛyɛ sika na ɛma biribi yɛ fɛ.
"Idioms, Proverbs & Cultural Expressions","Nea woanya no, wo nsa nka ho."
Question-Answer Pairs,Ɛdɛn na wo pɛ?
Question-Answer Pairs,"Mepaakyɛw, wobɛboa me?"
Question-Answer Pairs,Wobɛtumi de no ama me?
Question-Answer Pairs,Ɛyɛ ahe?
Question-Answer Pairs,Ɛyɛ den?
Question-Answer Pairs,Ɛwɔ he?
Question-Answer Pairs,Wobetumi aboa me wɔ ho?
Question-Answer Pairs,Dɛn na ɛyɛ?
Question-Answer Pairs,Wo nim sɛ me wɔ he?
Question-Answer Pairs,Ɛyɛ den na yɛbɛyɛ no?
Commands & Instructions,Bɔ abaw de yɛ adwuma.
Commands & Instructions,Fa kɔ mmirika.
Commands & Instructions,Tie na te ase.
Commands & Instructions,Fɛ me.
Commands & Instructions,Gye me.
Commands & Instructions,Yɛ no ntɛm.
Commands & Instructions,To hyɛ.
Commands & Instructions,Fa ho.
Commands & Instructions,Ka kyerɛ me.
Commands & Instructions,Yɛ ne ho den.
Named Entity Recognition (NER),Kwame yɛ me nua.
Named Entity Recognition (NER),Mekɔɔ Kumasi ɛnnɛ.
Named Entity Recognition (NER),Wɔwɔ Ghana.
Named Entity Recognition (NER),Yɛhyia wɔ Accra.
Named Entity Recognition (NER),Adwoa ne me nnamfo.
Named Entity Recognition (NER),Medɔ Kofi.
Named Entity Recognition (NER),Ɛnnɛ yɛ Wednesday.
Named Entity Recognition (NER),Me bɛyɛ 25 wɔ December.
Named Entity Recognition (NER),Meka TWI na meka English.
Named Entity Recognition (NER),M’ani gye football ho.
Sentiment Analysis Data,M’ani agye paa.
Sentiment Analysis Data,Ɛyɛ me ya.
Sentiment Analysis Data,Medi nkɔso.
