Category,Sentence_Kazakh
Grammar Core (Sentence Structures & Tenses),Мен кеше дүкенге бардым.
Grammar Core (Sentence Structures & Tenses),Ол ертең жұмысқа барады.
Grammar Core (Sentence Structures & Tenses),Біз кітап оқып отырмыз.
Grammar Core (Sentence Structures & Tenses),Сен мектепте оқисың ба?
Grammar Core (Sentence Structures & Tenses),Менің досым Алматыға жиі барады.
Grammar Core (Sentence Structures & Tenses),"Егер жаңбыр жауса, үйде боламын."
Grammar Core (Sentence Structures & Tenses),Жаңа фильм өте қызықты болды.
Grammar Core (Sentence Structures & Tenses),Бұл үйді үш жыл бұрын сатып алдым.
Grammar Core (Sentence Structures & Tenses),Ол хат жазып отыр.
Grammar Core (Sentence Structures & Tenses),Сен кеше мені неге шақырмадың?
Conversational Data (Real-Life Dialogues & Exchanges),Сәлем! Қалайсың?
Conversational Data (Real-Life Dialogues & Exchanges),"Жақсы, рахмет! Ал сен ше?"
Conversational Data (Real-Life Dialogues & Exchanges),Мына дүкенде кофе сатылады ма?
Conversational Data (Real-Life Dialogues & Exchanges),Сағат нешеде кездесеміз?
Conversational Data (Real-Life Dialogues & Exchanges),"Менің телефоным өшіп қалды, зарядтағышың бар ма?"
Conversational Data (Real-Life Dialogues & Exchanges),Кешке киноға барайықшы!
Conversational Data (Real-Life Dialogues & Exchanges),Бүгін ауа райы қандай?
Conversational Data (Real-Life Dialogues & Exchanges),Сізге көмектесе аламын ба?
Conversational Data (Real-Life Dialogues & Exchanges),Қандай музыка тыңдағанды ұнатасың?
Conversational Data (Real-Life Dialogues & Exchanges),Осы тағамды қалай дайындауға болады?
Code-Switching & Multilingualism,Менің schedule-ым бүгін өте тығыз.
Code-Switching & Multilingualism,Келесі meeting қашан?
Code-Switching & Multilingualism,Біз group project-ті бірге жасаймыз ба?
Code-Switching & Multilingualism,Менің charger-ым қайда?
Code-Switching & Multilingualism,English speaking club-қа барасың ба?
Code-Switching & Multilingualism,Ол маған WhatsApp-та жазды.
Code-Switching & Multilingualism,Мектепте presentation жасау керек.
Code-Switching & Multilingualism,Тапсырма өте hard екен.
Code-Switching & Multilingualism,Laptop-ым бұзылып қалды.
Code-Switching & Multilingualism,Internet connection нашар болып тұр.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Компанияның жаңа стратегиясы нарықта бәсекелестік артықшылық береді.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Келісімшарттың шарттарын мұқият тексеріңіз.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Сіздің өтінішіңіз қарастырылуда.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Науқастың денсаулық жағдайы тұрақты.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Құжаттарды ресми түрде бекіту қажет.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Сізге қосымша ақпарат жіберіледі.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Бұл жоба компания үшін үлкен маңызға ие.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Жаңа заң жобасы келесі айда күшіне енеді.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Қаржылық есепті айдың соңына дейін тапсыру қажет.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Дәрігер сізге жаңа емдеу жоспарын ұсынды.
"Idioms, Proverbs & Cultural Expressions",Екі қошқардың басы бір қазанға сыймайды.
"Idioms, Proverbs & Cultural Expressions","Ағаш көркі – жапырақ, адам көркі – шапан."
"Idioms, Proverbs & Cultural Expressions",Тауық түсінде тары көреді.
"Idioms, Proverbs & Cultural Expressions",Бір қарын майды бір құмалақ шірітеді.
"Idioms, Proverbs & Cultural Expressions","Түйені түгімен, жылқыны жүгімен жұтады."
"Idioms, Proverbs & Cultural Expressions","Білімдіге дүние жарық, білімсіздің күні кәріп."
"Idioms, Proverbs & Cultural Expressions",Сабыр түбі – сары алтын.
"Idioms, Proverbs & Cultural Expressions",Көппен көрген – ұлы той.
"Idioms, Proverbs & Cultural Expressions","Көз қорқақ, қол батыр."
"Idioms, Proverbs & Cultural Expressions",Жақсы сөз – жарым ырыс.
Question-Answer Pairs (FAQ & Contextual Understanding),Қазақстанның астанасы қай қала? - Астана.
Question-Answer Pairs (FAQ & Contextual Understanding),Ең үлкен мұхит қайсы? - Тынық мұхиты.
Question-Answer Pairs (FAQ & Contextual Understanding),"Жылдың төрт мезгілі қалай аталады? - Көктем, жаз, күз, қыс."
Question-Answer Pairs (FAQ & Contextual Understanding),Абай Құнанбайұлы қай жылы туған? - 1845 жылы.
Question-Answer Pairs (FAQ & Contextual Understanding),Қазақ тіліндегі септік жалғаулары қанша? - Жеті.
Question-Answer Pairs (FAQ & Contextual Understanding),Күн жүйесінде қанша планета бар? - Тоғыз.
Question-Answer Pairs (FAQ & Contextual Understanding),Сенің сүйікті кітабың қандай?
Question-Answer Pairs (FAQ & Contextual Understanding),Бүгінгі ауа райы қандай?
Question-Answer Pairs (FAQ & Contextual Understanding),Келесі кездесу қашан болады?
Question-Answer Pairs (FAQ & Contextual Understanding),Мен бұл өнімді қайдан сатып ала аламын?
Commands & Instructions (Imperative Sentences),Мына құжатқа қол қойыңыз.
Commands & Instructions (Imperative Sentences),Есікті жабыңыз.
Commands & Instructions (Imperative Sentences),Жаңа пароль енгізіңіз.
Commands & Instructions (Imperative Sentences),Бағдарламаны қайта қосыңыз.
Commands & Instructions (Imperative Sentences),Қағаздарды мұқият оқыңыз.
Commands & Instructions (Imperative Sentences),Сабаққа кешікпеңіз.
Commands & Instructions (Imperative Sentences),Телефоныңызды сөндіріңіз.
Commands & Instructions (Imperative Sentences),Келесі аялдамадан түсіңіз.
Commands & Instructions (Imperative Sentences),Менің айтқанымды мұқият тыңдаңыз.
Commands & Instructions (Imperative Sentences),Жүйеге кіру үшін логин мен пароль енгізіңіз.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Нұр-Сұлтан – Қазақстанның астанасы.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Абай Құнанбайұлы қазақ әдебиетінің классигі.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Apple – әлемдегі ең танымал технологиялық компаниялардың бірі.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Қазақстан тәуелсіздігін 1991 жылы алды.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Мен Алматы қаласында тұрамын.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Әлия Молдағұлова – қазақтың батыр қызы.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",NASA ғарыш зерттеулерімен айналысады.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Менің туған күнім 10 қазан.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Samsung электроника өндірумен айналысады.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Мұхтар Әуезов «Абай жолы» романын жазды.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Бұл фильм мені қатты қуантты.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Мен бүгін өзімді өте бақытты сезінемін.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Сіздің сөзіңіз мені ренжітті.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Бұл мейрамханадағы тамақ өте дәмді.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Менің сүйікті спорт түрім – футбол.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Бұл жаңалық мені таңғалдырды.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Кеше кешкі ас өте көңілсіз өтті.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Менің ойымша, бұл дұрыс шешім."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Бұл кітап мені шабыттандырды.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Кеше мен қатты шаршадым.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Мен Алматыға жиі барамын.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Алматыға бару менің сүйікті ісімнің бірі.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Мен жиі осы қалаға сапар шегемін.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Алматы мен үшін ерекше қала.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Мен осы қалаға барып тұрамын.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Мен бұл жерге жиі келемін.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Алматыда болғанды ұнатамын.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Мен әрдайым Алматыға баруға дайынмын.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Осы қала маған қатты ұнайды.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Мен бұл қалаға барған сайын жаңа нәрсе үйренемін.
