Category,Sentence (Haitian Creole)
Grammar Core (Sentence Structures & Tenses),Mwen te manje manje a yè swa.
Grammar Core (Sentence Structures & Tenses),Li ap aprann Kreyòl chak jou.
Grammar Core (Sentence Structures & Tenses),N ap travay sou pwojè a demen.
Grammar Core (Sentence Structures & Tenses),"Si m te gen tan, mwen t ap vizite ou."
Grammar Core (Sentence Structures & Tenses),Yo pa janm konprann egzanp sa yo.
Grammar Core (Sentence Structures & Tenses),Manje a prepare pa chef la.
Grammar Core (Sentence Structures & Tenses),M ap li liv sa a kounye a.
Grammar Core (Sentence Structures & Tenses),Nou te renmen fim lan anpil.
Grammar Core (Sentence Structures & Tenses),Ou ta dwe etidye plis pou egzamen an.
Grammar Core (Sentence Structures & Tenses),Lekòl la ap ouvè demen si pa gen lapli.
Conversational Data (Real-Life Dialogues & Exchanges),"— Alo, kijan ou ye? — Mwen anfòm, e ou menm?"
Conversational Data (Real-Life Dialogues & Exchanges),"— Ou grangou? — Wi, ann al manje."
Conversational Data (Real-Life Dialogues & Exchanges),— Ki kote ou prale? — M ap al mache yon ti kras.
Conversational Data (Real-Life Dialogues & Exchanges),"— Tanpri, ou ka ede m? — Wi, kisa ou bezwen?"
Conversational Data (Real-Life Dialogues & Exchanges),— Sa k ap fèt la? — Nou ap selebre fèt li.
Conversational Data (Real-Life Dialogues & Exchanges),"— Ou renmen mizik sa a? — Wi, li bay bon vibe."
Conversational Data (Real-Life Dialogues & Exchanges),"— M ap rele w pita, dakò? — Dakò, pa gen pwoblèm."
Conversational Data (Real-Life Dialogues & Exchanges),"— Kouman ou te pase jounen an? — Trè byen, mèsi."
Conversational Data (Real-Life Dialogues & Exchanges),"— Ou tande nouvèl la? — Wi, se te yon sipriz."
Conversational Data (Real-Life Dialogues & Exchanges),"— An n pale pita. — Dakò, a pita!"
Code-Switching & Multilingualism,Mwen pral nan meeting la a 2h.
Code-Switching & Multilingualism,Nou bezwen fè yon update sou dosye a.
Code-Switching & Multilingualism,Li toujou mete headphones li lè l ap travay.
Code-Switching & Multilingualism,Yo te voye m yon email yè swa.
Code-Switching & Multilingualism,Ou ka upload fichye a sou drive la?
Code-Switching & Multilingualism,M ap fè homework mwen kounye a.
Code-Switching & Multilingualism,Ou resevwa message mwen an?
Code-Switching & Multilingualism,N ap rankontre sou Zoom pita.
Code-Switching & Multilingualism,Li bay yon good job nan prezantasyon an.
Code-Switching & Multilingualism,Check inbox ou pou dokiman an.
Formal & Professional Speech,"Bonjou, èske ou ka voye rapò a anvan midi?"
Formal & Professional Speech,Nou swete ou jwenn rezilta egzamen an ak siksè.
Formal & Professional Speech,Pasyan an bezwen swivi tretman li chak jou.
Formal & Professional Speech,Dokiman legal yo dwe siyen pa tou de pati yo.
Formal & Professional Speech,Nou swete kolaborasyon sa a pote bon rezilta.
Formal & Professional Speech,Mesye direktè a ap pale sou nouvo plan lan.
Formal & Professional Speech,Operasyon an te fèt avèk presizyon ak siksè.
Formal & Professional Speech,Ou dwe mete mas nan espas medikal yo.
Formal & Professional Speech,Nou ap fè evalyasyon teknik la semèn pwochèn.
Formal & Professional Speech,Tanpri kontakte depatman administratif la pou plis detay.
"Idioms, Proverbs & Cultural Expressions",Chen gen kat pat men li pa ka kouri de kote.
"Idioms, Proverbs & Cultural Expressions",Bouch pa janm di tèt li santi.
"Idioms, Proverbs & Cultural Expressions","Bay kou bliye, men ki resevwa sonje."
"Idioms, Proverbs & Cultural Expressions","Sa ki pou ou, li pa ka chape pou ou."
"Idioms, Proverbs & Cultural Expressions",De mon pèdi pa genyen.
"Idioms, Proverbs & Cultural Expressions",Li mete pye l nan tout sa ki pa gade l.
