Category,Sentence (Juhuri)
Grammar Core (Sentence Structures & Tenses),Zo ma shkhar avush.
Grammar Core (Sentence Structures & Tenses),On mu ravta avush.
Grammar Core (Sentence Structures & Tenses),Mo az dünyo ravtim.
Grammar Core (Sentence Structures & Tenses),"Agar mu bo az shahar avush, mo galb khel khosh."
Grammar Core (Sentence Structures & Tenses),O mu bü savzi deh avush?
Grammar Core (Sentence Structures & Tenses),O kitap daghdu veh?
Grammar Core (Sentence Structures & Tenses),Mo chinare-ye bozor ravtim.
Grammar Core (Sentence Structures & Tenses),Siz cho mo khel khelik ra?
Grammar Core (Sentence Structures & Tenses),Men shi ghalin avush.
Grammar Core (Sentence Structures & Tenses),O cho men amr khandu?
Conversational Data (Real-Life Dialogues & Exchanges),"Salam, oziz! To chi to avush?"
Conversational Data (Real-Life Dialogues & Exchanges),"Men khel khosh, shukr! To chi khel?"
Conversational Data (Real-Life Dialogues & Exchanges),To deh ke ravt?
Conversational Data (Real-Life Dialogues & Exchanges),"Mo bugun bozor ravtim, cho?"
Conversational Data (Real-Life Dialogues & Exchanges),Chi kitap to khandu?
Conversational Data (Real-Life Dialogues & Exchanges),Mu savzi bozordan kret.
Conversational Data (Real-Life Dialogues & Exchanges),Siz xud be loz?
Conversational Data (Real-Life Dialogues & Exchanges),Men ghalin be dam.
Conversational Data (Real-Life Dialogues & Exchanges),Shi non krel be mo.
Conversational Data (Real-Life Dialogues & Exchanges),Men to khel khosh am.
Code-Switching & Multilingualism,Men go to supermarket-da ravtim.
Code-Switching & Multilingualism,Mo chi-lo inglésa gap khelk?
Code-Switching & Multilingualism,Ochi men ruso khelm?
Code-Switching & Multilingualism,Biz bugun bo bazar chi ruski.
Code-Switching & Multilingualism,Siz to az anglisyo gapmi khelk?
Code-Switching & Multilingualism,Men to-do español chi avush.
Code-Switching & Multilingualism,Ochi men girmaniyo khelm?
Code-Switching & Multilingualism,Shu jikhlar mo fraansiza chi gap.
Code-Switching & Multilingualism,To chi turko ravtim?
Code-Switching & Multilingualism,Mu az italyano boghday.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Kompaniya o vech u bazorg, men rash bash."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Doktori men to amali bash.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Yazmo men vech mah bus khelm?
