Category,Sentence (Krio)
Grammar Core,Mi bin de wok pan di project bifo yu kam.
Grammar Core,Wi go don fayn di solushon bifor di deadline kam.
Grammar Core,"E nor bin sabi di ansa, so e jus kip kwaiyet."
Grammar Core,"If wi bin get mor taim, wi for don fayn beta wey."
Grammar Core,Di letas dem kin send na email evri wik.
Grammar Core,Mi nɔ go dɔn fɛn am if i nɔ bin tel mi.
Grammar Core,Wi kin mek plan fɔ tumara fɔ meet.
Grammar Core,Dem don fɔgɛt wetin a tell dem.
Grammar Core,Di buk don bin reden bifo klas.
Grammar Core,Yu fɔ mek sure yu go wit yu ID.
Conversational Data,"Ah tell yu, a nor sabi wetin dem de tok."
Conversational Data,"Mi broda, wetin yu tink bot dis new salone filim?"
Conversational Data,Di man bin de tok so tay a no bin sabi wetin e de mean.
Conversational Data,"How di wok de go, mi sista?"
Conversational Data,"E say e nor de go de, but e nor gi mi resen."
Conversational Data,Ah glad fɔ si yu oh! How bodi?
Conversational Data,Di pasin we e du nor too fayn ya.
Conversational Data,Una sabi di padi we get di bik moto?
Conversational Data,Dis ya na di fos taim a de try dis food.
Conversational Data,"Mi neba kin tok, but e sabi evri tin we de apin."
Code-Switching & Multilingualism,"Mi padi, yu get chance fɔ check di email we a send?"
Code-Switching & Multilingualism,Di meeting don shift go next week oh.
Code-Switching & Multilingualism,"Ah sabi say e go cam, but a nor sho di exact taim."
Code-Switching & Multilingualism,Dis ya na beta opportunity fɔ yu career.
Code-Switching & Multilingualism,Yu nor go biliv wetin apin na di ofis tiday.
Code-Switching & Multilingualism,Wi kin go eat somewhere nice lata?
Code-Switching & Multilingualism,Yu don check di updates we dem send na WhatsApp?
Code-Switching & Multilingualism,"Mi fambul, mek wi organize di program fayn wan."
Code-Switching & Multilingualism,Mi de tink say di plan nor go wok dis time.
Code-Switching & Multilingualism,"Di man de tok big big word dem, but e nor sabi di real fact."
Formal & Professional Speech,"Gud monin sir, mi name na Alhaji Sesay, and a de represent mi company."
Formal & Professional Speech,Di organization don decide fɔ implement new policies fɔ efficiency.
Formal & Professional Speech,Di CEO de tok pan di importance fɔ ethical business practices.
Formal & Professional Speech,"Plis, mek sure say yu submit yu dokument bifo Friday."
Formal & Professional Speech,A go like request an appointment wit yu department head.
Formal & Professional Speech,Di kontrakt de state say wi for deliver di project in six months.
Formal & Professional Speech,Di meeting go komot na Conference Hall by 2 PM.
Formal & Professional Speech,"Di patient nor bin wan teck di treatment, but wi kin counsel am."
