Category,Sentence (Aostan French)
Grammar Core,J'irai à la montagne demain.
Grammar Core,"Si tu avais étudié, tu aurais réussi."
Grammar Core,Le livre a été écrit par un célèbre auteur.
Grammar Core,Nous mangeons souvent des châtaignes en hiver.
Grammar Core,Ne parle pas si fort !
Grammar Core,Je voulais te dire quelque chose d'important.
Grammar Core,Il faudra que nous soyons prêts pour la réunion.
Grammar Core,Le fromage de chèvre est apprécié dans toute la vallée.
Grammar Core,Elle ne comprend pas pourquoi il est parti si tôt.
Grammar Core,Auriez-vous pu me donner un exemple plus précis ?
Conversational Data,Salut ! Comment ça va ?
Conversational Data,Je cherche une boulangerie ouverte à cette heure.
Conversational Data,Tu viens avec nous ce soir ?
Conversational Data,Ça fait longtemps qu’on ne s’est pas vus !
Conversational Data,Je te rappelle dès que je peux.
Conversational Data,"Alors, qu'est-ce que tu veux manger ?"
Conversational Data,"Attends-moi devant le café, j'arrive."
Conversational Data,"C’est une bonne idée, non ?"
Conversational Data,"T'inquiète pas, tout ira bien."
Conversational Data,"Bon, on y va ou pas ?"
Code-Switching & Multilingualism,On va au cinéma stasera ?
Code-Switching & Multilingualism,Tu as fini le report pour il cliente ?
Code-Switching & Multilingualism,"Il m’a dit ‘don’t worry’, mais je suis inquiet."
Code-Switching & Multilingualism,Pourquoi tu dis toujours ‘por favor’ ?
Code-Switching & Multilingualism,C’est un weekend très chill.
Code-Switching & Multilingualism,"Ce matin, j’ai acheté un ‘baguette’ e un caffè."
Code-Switching & Multilingualism,On se retrouve devant ‘la station de métro’ ?
Code-Switching & Multilingualism,Il parle un mix de français et d’italiano.
Code-Switching & Multilingualism,"J’adore ton style, c’est molto bello."
Code-Switching & Multilingualism,"C’est pas grave, take it easy !"
Formal & Professional Speech,"Madame, je vous remercie pour votre réponse rapide."
Formal & Professional Speech,Nous vous prions de bien vouloir nous envoyer les documents requis.
Formal & Professional Speech,"Veuillez agréer, Monsieur, l’expression de nos salutations distinguées."
Formal & Professional Speech,Le patient présente des symptômes nécessitant une prise en charge urgente.
Formal & Professional Speech,La réunion se tiendra demain à 9h dans la salle principale.
Formal & Professional Speech,Nous devons analyser ces données avant la fin du trimestre.
Formal & Professional Speech,Le contrat stipule que toute modification doit être écrite.
Formal & Professional Speech,Ce projet nécessite une validation du service juridique.
Formal & Professional Speech,La livraison est prévue sous cinq jours ouvrés.
Formal & Professional Speech,Nous vous contacterons dès que nous aurons une mise à jour.
"Idioms, Proverbs & Cultural Expressions",Il pleut comme vache qui pisse.
"Idioms, Proverbs & Cultural Expressions",On ne peut pas avoir le beurre et l'argent du beurre.
"Idioms, Proverbs & Cultural Expressions","Petit à petit, l’oiseau fait son nid."
"Idioms, Proverbs & Cultural Expressions",Ce n’est pas la mer à boire.
"Idioms, Proverbs & Cultural Expressions","Après la pluie, le beau temps."
"Idioms, Proverbs & Cultural Expressions",On ne fait pas d’omelette sans casser des œufs.
"Idioms, Proverbs & Cultural Expressions",Qui va lentement va sûrement.
"Idioms, Proverbs & Cultural Expressions",Mieux vaut tard que jamais.
"Idioms, Proverbs & Cultural Expressions",Il faut battre le fer tant qu’il est chaud.
"Idioms, Proverbs & Cultural Expressions",Chacun voit midi à sa porte.
Question-Answer Pairs,Où est la gare la plus proche ?
Question-Answer Pairs,Quel est le plat typique de la région ?
Question-Answer Pairs,"Puis-je avoir l’addition, s’il vous plaît ?"
Question-Answer Pairs,Comment fonctionne ce logiciel ?
Question-Answer Pairs,Quel est le prix de cet article ?
Question-Answer Pairs,Pouvez-vous me donner plus de détails ?
Question-Answer Pairs,Combien de temps dure le trajet ?
Question-Answer Pairs,Pourquoi ce projet est-il important ?
Question-Answer Pairs,Quelles sont les options disponibles ?
Question-Answer Pairs,Est-ce que vous acceptez les cartes bancaires ?
Commands & Instructions,Ferme la porte derrière toi.
Commands & Instructions,Écoutez attentivement les consignes.
Commands & Instructions,Ne touchez pas à cela !
Commands & Instructions,"Remplissez ce formulaire, s’il vous plaît."
Commands & Instructions,Mettez votre ceinture de sécurité.
Commands & Instructions,"Suis-moi, je vais te montrer."
Commands & Instructions,"Allume la lumière, il fait sombre."
Commands & Instructions,Évitez de parler trop fort dans la bibliothèque.
Commands & Instructions,Marchez sur le trottoir.
Commands & Instructions,Appuyez sur le bouton pour démarrer.
Named Entity Recognition (NER) Data,Le Mont-Blanc est la plus haute montagne d'Europe.
Named Entity Recognition (NER) Data,Marie Curie a reçu deux prix Nobel.
Named Entity Recognition (NER) Data,Amazon est une entreprise de commerce électronique.
Named Entity Recognition (NER) Data,La Tour Eiffel est située à Paris.
Named Entity Recognition (NER) Data,Le Tour de France est une célèbre course cycliste.
Named Entity Recognition (NER) Data,L’ONU siège à New York.
Named Entity Recognition (NER) Data,La vallée d’Aoste est connue pour son fromage.
Named Entity Recognition (NER) Data,Google a été fondé en 1998.
Named Entity Recognition (NER) Data,Barack Obama a été président des États-Unis.
Named Entity Recognition (NER) Data,Le Rhône traverse plusieurs régions françaises.
Sentiment Analysis Data,"J'adore cette chanson, elle me donne de l'énergie !"
Sentiment Analysis Data,Ce film était une vraie déception.
Sentiment Analysis Data,J’ai passé une journée merveilleuse avec toi.
Sentiment Analysis Data,Je n’aime pas du tout ce service.
Sentiment Analysis Data,"Quelle belle surprise, je suis tellement heureux !"
Sentiment Analysis Data,C'est frustrant de voir ça encore une fois.
Sentiment Analysis Data,Je me sens très reconnaissant aujourd’hui.
Sentiment Analysis Data,Cette nouvelle me rend triste.
Sentiment Analysis Data,"Ce restaurant est fantastique, je recommande !"
Sentiment Analysis Data,"C’est inacceptable, je suis furieux !"
Paraphrased & Augmented Sentences,Je vais au marché ce matin.
Paraphrased & Augmented Sentences,"Ce matin, je me rends au marché."
Paraphrased & Augmented Sentences,"Aujourd’hui, je vais faire des courses au marché."
Paraphrased & Augmented Sentences,Le marché est ma première destination aujourd’hui.
