Category,Sentence (Kurmanji)
Grammar Core,Ez diçim dibistanê.
Conversational Data,Ew di xwendinê derbas bû.
Code-Switching & Multilingualism,Tu ê serketî bibî.
Formal & Professional Speech,Em dikarin xwendinê bidomînin.
"Idioms, Proverbs & Cultural Expressions",Ez ne diçim bajarê.
Question-Answer Pairs,Kitêbê ji min hat guherandin.
Commands & Instructions,Hûn dibêjin ku ez bidî.
Named Entity Recognition (NER) Data,"Ger ez bikaribim, ez ê bidî."
Sentiment Analysis Data,Min pirtûkek xwend.
Paraphrased & Augmented Sentences,Ew ne heye di malê de.
Grammar Core,Tu çawa yî? Ez baş im.
Conversational Data,"Ez dixwazim çay bikim, te jî?"
Code-Switching & Multilingualism,Rojek baş be!
Formal & Professional Speech,"Ez biçe bajarê, tu dixwazî venê?"
"Idioms, Proverbs & Cultural Expressions",Ez kar dikim di firoşgehekê de.
Question-Answer Pairs,Hûn çend kes in?
Commands & Instructions,Bi destê te sax be.
Named Entity Recognition (NER) Data,Ez dikarim alîkariyê bikim?
Sentiment Analysis Data,Ez dikî ez betalkirîm.
Paraphrased & Augmented Sentences,Riya te baş e?
Grammar Core,Ez dixwazim bilet buy bikim.
Conversational Data,Tu Spanish dizanî?
Code-Switching & Multilingualism,Ez di hotelê de rezervasyon dikim.
Formal & Professional Speech,Hûn Google maps bi kar tînin?
"Idioms, Proverbs & Cultural Expressions",Wi-Fi rast e?
Question-Answer Pairs,Pêşîn çi?
Commands & Instructions,Ez Hello bikim!
Named Entity Recognition (NER) Data,Tu English dizanî?
Sentiment Analysis Data,Navê te key e?
Paraphrased & Augmented Sentences,Ez di pêşangehê de me.
Grammar Core,"Ji kerema xwe, em dikarin bibe peyser?"
Conversational Data,Ez hewce me destnîşanê.
Code-Switching & Multilingualism,Daxwaza min bi hêvî tê.
Formal & Professional Speech,Bê hesibê we yekê bîne.
"Idioms, Proverbs & Cultural Expressions",Ez dîsa dipeyivim.
Question-Answer Pairs,Kar û perwerde gelek giring in.
Commands & Instructions,Bi destûr?
Named Entity Recognition (NER) Data,Ez pêşnîyarekê pêşkêş dikim.
Sentiment Analysis Data,Ez dikarim zanîn.
Paraphrased & Augmented Sentences,Pîroz dikim!
Grammar Core,Ez bawerim tê niha em ê bibin.
Conversational Data,Dijminê xwe bi hêrs nayê.
Code-Switching & Multilingualism,Nivîr li ser zêde tê.
Formal & Professional Speech,"Ew got, jê derket."
"Idioms, Proverbs & Cultural Expressions","Kûr nebê, bê mirîd be."
Question-Answer Pairs,"Bê xêz, dê bibe."
Commands & Instructions,Ne xwe dagirî!
Named Entity Recognition (NER) Data,Ew girt!
Sentiment Analysis Data,"Gava hêvî derket, heman cih."
Paraphrased & Augmented Sentences,"Sêv çû, be xwe."
Grammar Core,Tu dikarî alîkariyê bikî?
Conversational Data,Ev çi reng e?
Code-Switching & Multilingualism,Wî derê çi qas dûr e?
Formal & Professional Speech,Çima ez xwendinê bikim?
"Idioms, Proverbs & Cultural Expressions",Kî dikeve bazarê?
Question-Answer Pairs,Rojê te baş e?
Commands & Instructions,Pirtûkek baş piştî çi dike?
Named Entity Recognition (NER) Data,Ez dikarim derkevin?
Sentiment Analysis Data,Pêşî çi bide min?
Paraphrased & Augmented Sentences,Ew kê e?
Grammar Core,Bêje!
Conversational Data,Guh bidê!
Code-Switching & Multilingualism,Dike bû vebijêrin!
Formal & Professional Speech,Tu nikarî çû?
"Idioms, Proverbs & Cultural Expressions",Navê te binivîse.
Question-Answer Pairs,Bê destê xwe re!
Commands & Instructions,Gihîştî?
Named Entity Recognition (NER) Data,Herim şûnde.
Sentiment Analysis Data,Bê tê!
Paraphrased & Augmented Sentences,Min bibê!
Grammar Core,Ez di Diyarbekirê de me.
Conversational Data,Navê min Hesen e.
Code-Switching & Multilingualism,Berçavê Sînem xweşik e.
Formal & Professional Speech,Ez li Stenbolê bûm.
"Idioms, Proverbs & Cultural Expressions",Hûn di Newrozê de bin?
Question-Answer Pairs,Kî janî dikarî?
Commands & Instructions,Min dikarim xwendinê bikim.
Named Entity Recognition (NER) Data,Ew di 2023 de bû.
Sentiment Analysis Data,Berîn li ser nasnameyek derbas dike.
Paraphrased & Augmented Sentences,Navê xwe dikir?
Grammar Core,Ez gelek kêfxweş im!
Conversational Data,"Dema ez bibîr dikim, ez xemgîn dibim."
Code-Switching & Multilingualism,Ew gelek şirin e!
Formal & Professional Speech,Ez şerm dikim.
"Idioms, Proverbs & Cultural Expressions",Tu gelek pirr heye.
Question-Answer Pairs,Ez ne kêfxweş im.
Commands & Instructions,Ew hêrs dike!
Named Entity Recognition (NER) Data,Ez herî baş dibim.
Sentiment Analysis Data,Wê gelek xwîn û kanî!
Paraphrased & Augmented Sentences,Ez piştgîr im!
Grammar Core,Ez dikarim alîkar bîm.
Conversational Data,Ez alîkarî dikim.
Code-Switching & Multilingualism,Ez karek me bikim.
Formal & Professional Speech,Ez dikarim bi alîkarî bibim.
"Idioms, Proverbs & Cultural Expressions",Ez vê karê bikim.
Question-Answer Pairs,Ez hez dikim bûn.
Commands & Instructions,Ez kêfxweş dibim.
Named Entity Recognition (NER) Data,Ez piştgîr dibim.
Sentiment Analysis Data,Ez gelek kêfxweş dibim.
Paraphrased & Augmented Sentences,Ez bi dilê xwe kêfxweş dibim.
