Category,Cantonese
Grammar Core,我聽日會去書展。
Grammar Core,佢啱啱返咗屋企。
Grammar Core,如果你努力啲，你就會成功。
Grammar Core,啲書被人攞走咗。
Grammar Core,我唔會遲到。
Grammar Core,佢每日都練琴。
Grammar Core,你係咪識得佢？
Grammar Core,如果下雨，我哋唔出去。
Grammar Core,佢應該早啲講。
Grammar Core,呢件事可以解決。
Conversational Data,你食咗飯未？
Conversational Data,等陣一齊去飲茶啦！
Conversational Data,我唔知佢去咗邊。
Conversational Data,今晚有咩計劃？
Conversational Data,行啦，唔好再等啦。
Conversational Data,你啱啱講咩？
Conversational Data,好耐冇見，你最近點呀？
Conversational Data,呢個好貴喎，有冇平啲？
Conversational Data,得閒出嚟聚吓啦！
Conversational Data,你覺得邊間餐廳好？
Code-Switching & Multilingualism,我啱啱買咗個 new iPhone。
Code-Switching & Multilingualism,今晚去 Happy Hour，得唔得？
Code-Switching & Multilingualism,我唔識 code Java，但我識 Python。
Code-Switching & Multilingualism,呢個 app 真係 user-friendly。
Code-Switching & Multilingualism,你幫我 check 吓 email，好唔好？
Code-Switching & Multilingualism,佢好有 leadership，成日 lead 個 team。
Code-Switching & Multilingualism,等我 forward 畀你先。
Code-Switching & Multilingualism,開 meeting 時我講咗啲 idea。
Code-Switching & Multilingualism,你睇過 Netflix 嗰套 drama 未？
Code-Switching & Multilingualism,今晚我哋有 Zoom call。
Formal & Professional Speech,請問你可唔可以提供返張發票？
Formal & Professional Speech,根據合約條款，雙方需遵守協議。
Formal & Professional Speech,請即聯絡客戶服務部。
Formal & Professional Speech,本診所提供各項專業醫療服務。
Formal & Professional Speech,公司將於下星期舉行年會。
Formal & Professional Speech,請填妥申請表格並遞交。
Formal & Professional Speech,本院嚴格遵守保密協議。
Formal & Professional Speech,律師已經審核咗所有文件。
Formal & Professional Speech,如有任何查詢，歡迎聯絡我哋。
Formal & Professional Speech,請依指示完成操作程序。
"Idioms, Proverbs & Cultural Expressions",講人就到，佢啱啱嚟咗。
"Idioms, Proverbs & Cultural Expressions",牛唔飲水唔撳得牛頭低。
"Idioms, Proverbs & Cultural Expressions",唔怕生壞命，最怕改壞名。
"Idioms, Proverbs & Cultural Expressions",風水輪流轉。
"Idioms, Proverbs & Cultural Expressions",食鹽多過你食米。
"Idioms, Proverbs & Cultural Expressions",三日唔執屋，乜都搵唔到。
"Idioms, Proverbs & Cultural Expressions",貪多嚼唔爛。
"Idioms, Proverbs & Cultural Expressions",唔好咁大安旨意。
"Idioms, Proverbs & Cultural Expressions",條條大路通羅馬。
"Idioms, Proverbs & Cultural Expressions",人善被人欺，馬善被人騎。
Question-Answer Pairs,"Q: 而家幾點？
A: 而家三點半。"
Question-Answer Pairs,"Q: 你住邊度？
A: 我住喺觀塘。"
Question-Answer Pairs,"Q: 點解你遲到？
A: 因為塞車。"
Question-Answer Pairs,"Q: 邊個贏咗比賽？
A: 係我隊贏咗。"
Question-Answer Pairs,"Q: 今晚有冇時間？
A: 有，七點之後得閒。"
Question-Answer Pairs,"Q: 幾時開始？
A: 聽日朝早十點。"
Question-Answer Pairs,"Q: 你飲唔飲咖啡？
A: 飲，唔加糖。"
Question-Answer Pairs,"Q: 嗰部機壞咗未？
A: 仲用得。"
Question-Answer Pairs,"Q: 呢本書邊度買？
A: 書局有得賣。"
Question-Answer Pairs,"Q: 你幾時返工？
A: 星期一返。"
Commands & Instructions,請打開你本書第十頁。
Commands & Instructions,唔好喺走廊奔跑。
Commands & Instructions,交低手機先可以入場。
Commands & Instructions,請排隊等候。
Commands & Instructions,記得鎖門。
Commands & Instructions,寫低你嘅聯絡資料。
Commands & Instructions,打開冷氣。
Commands & Instructions,唔好打擾其他人。
Commands & Instructions,飲完水請執返個樽。
Commands & Instructions,上堂請唔好講電話。
Named Entity Recognition (NER) Data,我上星期去咗東京旅行。
Named Entity Recognition (NER) Data,林太太係我哋公司嘅老闆。
Named Entity Recognition (NER) Data,明日係中秋節。
Named Entity Recognition (NER) Data,我哋約咗喺銅鑼灣見面。
Named Entity Recognition (NER) Data,李生嚟自廣州。
Named Entity Recognition (NER) Data,阿明喺滙豐銀行做嘢。
Named Entity Recognition (NER) Data,香港大學係亞洲頂尖大學之一。
Named Entity Recognition (NER) Data,會議安排喺星期三早上十點。
Named Entity Recognition (NER) Data,Facebook 係一間科技公司。
Named Entity Recognition (NER) Data,張醫生喺瑪嘉烈醫院工作。
Sentiment Analysis Data,我好開心可以見到你！
Sentiment Analysis Data,今日心情麻麻地。
Sentiment Analysis Data,佢嘅表現真係令人失望。
Sentiment Analysis Data,呢套戲感動到我喊。
Sentiment Analysis Data,我對成績唔太滿意。
Sentiment Analysis Data,好期待去旅行！
Sentiment Analysis Data,佢咁樣講嘢真係好討厭。
Sentiment Analysis Data,聽到呢個消息我真係驚訝。
Sentiment Analysis Data,呢杯咖啡好香好好味。
Sentiment Analysis Data,我對未來充滿希望。
Paraphrased & Augmented Sentences,我今日冇心情出街。
Paraphrased & Augmented Sentences,佢已經唔喺度。
Paraphrased & Augmented Sentences,我真係冇力氣。
Paraphrased & Augmented Sentences,唔好再拖啦。
Paraphrased & Augmented Sentences,你講嘅我唔清楚。
Paraphrased & Augmented Sentences,今日天氣非常炎熱。
Paraphrased & Augmented Sentences,可唔可以畀我啲幫助？
Paraphrased & Augmented Sentences,呢樣嘢唔吸引我。
Paraphrased & Augmented Sentences,佢成日呃人。
Paraphrased & Augmented Sentences,我需要啲時間靜靜地坐低。
