Category,Corsican Sentence
Grammar Core (Sentence Structures & Tenses),Aghju manghjatu u pane eri sera.
Grammar Core (Sentence Structures & Tenses),Manghju u pane avà.
Grammar Core (Sentence Structures & Tenses),Mangeraghju u pane dumane.
Grammar Core (Sentence Structures & Tenses),"S'ellu fussi riccu, viaghjeria in u mondu sanu."
Grammar Core (Sentence Structures & Tenses),Ùn manghju micca carne.
Grammar Core (Sentence Structures & Tenses),U pane hè manghjatu da u zitellu.
Grammar Core (Sentence Structures & Tenses),Sò andatu à a casa dopu à u travagliu.
Grammar Core (Sentence Structures & Tenses),Elli anu da vene à a festa.
Grammar Core (Sentence Structures & Tenses),Aghju da esse prontu à tempu.
Grammar Core (Sentence Structures & Tenses),"Sè tù studii, riesci."
Conversational Data (Real-Life Dialogues & Exchanges),Bonghjornu! Cumu vai oghje?
Conversational Data (Real-Life Dialogues & Exchanges),"Vogliu dui caffè, per piacè."
Conversational Data (Real-Life Dialogues & Exchanges),Ci vedemu dopu à scola?
Conversational Data (Real-Life Dialogues & Exchanges),Hè statu bellu vedeti torna!
Conversational Data (Real-Life Dialogues & Exchanges),Chì faci stasera?
Conversational Data (Real-Life Dialogues & Exchanges),Aghju persu u mo telefuninu!
Conversational Data (Real-Life Dialogues & Exchanges),Induve si trova a stazione?
Conversational Data (Real-Life Dialogues & Exchanges),Mi piacerebbe una pizza cù furmagliu.
Conversational Data (Real-Life Dialogues & Exchanges),"Scusate, pudete aiutami?"
Conversational Data (Real-Life Dialogues & Exchanges),Aghju passatu una ghjurnata stancante!
Code-Switching & Multilingualism,Vai à u lavoro in macchina ogni jour?
Code-Switching & Multilingualism,"Hè bellu stu café, non?"
Code-Switching & Multilingualism,Aghju parlatu cù u docteur eri.
Code-Switching & Multilingualism,Ti piace u cinema espagnol?
Code-Switching & Multilingualism,"Ieri, aghju fattu jogging in u parc."
Code-Switching & Multilingualism,Je suis très stancu oghje.
Code-Switching & Multilingualism,Sò andatu à u supermercatu per cumprà du lait.
Code-Switching & Multilingualism,"Un po’ di più pasta, s’il vous plaît."
Code-Switching & Multilingualism,"Ùn capiscu micca quessa, please explain again."
Code-Switching & Multilingualism,Aghju pranzu cù a famiglia à mezzogiorno.
Formal & Professional Speech,Semu lieti di accoglie vi à a cunferenza.
Formal & Professional Speech,U signore Rossi serà prisente à a riunione.
Formal & Professional Speech,A medicina deve esse presa duie volte à ghjornu.
Formal & Professional Speech,U rapportu serà mandatu sta sera.
Formal & Professional Speech,"Per piacè, rispettate u silenziu in sala d'attesa."
Formal & Professional Speech,L'intervenzione hè prevista à 14 ore.
Formal & Professional Speech,U cliente hà dumandatu una spiegazione dettagliata.
Formal & Professional Speech,Tutte e transazzioni sò cunfidenziale.
Formal & Professional Speech,L'impresa hà ottenutu un successu significativu.
Formal & Professional Speech,"Per qualsiasi infurmazione, cuntattate u serviziu tecnicu."
"Idioms, Proverbs & Cultural Expressions",U tempu hè soldi.
"Idioms, Proverbs & Cultural Expressions",Megliu soli chè in mala cumpagnia.
"Idioms, Proverbs & Cultural Expressions",L'acqua corre sempre versu u mare.
"Idioms, Proverbs & Cultural Expressions",Ci vole à piglià u toro per le corne.
"Idioms, Proverbs & Cultural Expressions","Quellu chì dorme, perde u trenu."
"Idioms, Proverbs & Cultural Expressions",Pocu à pocu si và luntanu.
"Idioms, Proverbs & Cultural Expressions",Ùn si pò avè a bottiglia piena è a moglia briaca.
"Idioms, Proverbs & Cultural Expressions","Quandu u sole spunta, ogni ghjornu hè speranza."
"Idioms, Proverbs & Cultural Expressions",Ùn si butta u pane sacru.
"Idioms, Proverbs & Cultural Expressions",Una manu lava l'altra.
Question-Answer Pairs,Chì ora hè? — Hè ottu è mezu.
Question-Answer Pairs,"Induve si trova u museu? — In fondu à a strada, à diritta."
Question-Answer Pairs,Chì pensi di stu filmu? — Mi hè piaciutu assai!
Question-Answer Pairs,"T’hè piaciuta a festa? — Iè, era magnifica."
Question-Answer Pairs,"Avete riservatu una tavula? — Iè, à nome di Paoli."
Question-Answer Pairs,Perchè ùn sei vinutu? — Eru malatu.
Question-Answer Pairs,"Hè vera sta nutizia? — Ùn sò micca, l'aghju lettu nant'à internet."
Question-Answer Pairs,"Cumu si prepara u fiadone? — Ci vole brocciu, ova è limone."
Question-Answer Pairs,"Sè tù vai à Bastia? — Iè, a settimana prossima."
Question-Answer Pairs,Induve si cumpranu e castagne? — À u mercatu.
Commands & Instructions,"Apri a finestra, per piacè."
Commands & Instructions,Ùn toccà nunda!
Commands & Instructions,Siente bè prima di risponde.
Commands & Instructions,Fà attenzione à u scalinu.
Commands & Instructions,Ripetite dopu mè.
Commands & Instructions,Stà tranquillu!
Commands & Instructions,Prendi a medicina dopu à manghjà.
Commands & Instructions,Accende u lume.
Commands & Instructions,Aspetta quì sin'à ch’e tornu.
Commands & Instructions,Mandami un missaghju quandu arrivi.
Named Entity Recognition (NER) Data,Napulione Bonaparte hè natu in Aiacciu.
Named Entity Recognition (NER) Data,Sò andatu à Corte in lugliu.
Named Entity Recognition (NER) Data,Francesca vive in Bastia.
Named Entity Recognition (NER) Data,U Signore Martini travaglia per a Mairie d’Aiacciu.
Named Entity Recognition (NER) Data,L'Università di Corsica hè à Corte.
Named Entity Recognition (NER) Data,Ghjuvan Battista serà à a festa u 15 d'Aostu.
Named Entity Recognition (NER) Data,Sò statu à a clinica Santa Maria.
Named Entity Recognition (NER) Data,A Cunfraternita di Sartè hà una longa storia.
Named Entity Recognition (NER) Data,U Prufessore Moretti insegna à u liceu Fesch.
Named Entity Recognition (NER) Data,A squadra hà vintu à u stadiu François Coty.
Sentiment Analysis Data,Sò cuntentu di u risultatu!
Sentiment Analysis Data,Mi sentu tristu oghje.
Sentiment Analysis Data,Hè una sperienza maravigliosa.
Sentiment Analysis Data,Ùn possu suppurtà più stu rumore.
Sentiment Analysis Data,Stu piattu hè deliziosu!
Sentiment Analysis Data,Mi dà fastidiu stu cumpurtamentu.
Sentiment Analysis Data,Sò fieru di tè.
Sentiment Analysis Data,Era una serata noiosa.
Sentiment Analysis Data,Questa nutizia m'hà fattu ride.
Sentiment Analysis Data,Tuttu pare bellu oghje!
Paraphrased & Augmented Sentences,Aghju vistu u filmu eri sera.
Paraphrased & Augmented Sentences,"Eri sera, aghju guardatu un filmu."
Paraphrased & Augmented Sentences,U filmu l'aghju vistu ghjustu eri sera.
Paraphrased & Augmented Sentences,U filmu hè statu vistu da mè eri sera.
Paraphrased & Augmented Sentences,Mi sò fighjulatu u filmu a sera passata.
Paraphrased & Augmented Sentences,"Eri, aghju fattu una serata cinema."
Paraphrased & Augmented Sentences,Aghju passatu a serata à fighjà un filmu.
Paraphrased & Augmented Sentences,Un bellu filmu l'aghju vistu eri.
Paraphrased & Augmented Sentences,U filmu d'eri sera era interessante.
Paraphrased & Augmented Sentences,Ùn aghju micca mancatu u filmu eri sera.
