Category,Sentence_Maltese
Grammar Core (Sentence Structures & Tenses),Jiena mmur l-iskola kuljum.
Grammar Core (Sentence Structures & Tenses),Jien mort il-bieraħ.
Grammar Core (Sentence Structures & Tenses),Se mmur il-baħar għada.
Grammar Core (Sentence Structures & Tenses),"Jekk ikollok ħin, ejja żurna."
Grammar Core (Sentence Structures & Tenses),Il-kotba ġew moqrija mill-istudenti.
Grammar Core (Sentence Structures & Tenses),Mhux kulħadd irid jistudja l-Malti.
Grammar Core (Sentence Structures & Tenses),Qed nikteb ittra lil ommi.
Grammar Core (Sentence Structures & Tenses),Kien ilu jgħix hemm għal ħafna snin.
Grammar Core (Sentence Structures & Tenses),Se jkun għadu ħerqan li jiġi.
Grammar Core (Sentence Structures & Tenses),Ma kontx naf li se tkun hawn!
Conversational Data (Real-Life Dialogues & Exchanges),Bongu! Kif int illum?
Conversational Data (Real-Life Dialogues & Exchanges),Għandi l-ħin biex immur il-ħanut?
Conversational Data (Real-Life Dialogues & Exchanges),Ejja mmorru nieħdu kafè wara x-xogħol.
Conversational Data (Real-Life Dialogues & Exchanges),Inħobb ħafna l-ħajja fil-gżira.
Conversational Data (Real-Life Dialogues & Exchanges),"Jekk jogħġbok, tista' tgħinni?"
Conversational Data (Real-Life Dialogues & Exchanges),"Ejja mmorru, għax diġà wasalna tard."
Conversational Data (Real-Life Dialogues & Exchanges),X’qed tagħmel il-ġimgħa d-dieħla?
Conversational Data (Real-Life Dialogues & Exchanges),Grazzi ħafna! Kont vera ta’ għajnuna.
Conversational Data (Real-Life Dialogues & Exchanges),Int x'taħseb dwar dan il-film?
Conversational Data (Real-Life Dialogues & Exchanges),"Mela, qegħdin lesti?"
Code-Switching & Multilingualism,Illum se niltaqa' ma' Mark għal lunch.
Code-Switching & Multilingualism,Trid tipparkja l-karozza fuq il-side tal-bank?
Code-Switching & Multilingualism,Ejja mmorru shopping is-Sibt.
Code-Switching & Multilingualism,Qatt rajt dan il-video fuq YouTube?
Code-Switching & Multilingualism,Issa qed inkun ħafna busy bil-proġetti.
Code-Switching & Multilingualism,X'ħin hu l-meeting għada?
Code-Switching & Multilingualism,I need to focus fuq l-eżami tiegħi.
Code-Switching & Multilingualism,Hemm deadline importanti għada filgħodu.
Code-Switching & Multilingualism,Dan hu verament amazing!
Code-Switching & Multilingualism,Il-festa kienet so much fun!
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Għeżież kollegi, illum ser niddiskutu l-progress tal-proġett."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Jekk jogħġbok ibgħatli r-rapport sa nofsinhar.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Il-kumpanija tagħna timmira li tipprovdi servizz eċċellenti.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Fil-qasam mediku, l-eżattezza hija essenzjali."
