Category,Sentence (Pashto)
Grammar Core (Sentence Structures & Tenses),زه پرون ښوونځي ته ولاړم.
Grammar Core (Sentence Structures & Tenses),زه اوس کتاب لولم.
Grammar Core (Sentence Structures & Tenses),زه سبا کار ته ځم.
Grammar Core (Sentence Structures & Tenses),که باران واوري، زه به کور کې پاتې شم.
Grammar Core (Sentence Structures & Tenses),هغه ماته لیک راولیږه.
Grammar Core (Sentence Structures & Tenses),ما ته د لوبې پایله معلومه نشوه.
Grammar Core (Sentence Structures & Tenses),کتابونه د میز پر سر ایښي دي.
Grammar Core (Sentence Structures & Tenses),زما خور به راتلونکې میاشت سفر وکړي.
Grammar Core (Sentence Structures & Tenses),موږ به سبا نوی کور واخلو.
Grammar Core (Sentence Structures & Tenses),زه غواړم چې ژر کار ومومم.
Conversational Data (Real-Life Dialogues & Exchanges),سلام! ته څنګه یې؟
Conversational Data (Real-Life Dialogues & Exchanges),زه ښه یم، مننه. ته څنګه یې؟
Conversational Data (Real-Life Dialogues & Exchanges),دوی وویل چې دوشنبه به راشي.
Conversational Data (Real-Life Dialogues & Exchanges),ایا تاسو کولی شئ ما ته لاره وښایئ؟
Conversational Data (Real-Life Dialogues & Exchanges),زه غواړم چې دا کتاب واخلم.
Conversational Data (Real-Life Dialogues & Exchanges),زه د دې ځای خواړه خوښوم.
Conversational Data (Real-Life Dialogues & Exchanges),زه سبا له دوستانو سره تفریح ته ځم.
Conversational Data (Real-Life Dialogues & Exchanges),دا قیمت ډېر لوړ دی، لږ تخفیف وکړئ.
Conversational Data (Real-Life Dialogues & Exchanges),زه غواړم چې یو نوی تلیفون واخلم.
Conversational Data (Real-Life Dialogues & Exchanges),ستاسو د مرستې لپاره ډېره مننه.
Code-Switching & Multilingualism,زه سبا ورک ته ځم، office ته مې کار لرم.
Code-Switching & Multilingualism,کاشکي Wi-Fi ښه کار کړی وای.
Code-Switching & Multilingualism,تاسو email چک کړی؟
Code-Switching & Multilingualism,Facebook کې مې یو ښه پوسټ ولید.
Code-Switching & Multilingualism,تاسو څنګه online order ورکولی شئ؟
Code-Switching & Multilingualism,زه meeting ته ناوخته یم.
Code-Switching & Multilingualism,Please ما ته دا معلومات راولیږئ.
Code-Switching & Multilingualism,Conference سبا په کابل کې ده.
Code-Switching & Multilingualism,Mobile network ډېر ضعیف دی.
Code-Switching & Multilingualism,Internet connection ډېر مهم دی.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",د شرکت کلنۍ ناسته سبا ده.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",قانوني اسناد باید رسمي وڅیړل شي.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",دا درمل باید له ډاکټر د اجازې سره واخستل شي.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",د سوداګرۍ قراردادونه ډېر مهم دي.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ستاسو CV باید تازه وي.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",د بیمې شرایط باید وڅیړل شي.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",د بانک حساب پرانستل اسانه ده.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",د حقوقي مشورې لپاره وکیل ته اړتیا ده.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",شرکت د نوې ټکنالوژۍ پراخولو ته چمتو دی.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",تاسو کولی شئ چې دا سند لاسلیک کړئ؟
"Idioms, Proverbs & Cultural Expressions",کبان په اوبو کې ژوند کوي.
"Idioms, Proverbs & Cultural Expressions",چاڼې ته ډوډۍ مه اچوه.
"Idioms, Proverbs & Cultural Expressions",په اراده سره غرونه هم ښوري.
"Idioms, Proverbs & Cultural Expressions",هر چا ته خپل کور جنت ښکاري.
"Idioms, Proverbs & Cultural Expressions",دوه ورونه یو مټ دي.
"Idioms, Proverbs & Cultural Expressions",زموږ په وطن کې مېلمانه برکت دي.
"Idioms, Proverbs & Cultural Expressions",چې باد شي، لمبه مري.
"Idioms, Proverbs & Cultural Expressions",د اوبو لاندې اور نه پټیږي.
"Idioms, Proverbs & Cultural Expressions",چې کار کوي، خطا هم کوي.
"Idioms, Proverbs & Cultural Expressions",غاښونو تر خولې قوي دي.
Question-Answer Pairs (FAQ & Contextual Understanding),کابل د افغانستان پلازمینه ده؟ هو.
Question-Answer Pairs (FAQ & Contextual Understanding),ایا تاسو سبا رخصت یاست؟ نه.
Question-Answer Pairs (FAQ & Contextual Understanding),څنګه کولای شم چې نوی تلیفون واخلم؟ د آنلاین یا فزیکي پلورنځي څخه.
Question-Answer Pairs (FAQ & Contextual Understanding),زه څنګه پاسپورټ ترلاسه کولی شم؟ د حکومت د ادارې له لارې.
Question-Answer Pairs (FAQ & Contextual Understanding),د افغانستان رسمي ژبې کومې دي؟ پښتو او دري.
Question-Answer Pairs (FAQ & Contextual Understanding),زه څنګه موټر چلول زده کولی شم؟ د موټر چلولو روزنیز مرکز ته لاړ شئ.
Question-Answer Pairs (FAQ & Contextual Understanding),زه څنګه چک نغدي کولی شم؟ د بانک له لارې.
Question-Answer Pairs (FAQ & Contextual Understanding),ایا تاسو انټرنیټ سره تړل شوي یاست؟ هو.
Question-Answer Pairs (FAQ & Contextual Understanding),په کابل کې غوره رستورانتونه کوم دي؟ ځینې مشهور ځایونه به تاسو ته لیست کړو.
Question-Answer Pairs (FAQ & Contextual Understanding),ایا تاسو د دې محصول تخفیف لرئ؟ بلی، که تاسو له موږ سره وفادار پیرودونکی یاست.
Commands & Instructions (Imperative Sentences),لطفاً دا دروازه بنده کړه.
Commands & Instructions (Imperative Sentences),کتاب په میز کېږده.
Commands & Instructions (Imperative Sentences),خپل کور درسونه وکړئ.
Commands & Instructions (Imperative Sentences),ما ته چای راوړه.
Commands & Instructions (Imperative Sentences),خپل کمپیوټر چالان کړه.
Commands & Instructions (Imperative Sentences),دغه فایل مه ړنګوه.
Commands & Instructions (Imperative Sentences),یو نوی ایمیل ولیکه.
Commands & Instructions (Imperative Sentences),د خپل روغتیا خیال وساتئ.
Commands & Instructions (Imperative Sentences),ما ته د نن ورځې راپور راولیږه.
Commands & Instructions (Imperative Sentences),کاغذونه ترتیب کړئ.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",احمد د کابل اوسیدونکی دی.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",زه سبا مزار ته سفر کوم.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",یونیسف د ماشومانو د مرستې لپاره کار کوي.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",د ۲۰۲۵ کال د جنورۍ په میاشت کې یو نوی قانون نافذ شو.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",د افغانستان ملي بانک د کابل مرکزي دفتر لري.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",محمد یوه نړیواله جایزه وګټله.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",سبا د مارچ ۱۵مه نیټه ده.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",زه د ملګرو ملتونو د کنفرانس لپاره چمتو یم.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",آیفون ۱۵ د دې کال تر ټولو غوره محصول و.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",د دوبۍ هوایی ډګر د نړۍ تر ټولو مصروف دی.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),زه ډېر خوشحاله یم.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),دا فلم ډېر خوندور و.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),زه نن ډېر ستړی یم.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),دا خواړه ډېر ښه نه و.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),زه د دې ځای له خدمت څخه راضي یم.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ما ته دا سندره ډېره خوښه شوه.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),زه د دې نتیجې څخه نا امید یم.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),دا تر ټولو غوره تجربه وه.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),زه د دې سفر له کبله خوشحاله یم.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),زه له دې موضوع څخه خفه یم.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),زه سبا ښوونځي ته ځم.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),سبا زه مکتب ته لاړ شم.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),زه به سبا زده کړې ته ولاړ شم.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),زه غواړم سبا ښوونځي ته لاړ شم.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),زه ښوونځي ته د تګ نیت لرم.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),زه پلان لرم چې سبا مکتب ته لاړ شم.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),زه به سبا درس ته حاضر شم.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),زه سبا د مطالعې لپاره ځم.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),زما نیت دی چې سبا ښوونځي ته لاړ شم.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),زه سبا حتماً ښوونځي ته ځم.
