Category,Sentence (Manx)
Grammar Core,Ta mee goll dys yn scoill gys yn traa t'ayn.
Grammar Core,Va mee er n'gholl roish my daink oo.
Grammar Core,Nee ad goll dys yn chaglym ec queig oor.
Grammar Core,"Dy beagh eh er n'gholl, beagh eh er geddyn eh."
Grammar Core,Cha nel mee goll dys y raad shen.
Grammar Core,Ta'n lioar ry lhaih liorish y ven.
Grammar Core,Ta mee er n'akin eh dagh laa.
Grammar Core,Ren mee loayrt rish y ben shen jiu.
Grammar Core,Bee eh goll dy leah.
Grammar Core,Cha ren shin jeeaghyn er y faat.
Conversational Data,Kys t’ou?
Conversational Data,"Ta mee braew, gura mie ayd."
Conversational Data,Cre ta shiu dy yannoo?
Conversational Data,Ta shin goll magh son jough.
Conversational Data,Vel oo geearree cheet marym?
Conversational Data,"S'cammit eh, nagh vel?"
Conversational Data,Ta mee smooinaghtyn dy jean eh tannaghtyn ny s'odjey.
Conversational Data,"Shegin dou goll nish, slane lhiat!"
Conversational Data,Slane!
Conversational Data,Vel dooinney elley goll dy liooar?
Code-Switching & Multilingualism,Ta mee goll dys y shop – just for some milk.
Code-Switching & Multilingualism,"Vel oo er n'akin yn film shen, it was brilliant!"
Code-Switching & Multilingualism,"Ta mee er n'gholl, pero no sé qué hacer ahora."
Code-Switching & Multilingualism,He said 'Ta mee gra my leshtal' and walked away.
Code-Switching & Multilingualism,"Ta mee er jannoo meh homework, mais je comprends rien!"
Code-Switching & Multilingualism,"Yessir, ta mee gready!"
Code-Switching & Multilingualism,She lhiam yn car shen – 'cause I paid for it!
Code-Switching & Multilingualism,Ta mee er ghoaill yn raad – and now I’m lost.
Code-Switching & Multilingualism,Do you know cre'n traa t’eh?
Code-Switching & Multilingualism,Mon ami ta er n’gholl dys y thie-oast.
Formal & Professional Speech,Ta'n chaglym goll er y reaghey son jeih ooryn yindys.
Formal & Professional Speech,She red scanshoil eh dy chur bree da'n chooish.
Formal & Professional Speech,"Cur shiu dty haualtys, my sailliu."
Formal & Professional Speech,Ta'n oik er n'ghoaill rish yn aachouyrt.
Formal & Professional Speech,"Myr ta fys eu, ta'n biley jannoo dy mie."
Formal & Professional Speech,Ta'n lhiass-choyrle er n'ghoaill y cheu shen.
Formal & Professional Speech,Ta feme ain er currym as toshiaght jeh'n obbyr.
Formal & Professional Speech,She bun-chooish eh son y reiltys noa.
Formal & Professional Speech,Ta fys mie ec y fer-obbragh er y choraa shoh.
Formal & Professional Speech,Ta'n lioar shen jannoo soilshean er y chlee.
"Idioms, Proverbs & Cultural Expressions",Ta'n moddey shen myr giat fo'n wheeyl.
"Idioms, Proverbs & Cultural Expressions","Vel oo cheet dy ghoaill y cheeill, ny shass?"
"Idioms, Proverbs & Cultural Expressions","My ta'n cabbyl marroo, cha vel scansh er y charr."
"Idioms, Proverbs & Cultural Expressions",Cha nel yn chiollagh er y liargagh ec dy chooilley vun.
