Category,Sentence (Palestinian Arabic)
Grammar Core (Sentence Structures & Tenses),أنا كنت بالشغل مبارح.
Grammar Core (Sentence Structures & Tenses),بكرة رح أزور ستي.
Grammar Core (Sentence Structures & Tenses),لو عندي سيارة، كنت بسافر كل يوم.
Grammar Core (Sentence Structures & Tenses),هالكتاب قُري قبل هيك؟
Grammar Core (Sentence Structures & Tenses),ما كنت عارف إنك هون.
Grammar Core (Sentence Structures & Tenses),مش رح أقدر أجي اليوم.
Grammar Core (Sentence Structures & Tenses),أنا بدرس كل يوم الصبح.
Grammar Core (Sentence Structures & Tenses),المطر كان نازل بقوة مبارح.
Grammar Core (Sentence Structures & Tenses),لو كنت مكانك، كنت ساعدته.
Grammar Core (Sentence Structures & Tenses),شو رح تسوي بكرا؟
Conversational Data (Real-Life Dialogues & Exchanges),كيفك؟ شو الأخبار؟
Conversational Data (Real-Life Dialogues & Exchanges),وين كنت مبارح؟
Conversational Data (Real-Life Dialogues & Exchanges),خلي بالك من حالك!
Conversational Data (Real-Life Dialogues & Exchanges),يلا نروح عالكافيه؟
Conversational Data (Real-Life Dialogues & Exchanges),إنت شو رأيك بهالموضوع؟
Conversational Data (Real-Life Dialogues & Exchanges),بصراحة، أنا مش متأكد.
Conversational Data (Real-Life Dialogues & Exchanges),أكيد! متى بدك نلتقي؟
Conversational Data (Real-Life Dialogues & Exchanges),شفت الفيلم الجديد؟ كيف كان؟
Conversational Data (Real-Life Dialogues & Exchanges),الله يسهل عليك يا زلمة!
Conversational Data (Real-Life Dialogues & Exchanges),بدي أحكيلك قصة صارت معي مبارح.
Code-Switching & Multilingualism,أنا رايح أجيب some groceries.
Code-Switching & Multilingualism,هاي الشغلة totally amazing!
Code-Switching & Multilingualism,ما في parking هون!
Code-Switching & Multilingualism,لازم نعمله في weekend.
Code-Switching & Multilingualism,الجو today كتير حلو.
Code-Switching & Multilingualism,بدي order coffee قبل ما نمشي.
Code-Switching & Multilingualism,إنت شو planك للعيد؟
Code-Switching & Multilingualism,إحنا بنروح camping كل صيف.
Code-Switching & Multilingualism,عشان يكون clear، أنا مش موافق.
Code-Switching & Multilingualism,هاي idea ممتازة!
"Formal & Professional Speech (Business, Legal, Medical, Technical)",يسرّني إبلاغكم أنه تم قبولكم في الشركة.
