Category,Sentence (Western Armenian)
Grammar Core,"Ես կը սիրէի ընթերցել, բայց ժամանակ չունէի։"
Grammar Core,Մեր ուսուցիչը վաղը դասարան պիտի գայ։
Grammar Core,"Եթէ առիթ ունենաս, ինձ զանգահարէ։"
Grammar Core,Գիրքը գրուեցաւ հին ձեռագիրներով։
Grammar Core,Դուն պէտք է սորվիս քաղցր խօսիլ։
Grammar Core,"Երբ մենք դպրոց գացինք, դասերը արդէն սկսած էին։"
Grammar Core,"Նա խօսք չի պահեր, բայց կը խոստանայ։"
Grammar Core,Անոնք կը սպասէին իրենց հերթին։
Grammar Core,"Եթե անձրև գայ, մենք տուն կը մնանք։"
Grammar Core,"Ան ինձ հարցուց, թէ ինչպէս կը զգամ։"
Conversational Data,"— Որտե՞ղ ես գացած։ — Շուկա, միրգ գնելու։"
Conversational Data,"— Այսօր մթնոլորտը գեղեցիկ է։ — Այո՛, շատ հաճելի է։"
Conversational Data,— Ի՞նչ կը մտածես այս գիրքին մասին։ — Շատ հետաքրքիր էր։
Conversational Data,"— Կարելի՞ է քեզի օգնել։ — Այո՛, շնորհակալութիւն։"
Conversational Data,"— Երբ պիտի հանդիպինք։ — Ժամը վեցին, ըստ պայմանաւորուածութեան։"
Conversational Data,"— Ի՞նչ է քու սիրած ուտեստդ։ — Դոլմա, անկասկած։"
Conversational Data,"— Կը սիրէ՞ս ճամփորդել։ — Այո՛, ամեն անգամ նոր բան կը սորվիմ։"
Conversational Data,"— Տունը ո՞ւր է։ — Շրջադարձէն աջ, մեծ շէնքին մօտ։"
Conversational Data,— Այսօր աշխատանքդ լա՞ւ անցաւ։ — Բաւական գոհ եմ։
Conversational Data,"— Ինչպե՞ս կրնամ հասնիլ թանգարան։ — Ուղիղ գնա, աջ դարձիր։"
Code-Switching & Multilingualism,"Ես այսօր պիտի հանդիպիմ ընկերոջս, who speaks French."
Code-Switching & Multilingualism,"Այս խանութը սուպեր է, but a bit expensive."
Code-Switching & Multilingualism,Դուն ծանօ՞թ ես այդ singer-ին։
Code-Switching & Multilingualism,Facebook-ին մէջ տեսայ այդ նորութիւնը։
Code-Switching & Multilingualism,"Լաւ, պիտի զանգեմ ու կը meet-up tomorrow։"
Code-Switching & Multilingualism,"Let's have coffee, կը հանդիպինք սրճարանը։"
Code-Switching & Multilingualism,Երբեմն mixing languages շատ բնական կը հնչի։
Code-Switching & Multilingualism,"Գիտե՞ս, այդ project-ը շատ հետաքրքիր էր։"
Code-Switching & Multilingualism,Ես այս book-ը գրադարանէն առի։
Code-Switching & Multilingualism,Նախընտրե՞ս e-mail-ով պատասխանել։
Formal & Professional Speech,"Հարգելի պարոն, խնդրում ենք մասնակցել հանդիպմանը։"
Formal & Professional Speech,Այս պայմանագիրը հաստատելու համար անհրաժեշտ են ստորագրութիւններ։
Formal & Professional Speech,Մեր ընկերութիւնը պարտաճանաչ կերպով կիրարկում է բոլոր կանոնակարգերը։
Formal & Professional Speech,Ներկայիս ֆինանսական շուկան փոփոխութեան ենթարկուելու հաւանականութիւն ունի։
Formal & Professional Speech,"Բժիշկը նշեց, որ պէտք է հետեւիլ բոլոր ցուցումներին։"
