Category,Sentence_Hebrew
Grammar Core,אני קורא ספר כל יום.
Grammar Core,אתמול הלכתי לקניון עם חברים.
Grammar Core,מחר נטוס לפריז לחופשה.
Grammar Core,"אם היה לי יותר זמן, הייתי לומד יותר."
Grammar Core,הדלת נפתחת על ידי הרוח.
Grammar Core,היא לא רצתה ללכת למסיבה.
Grammar Core,אנחנו נשחק כדורגל אחרי הלימודים.
Grammar Core,הם כבר אכלו את ארוחת הערב.
Grammar Core,הספרים הושאלו מהספרייה.
Grammar Core,אתה צריך לסיים את העבודה עד מחר.
Conversational Data,"היי, מה שלומך היום?"
Conversational Data,"בסדר, תודה! ומה איתך?"
Conversational Data,"אני מחפש מסעדה טובה בעיר, יש לך המלצה?"
Conversational Data,כן! יש מסעדה מצוינת ליד התחנה המרכזית.
Conversational Data,מעולה! בא לך להצטרף אליי?
Conversational Data,"כן, בשמחה! מתי אתה מתכנן ללכת?"
Conversational Data,אני חושב ללכת בסביבות שבע בערב.
Conversational Data,"נשמע טוב, נתראה שם!"
Conversational Data,"יופי, אני שולח לך את הכתובת בווטסאפ."
Conversational Data,"מעולה, מחכה לך שם!"
Code-Switching & Multilingualism,"אני הולך לסופר לקנות חלב, ויש שם גם sale מטורף!"
Code-Switching & Multilingualism,אפשר לקבוע פגישה ביום שני או Wednesday?
Code-Switching & Multilingualism,הוא תמיד מדבר בעברית אבל לפעמים מוסיף קצת English.
Code-Switching & Multilingualism,האם אתה רוצה לקבל את המייל בעברית או ב-English?
Code-Switching & Multilingualism,"סיימתי את המשימות להיום, I’m done!"
Code-Switching & Multilingualism,היא מדברת עברית שוטפת אבל ב-meetings היא עוברת לאנגלית.
Code-Switching & Multilingualism,אתה יכול לשלוח לי את ה-document ב-WhatsApp?
Code-Switching & Multilingualism,"שכחתי את הארנק בבית, Can you lend me some money?"
Code-Switching & Multilingualism,יש לך מושג איך אומרים 'efficiency' בעברית?
Code-Switching & Multilingualism,הוא דיבר איתי בצרפתית ואז עבר ל-Hebrew.
Formal & Professional Speech,נשמח לתאם עמך פגישה בנוגע לפרויקט החדש.
Formal & Professional Speech,אנו מאשרים בזאת את קבלת ההזמנה שלך.
Formal & Professional Speech,נא לשלוח את הקובץ עד סוף היום.
Formal & Professional Speech,"בהתאם להנחיות החברה, יש למלא את הטופס המצורף."
Formal & Professional Speech,מצורף דו״ח חודשי מפורט לשימושך.
Formal & Professional Speech,נודה על שיתוף הפעולה שלך בנושא.
Formal & Professional Speech,"הודעה זו מכילה מידע מסווג, נא לא להעביר הלאה."
Formal & Professional Speech,להלן ההמלצות לאסטרטגיה העסקית לשנה הקרובה.
Formal & Professional Speech,"תודה על פנייתך, נחזור אליך בהקדם האפשרי."
Formal & Professional Speech,המסמך נבדק ואושר על ידי המחלקה המשפטית.
"Idioms, Proverbs & Cultural Expressions",תפסת מרובה – לא תפסת.
"Idioms, Proverbs & Cultural Expressions",אין עשן בלי אש.
"Idioms, Proverbs & Cultural Expressions",כבדהו וחשדהו.
"Idioms, Proverbs & Cultural Expressions",סוף מעשה במחשבה תחילה.
"Idioms, Proverbs & Cultural Expressions",לא דובים ולא יער.
"Idioms, Proverbs & Cultural Expressions",טובל ושרץ בידו.
"Idioms, Proverbs & Cultural Expressions",איזהו עשיר? השמח בחלקו.
"Idioms, Proverbs & Cultural Expressions",אל תדון אדם עד שתגיע למקומו.
"Idioms, Proverbs & Cultural Expressions",אין חכם כבעל ניסיון.
"Idioms, Proverbs & Cultural Expressions",הגיעו מים עד נפש.
Question-Answer Pairs,מהו בירת ישראל? - ירושלים.
Question-Answer Pairs,מתי הוקמה מדינת ישראל? - בשנת 1948.
Question-Answer Pairs,"איך מכינים חומוס? - טוחנים חומוס עם טחינה, שום, שמן זית ולימון."
Question-Answer Pairs,מי היה ראש הממשלה הראשון של ישראל? - דוד בן-גוריון.
Question-Answer Pairs,מהו הכותל המערבי? - אתר קדוש ליהודים בירושלים.
Question-Answer Pairs,כמה יבשות יש בעולם? - שבע יבשות.
Question-Answer Pairs,מהי השפה הרשמית של ישראל? - עברית.
Question-Answer Pairs,מהו המאכל הלאומי של ישראל? - פלאפל.
Question-Answer Pairs,איך אומרים 'שלום' באנגלית? - Hello.
Question-Answer Pairs,כמה ימים יש בשבוע? - שבעה ימים.
Commands & Instructions,כבה את האור לפני שאתה יוצא.
Commands & Instructions,אנא מלא את הפרטים שלך בטופס.
Commands & Instructions,פתח את הדלת בבקשה.
Commands & Instructions,נא להמתין בתור בסבלנות.
Commands & Instructions,"הבא לי כוס מים, בבקשה."
Commands & Instructions,"אל תיגע בזה, זה מסוכן."
Commands & Instructions,שלח לי את הקובץ בהקדם.
Commands & Instructions,חייג 100 במקרה חירום.
Commands & Instructions,נא לחגור חגורת בטיחות.
Commands & Instructions,התאם את הגדרות האבטחה שלך.
Named Entity Recognition,נתניהו היה ראש ממשלת ישראל.
Named Entity Recognition,תל אביב היא עיר תוססת בישראל.
Named Entity Recognition,אירוע יתקיים ב-15 ביוני 2025.
Named Entity Recognition,גוגל היא חברה טכנולוגית בינלאומית.
Named Entity Recognition,הכותל המערבי נמצא בירושלים.
Named Entity Recognition,אלברט איינשטיין היה פיזיקאי ידוע.
Named Entity Recognition,מגדל אייפל נמצא בפריז.
Named Entity Recognition,רבים מבקרים במדבר יהודה.
Named Entity Recognition,המטבע של ארה״ב הוא דולר.
Named Entity Recognition,נאס״א משגרת חלליות לירח.
Sentiment Analysis,אני כל כך שמח היום!
Sentiment Analysis,המסעדה הזו הייתה נוראית.
Sentiment Analysis,הייתי מאוד מרוצה מהשירות.
Sentiment Analysis,אני מרגיש עצוב היום.
Sentiment Analysis,החופשה הייתה מושלמת!
Sentiment Analysis,הבוס שלי תמיד מלחיץ אותי.
Sentiment Analysis,אני אוהב לראות שקיעות בים.
Sentiment Analysis,הסרט היה משעמם להחריד.
Sentiment Analysis,הפיצה הייתה פשוט מעולה!
Sentiment Analysis,אני מתוסכל מהמצב הנוכחי.
Paraphrased & Augmented Sentences,אני הולך לעבודה בבוקר.
Paraphrased & Augmented Sentences,בכל בוקר אני הולך לעבודה.
Paraphrased & Augmented Sentences,אני נוהג ללכת לעבודה בשעות הבוקר.
Paraphrased & Augmented Sentences,כל יום אני יוצא לעבודה מוקדם.
Paraphrased & Augmented Sentences,אני מגיע למשרד כל יום בשמונה.
Paraphrased & Augmented Sentences,אני הולך כל יום למקום העבודה שלי.
Paraphrased & Augmented Sentences,בבקרים אני נוסע לעבודה.
Paraphrased & Augmented Sentences,אני מתחיל את היום שלי בעבודה.
Paraphrased & Augmented Sentences,אני יוצא לכיוון העבודה בבוקר.
Paraphrased & Augmented Sentences,מדי יום אני מתייצב בעבודה.
