Category,Sentence
Grammar Core,أنا كنت بذاكر امبارح.
Grammar Core,هو بيشتغل دلوقتي.
Grammar Core,هنخرج بكرة.
Grammar Core,لو كنت عرفت، مكنتش جيت.
Grammar Core,الكتاب اتقرا بسرعة.
Grammar Core,مش بحب القهوة.
Grammar Core,كان بيذاكر لما كلمته.
Grammar Core,هكون وصلت الساعة 5.
Grammar Core,ياريتني سمعت كلامك.
Grammar Core,هي دايماً بتروح الشغل بدري.
Conversational Data,إزيك؟ عامل إيه؟
Conversational Data,الحمد لله، وأنت؟
Conversational Data,رايح فين؟
Conversational Data,هروح السوق، تجي معايا؟
Conversational Data,تمام، خلينا نروح.
Conversational Data,إنت بتشتغل في إيه؟
Conversational Data,أنا مهندس، وأنت؟
Conversational Data,أنا طالب في الجامعة.
Conversational Data,إيه رأيك في الفيلم ده؟
Conversational Data,كان حلو جدًا، وأنت شايف إيه؟
Code-Switching & Multilingualism,أنا كنت في الmall إمبارح.
Code-Switching & Multilingualism,الكورس ده online ولا offline؟
Code-Switching & Multilingualism,محتاج أعمل download للفايل.
Code-Switching & Multilingualism,الteacher شرح الدرس كويس.
Code-Switching & Multilingualism,هنتقابل في الcafé بعد الشغل؟
Code-Switching & Multilingualism,الpresentation بتاعك كان رائع!
Code-Switching & Multilingualism,سيبلي الfeedback على الemail.
Code-Switching & Multilingualism,الapp ده user-friendly جدًا.
Code-Switching & Multilingualism,الmanager بتاعنا عايز report سريع.
Code-Switching & Multilingualism,أنا محتاج upgrade للموبايل.
Formal & Professional Speech,بناءً على الاجتماع السابق، سيتم تنفيذ القرار.
Formal & Professional Speech,الرجاء إرسال التقرير قبل نهاية اليوم.
Formal & Professional Speech,يرجى الالتزام بمواعيد العمل.
Formal & Professional Speech,عذرًا، لا يمكننا مشاركة هذه المعلومات.
Formal & Professional Speech,نرحب بأسئلتكم واستفساراتكم في أي وقت.
Formal & Professional Speech,يرجى التفضل بتقديم مقترحاتكم.
Formal & Professional Speech,الرجاء الانتظار حتى يتم الاتصال بكم.
Formal & Professional Speech,شكرًا لتعاونكم الدائم.
Formal & Professional Speech,نقدر اهتمامكم بخدماتنا.
Formal & Professional Speech,سيتم الرد عليكم في أقرب وقت ممكن.
"Idioms, Proverbs & Cultural Expressions",العين متحبش غير الحلو.
"Idioms, Proverbs & Cultural Expressions",اللي ما يعرفش يقول عدس.
"Idioms, Proverbs & Cultural Expressions",الجار قبل الدار.
"Idioms, Proverbs & Cultural Expressions",إيد لوحدها متسقفش.
