Category,Sentence (Nigerian Pidgin)
Grammar Core,I go dey work from house next week.
Grammar Core,Dem never bring light since morning.
Grammar Core,E fit don reach Abuja by now.
Grammar Core,"If dem no come today, we go vex."
Grammar Core,Na the food wey she cook I like.
Grammar Core,He no dey see well for night.
Grammar Core,She go don read that book finish.
Grammar Core,Dem dey plan to travel go East soon.
Grammar Core,I sabi wetin you dey talk.
Grammar Core,You go fit help me carry this bag?
Conversational Data,You dey hear me so?
Conversational Data,"Oya, make we go na."
Conversational Data,Na wetin you talk be that?
Conversational Data,"Abeg, make I follow you reach junction."
Conversational Data,I no fit wait again o.
Conversational Data,Wetin be your own for the matter?
Conversational Data,I wan talk to you small.
Conversational Data,"No worry, I dey your back."
Conversational Data,"We go see for evening, abi?"
Conversational Data,Dis kain thing don tire me.
Code-Switching & Multilingualism,Dem invite me for the conférence last week.
Code-Switching & Multilingualism,E just dey mix Igbo and Pidgin anyhow.
Code-Switching & Multilingualism,She sabi plenty French words for her talk.
Code-Switching & Multilingualism,"Abeg, pass me di télécommande."
Code-Switching & Multilingualism,Na for le bureau I see am.
Code-Switching & Multilingualism,You suppose attend the formation tomorrow.
Code-Switching & Multilingualism,Dem dey plan une réunion pour lundi.
Code-Switching & Multilingualism,Na di professeur talk am like dat.
Code-Switching & Multilingualism,I hear say na même chose dem talk.
Code-Switching & Multilingualism,Di oga no dey like mix langues.
Formal & Professional Speech,Please ensure all entries are verified before submission.
Formal & Professional Speech,The meeting don shift to Tuesday by 10am.
Formal & Professional Speech,Patient files dey for di second cabinet.
Formal & Professional Speech,You go provide invoice after di delivery.
Formal & Professional Speech,All staff must comply with company policy.
Formal & Professional Speech,Make una prepare una presentation slides.
Formal & Professional Speech,Ensure say everything dey documented properly.
Formal & Professional Speech,Di report suppose submit by close of work.
Formal & Professional Speech,Your application dey under review presently.
Formal & Professional Speech,We don approve the budget proposal.
"Idioms, Proverbs & Cultural Expressions",No be today yansh dey for back.
"Idioms, Proverbs & Cultural Expressions","When fish begin rot, na from head e start."
"Idioms, Proverbs & Cultural Expressions","If ground no shake, leaf no go fall."
"Idioms, Proverbs & Cultural Expressions",Coconut head pikin no dey hear word.
"Idioms, Proverbs & Cultural Expressions",Na who get ear make e hear.
"Idioms, Proverbs & Cultural Expressions",Dem no dey give monkey banana make e thank you.
"Idioms, Proverbs & Cultural Expressions",You no fit hide smoke under cloth.
"Idioms, Proverbs & Cultural Expressions",Even tortoise get plan before e waka.
"Idioms, Proverbs & Cultural Expressions",Rain no dey fall for one man roof alone.
"Idioms, Proverbs & Cultural Expressions",Time no dey wait for anybody.
Question-Answer Pairs,"Q: Who you go meet for office?
A: I go meet Madam Clara."
Question-Answer Pairs,"Q: Na where you dey go?
A: I dey go bank."
Question-Answer Pairs,"Q: Why you dey frown face?
A: Na because I lose my phone."
Question-Answer Pairs,"Q: When your exam dey?
A: Next week Wednesday."
Question-Answer Pairs,"Q: You sure say you lock door?
A: I lock am well."
Question-Answer Pairs,"Q: Who carry my slippers?
A: Check near bathroom."
Question-Answer Pairs,"Q: You sabi repair generator?
A: Small, I fit try."
Question-Answer Pairs,"Q: Di road clear?
A: E still block small."
Question-Answer Pairs,"Q: Wetin she tell you?
A: She say make I wait."
Question-Answer Pairs,"Q: You go fit finish am?
A: I go try my best."
Commands & Instructions,Open that curtain make breeze enter.
Commands & Instructions,Put the phone for silent mode.
Commands & Instructions,Tell am make e wait outside.
Commands & Instructions,Check if water still dey for pot.
Commands & Instructions,Write your name for top of the list.
Commands & Instructions,No touch that wire o!
Commands & Instructions,Give her di letter before she comot.
Commands & Instructions,"Stand well, make I snap you."
Commands & Instructions,Off the fan before you go out.
Commands & Instructions,Arrange your books before you sleep.
Named Entity Recognition (NER) Data,Governor Wike visit GRA yesterday.
Named Entity Recognition (NER) Data,UBA dey open new branch for Owerri.
Named Entity Recognition (NER) Data,Dr. Musa dey work for Lagos General Hospital.
Named Entity Recognition (NER) Data,Dem appoint Ngozi Okonjo-Iweala as director.
Named Entity Recognition (NER) Data,Facebook launch new feature for Nigeria.
Named Entity Recognition (NER) Data,Mama Chioma dey celebrate her birthday today.
Named Entity Recognition (NER) Data,NCC announce new telecom rule for operators.
Named Entity Recognition (NER) Data,The train go reach Kaduna by 6pm.
Named Entity Recognition (NER) Data,GTBank don reduce di transfer fee.
Named Entity Recognition (NER) Data,Di conference go hold for Civic Centre.
Sentiment Analysis Data,I no dey happy with how things be.
Sentiment Analysis Data,Di soup sweet die!
Sentiment Analysis Data,Everything just dey stress me.
Sentiment Analysis Data,Na joy full my heart today.
Sentiment Analysis Data,E too do me strong thing.
Sentiment Analysis Data,This kain weather dey make person relax.
Sentiment Analysis Data,I vex scatter yesterday.
Sentiment Analysis Data,Di way she behave pain me.
Sentiment Analysis Data,"Omo, today just be one kain."
Sentiment Analysis Data,I too like that new shoe.
Paraphrased & Augmented Sentences,"E don late, make we dey go."
Paraphrased & Augmented Sentences,"Make we dey go, time don go."
Paraphrased & Augmented Sentences,"Time don pass, make we waka."
Paraphrased & Augmented Sentences,We suppose don comot since.
Paraphrased & Augmented Sentences,We fit miss am if we no quick.
Paraphrased & Augmented Sentences,Na better time to dey move now.
Paraphrased & Augmented Sentences,"If we tarry, we no go reach."
Paraphrased & Augmented Sentences,Make we no waste time again.
Paraphrased & Augmented Sentences,Na now-now we suppose start.
Paraphrased & Augmented Sentences,Better make we start to dey go now.
