Category,Sentence_Northern_Ndebele
Grammar Core (Sentence Structures & Tenses),Ngiyahamba ekhaya namuhla.
Grammar Core (Sentence Structures & Tenses),Wayebhalela abangane incwadi njalo.
Grammar Core (Sentence Structures & Tenses),Bazaphumelela uma bezama kakhulu.
Grammar Core (Sentence Structures & Tenses),Angihambanga izolo ngenxa yemvula.
Grammar Core (Sentence Structures & Tenses),Umsebenzi wenziwa ngabafundi bonke.
Grammar Core (Sentence Structures & Tenses),Ngabe ngathenga imota engcono.
Grammar Core (Sentence Structures & Tenses),Bavame ukuvuka ekuseni kakhulu.
Grammar Core (Sentence Structures & Tenses),Akadlali phakathi kwesikolo.
Grammar Core (Sentence Structures & Tenses),Siyazama ukufunda isiNdebele nsuku zonke.
Grammar Core (Sentence Structures & Tenses),Ngizathuma incwadi kusasa ekuseni.
Conversational Data (Real-Life Dialogues & Exchanges),"— Sawubona, unjani? — Ngikhona, wena unjani?"
Conversational Data (Real-Life Dialogues & Exchanges),— Uphi uThabo? — Uhambe esibhedlela.
Conversational Data (Real-Life Dialogues & Exchanges),"— Ngicela amanzi. — Nansi, phuza."
Conversational Data (Real-Life Dialogues & Exchanges),— Uhlala kuphi? — Ngihlala eLobengula.
Conversational Data (Real-Life Dialogues & Exchanges),"— Uyahamba namhlanje? — Yebo, ngihamba ntambama."
Conversational Data (Real-Life Dialogues & Exchanges),— Uzodla ini? — Ngifuna isitshwala lenyama yenkomo.
Conversational Data (Real-Life Dialogues & Exchanges),"— Kunjani emsebenzini? — Kuyangijabulisa, sibambisana kahle."
Conversational Data (Real-Life Dialogues & Exchanges),— Udlala liphi iqembu? — Ngithanda iHighlanders.
Conversational Data (Real-Life Dialogues & Exchanges),"— Uyakwazi ukugeza izitsha? — Yebo, ngiyakwazi."
Conversational Data (Real-Life Dialogues & Exchanges),— Sengiyahamba. — Hamba kahle!
Code-Switching & Multilingualism,Ngizohamba manje because the meeting starts at 9.
Code-Switching & Multilingualism,"Mama, ngicela lunch money please."
Code-Switching & Multilingualism,"Ngiyalazi i-computer, ngiyayisebenzisa nsuku zonke."
Code-Switching & Multilingualism,Sizobonana next week ngoTuesday.
Code-Switching & Multilingualism,"Please vala iwindows, kuyabanda!"
Code-Switching & Multilingualism,"Hawu, that file is corrupt — angikwazi ukuvula!"
Code-Switching & Multilingualism,"Bathi uzobhala exam e-Monday, uyazi?"
Code-Switching & Multilingualism,Check your phone — ngithumele ama-pictures.
Code-Switching & Multilingualism,"Uthe uzohamba ngoFriday, but akashongo isikhathi."
Code-Switching & Multilingualism,Ngicela i-passcode ukuze ngingene kuWi-Fi.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ngiyacela ukuthi ujoyine umhlangano wekomidi ngo9 ekuseni.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Udokotela uzakuqala ukuhlola isiguli ngo10.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Isivumelwano sokubambisana sesayiniwe phakathi kwezinkampani zombili.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Umthetho uthi wonke umuntu unelungelo lokuvota.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Umbiko womsebenzi wenyanga uphothuliwe futhi uthunyelwe kuMphathi Omkhulu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Izinga lokusebenza labasebenzi lenyuke ngo20%.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Sidinga ukuhlolwa kwezimali ngaphambi kokuphetha isivumelwano.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Uhlelo lwesikolo luguqulwe ukuze kufundwe ngempelasonto.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Izinga lokulandelwa kwemithetho liqinisekiswa yikomiti elizimeleyo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Udokotela ucele ukuthi isiguli sihlolwe kabili ngesonto.
"Idioms, Proverbs & Cultural Expressions",Inja iyawaqeda amanzi ngolimi — ubuhlungu buyabonakala.
"Idioms, Proverbs & Cultural Expressions",Ukubona kanye kukangcono kulokuzwa kasikhombisa.
"Idioms, Proverbs & Cultural Expressions",Ihhashi alibongwa mpahleni.
"Idioms, Proverbs & Cultural Expressions",Isisu somhambi asidleli — umzila uyahlupha.
"Idioms, Proverbs & Cultural Expressions",Akukho qili lazikhotha emhlane.
"Idioms, Proverbs & Cultural Expressions",Uhlanga luyashona luyavuka.
"Idioms, Proverbs & Cultural Expressions",Ingwe idla ngamabala ayo.
"Idioms, Proverbs & Cultural Expressions",Izandla ziyagezana.
"Idioms, Proverbs & Cultural Expressions",Abantu bayakhuluma kodwa izenzo zikhuluma kakhulu.
"Idioms, Proverbs & Cultural Expressions",Akukho lula okuzala impumelelo.
Question-Answer Pairs (FAQ & Contextual Understanding),Ungubani igama lakho?
Question-Answer Pairs (FAQ & Contextual Understanding),Igama lami nguSipho.
Question-Answer Pairs (FAQ & Contextual Understanding),Uyahlala kuphi?
Question-Answer Pairs (FAQ & Contextual Understanding),Ngihlala eNkulumane.
Question-Answer Pairs (FAQ & Contextual Understanding),Ungumfundi here?
Question-Answer Pairs (FAQ & Contextual Understanding),"Yebo, ngifunda eNust."
Question-Answer Pairs (FAQ & Contextual Understanding),Uyathanda ukudla bani?
Question-Answer Pairs (FAQ & Contextual Understanding),Ngithanda ukudla isitshwala lenyama yenkukhu.
Question-Answer Pairs (FAQ & Contextual Understanding),Ngubani osakhuluma phandle?
Question-Answer Pairs (FAQ & Contextual Understanding),"NguThuli, uyaxoxa loSibahle."
Commands & Instructions (Imperative Sentences),Vula iwindi!
Commands & Instructions (Imperative Sentences),Gcina ukuthula!
Commands & Instructions (Imperative Sentences),Bhaka isinkwa!
Commands & Instructions (Imperative Sentences),Funda le ncwadi kahle.
Commands & Instructions (Imperative Sentences),Phakamisa isandla sakho uma ufuna ukukhuluma.
Commands & Instructions (Imperative Sentences),Khumbula ukuvala amanzi!
Commands & Instructions (Imperative Sentences),Ngicela upheke rice namuhla.
Commands & Instructions (Imperative Sentences),"Sebenzisa ipeni, ungasebenzisi ipensela."
Commands & Instructions (Imperative Sentences),Landa umntwana esikolweni ngo3 ntambama.
Commands & Instructions (Imperative Sentences),Nikeza uGogo amanzi abandayo.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",USipho uhambe eHarare ngoLwesine.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",UTeacher Dube ufundisa eMpopoma High School.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Ngo-2022, iHighlanders yawina inkomishi."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",UMongameli Mnangagwa wakhuluma eBulawayo.
