Category,Punjabi Sentence
Grammar Core (Sentence Structures & Tenses),ਮੈਂ ਕਲ੍ਹ ਸਕੂਲ ਗਿਆ।
Grammar Core (Sentence Structures & Tenses),ਉਹ ਕਿਤਾਬ ਪੜ੍ਹ ਰਹੀ ਹੈ।
Grammar Core (Sentence Structures & Tenses),ਤੂੰ ਰੋਜ਼ ਵਿਆਯਾਮ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ।
Grammar Core (Sentence Structures & Tenses),ਉਹ ਮੈਨੂੰ ਪਤਾ ਲਗਾਉਣ ਦਿੰਦਾ ਹੈ।
Grammar Core (Sentence Structures & Tenses),ਅਸੀਂ ਖੇਡ ਰਹੇ ਹੋਵਾਂਗੇ।
Grammar Core (Sentence Structures & Tenses),ਮੈਂ ਇਹ ਕੰਮ ਕਰ ਚੁੱਕਾ ਹਾਂ।
Grammar Core (Sentence Structures & Tenses),ਉਹ ਨਹੀਂ ਆਇਆ।
Grammar Core (Sentence Structures & Tenses),"ਜੇਕਰ ਤੁਸੀਂ ਪੜ੍ਹਾਈ ਕਰੋਗੇ, ਤਾਂ ਤੁਹਾਨੂੰ ਕਾਮਯਾਬੀ ਮਿਲੇਗੀ।"
Grammar Core (Sentence Structures & Tenses),ਉਸ ਨੇ ਇੱਕ ਨਵੀਂ ਗੱਡੀ ਖਰੀਦਣੀ ਸੀ।
Grammar Core (Sentence Structures & Tenses),ਕੀ ਤੁਸੀਂ ਇਹ ਕੰਮ ਕਰ ਸਕਦੇ ਹੋ?
Conversational Data (Real-Life Dialogues & Exchanges),ਸਤ ਸ੍ਰੀ ਅਕਾਲ! ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ?
Conversational Data (Real-Life Dialogues & Exchanges),"ਮੈਂ ਠੀਕ ਹਾਂ, ਤੁਹਾਡਾ ਦਿਨ ਕਿਵੇਂ ਬੀਤਿਆ?"
Conversational Data (Real-Life Dialogues & Exchanges),ਕਿਰਪਾ ਕਰਕੇ ਮੈਨੂੰ ਆਪਣਾ ਨੰਬਰ ਦੱਸੋ।
Conversational Data (Real-Life Dialogues & Exchanges),"ਅੱਜ ਮੌਸਮ ਬਹੁਤ ਸੁੰਦਰ ਹੈ, ਨਾ?"
Conversational Data (Real-Life Dialogues & Exchanges),ਕਿ ਤੁਸੀਂ ਕਦੇ ਦਿੱਲੀ ਗਏ ਹੋ?
Conversational Data (Real-Life Dialogues & Exchanges),ਮੈਨੂੰ ਇਹ ਫਿਲਮ ਬਹੁਤ ਪਸੰਦ ਆਈ!
Conversational Data (Real-Life Dialogues & Exchanges),ਕਿਰਪਾ ਕਰਕੇ ਮੈਨੂੰ ਦੋਣੋ ਚਾਹ ਜਾਂ ਕੌਫੀ?
Conversational Data (Real-Life Dialogues & Exchanges),ਤੁਸੀਂ ਕਿੱਥੇ ਕੰਮ ਕਰਦੇ ਹੋ?
Conversational Data (Real-Life Dialogues & Exchanges),"ਮੈਨੂੰ ਮਾਫ਼ ਕਰਨਾ, ਪਰ ਮੈਂ ਵਿਅਸਤ ਹਾਂ।"
Conversational Data (Real-Life Dialogues & Exchanges),ਅਸੀਂ ਇਸ ਮੁੱਦੇ ‘ਤੇ ਬਾਅਦ ਵਿੱਚ ਗੱਲ ਕਰੀਏ।
Code-Switching & Multilingualism,ਮੈਂ office ਚ late ਆਇਆ because traffic jam ਸੀ।
Code-Switching & Multilingualism,ਇਹ movie really interesting ਲੱਗੀ!
Code-Switching & Multilingualism,Tusi kal evening nu free ho?
Code-Switching & Multilingualism,Party super amazing ਸੀ!
Code-Switching & Multilingualism,Homework bohat difficult c yaar!
Code-Switching & Multilingualism,Tusi apna password reset kita?
Code-Switching & Multilingualism,Koi idea ni how to solve this issue!
Code-Switching & Multilingualism,Punjabi food is the best!
Code-Switching & Multilingualism,O ek shopping mall ch hai!
Code-Switching & Multilingualism,Mujhe samajh nahi aya what he meant!
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ਸਾਨੂੰ ਇਸ ਪ੍ਰੋਜੈਕਟ ਨੂੰ ਸਮੇਂ ਉੱਤੇ ਪੂਰਾ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ਮੈਂ ਤੁਹਾਡੀ ਅਰਜ਼ੀ ਦੀ ਸਮੀਖਿਆ ਕਰ ਰਿਹਾ ਹਾਂ।
