Category,Venda Sentence
Grammar Core (Sentence Structures & Tenses),Ndo vhaḓa mutakalo wavho.
Grammar Core (Sentence Structures & Tenses),U do ita zwithu zwavhuḓi mangafhani.
Grammar Core (Sentence Structures & Tenses),A thi athu u ṱavha zwavhuḓi.
Grammar Core (Sentence Structures & Tenses),Zwiṱu zwa shango zwi a shanduka.
Grammar Core (Sentence Structures & Tenses),A vho ngo mmbudza mafhungo ayo.
Grammar Core (Sentence Structures & Tenses),Vha a tshimbila nga u ṱavhanya.
Grammar Core (Sentence Structures & Tenses),Ndi nga vha thusa hani?
Grammar Core (Sentence Structures & Tenses),"Ri tshi swika, hu do vha na mutakalo."
Grammar Core (Sentence Structures & Tenses),Vhana vha khou tamba nga murahu ha nḓu.
Grammar Core (Sentence Structures & Tenses),U ḓo vha a tshi khou thoma u guda zwino.
Conversational Data (Real-Life Dialogues & Exchanges),Ndaa! Vho vuwa hani?
Conversational Data (Real-Life Dialogues & Exchanges),"Ndo vuwa zwavhuḓi, naa inwi?"
Conversational Data (Real-Life Dialogues & Exchanges),Ni khou ya hafhi?
Conversational Data (Real-Life Dialogues & Exchanges),Ndi khou ya thembelini.
Conversational Data (Real-Life Dialogues & Exchanges),Naa ni funa u wela kha tshivenda?
Conversational Data (Real-Life Dialogues & Exchanges),"Ee, ndi tshi funa vhukuma."
Conversational Data (Real-Life Dialogues & Exchanges),Ni nga nthusa na mushumo wawe?
Conversational Data (Real-Life Dialogues & Exchanges),Kha ri vhe na dzangalelo.
Conversational Data (Real-Life Dialogues & Exchanges),"Ndi a ni tenda, khotsi."
Conversational Data (Real-Life Dialogues & Exchanges),Ndi khou ṱavhanya u swika hayani.
Code-Switching & Multilingualism,Ndo vha ndisa nga kombi from town.
Code-Switching & Multilingualism,Ri do ita homework ri tshi swika.
Code-Switching & Multilingualism,Uya market musi wa fhedza lunch.
Code-Switching & Multilingualism,Ndi khou ita assignment yanga ya English.
Code-Switching & Multilingualism,A thi na data kha phone yanga.
Code-Switching & Multilingualism,Mune wa shop o ri vhudza uri o fhira.
Code-Switching & Multilingualism,Ndi khou ita download ya dzimagazine.
Code-Switching & Multilingualism,Naa u khou attend-a class ya nga matsheloni?
Code-Switching & Multilingualism,Ni fanela u complete-a form iyi.
Code-Switching & Multilingualism,Ndi a connect-a na wi-fi ya nḓu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Zwiṱu zwa mutemo zwi fanela u tewa nga vhoṱhe.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Muprofesa u do swika nga awara mbili.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Hu na dzingwahala dzine dza khou tshinyadza mbilu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tshikolo tshi khou ṱoḓa vhagudiswa vha tshikolo tsha nṱha.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mushumo uyu u ṱoḓa vhathu vha re na vhuhadzi.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kha re ṱuṱuwedze u shumiswa ha zwishumiswa zwa sikelo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Vhuphondi a vhu tendelwi nga mulayo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Muṱavhi u fanela u valelwa dzhele.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Zwithu zwi do vhuelwa nga khothe.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Vhoṱhe vha fanela u ita account na khampani.
"Idioms, Proverbs & Cultural Expressions",Tshisima a tshi alwi nga mutanda.
"Idioms, Proverbs & Cultural Expressions",Muthu u bebwa a tshi rengisa.
"Idioms, Proverbs & Cultural Expressions",U linga u fara khuhu mbili nga tshinwe tshanda.
"Idioms, Proverbs & Cultural Expressions",Lufu a lu na ndila.
"Idioms, Proverbs & Cultural Expressions",Muṱodzi a si wa ḓuvha ḽithihi.
"Idioms, Proverbs & Cultural Expressions",A hu na muthu ane a ḓihuna kha lufu.
"Idioms, Proverbs & Cultural Expressions",Tshelede i tonda maḓi.
"Idioms, Proverbs & Cultural Expressions",Muthu u linga a songo tetemela.
"Idioms, Proverbs & Cultural Expressions",Mushumo a u lingwi nga muṱodzi.
"Idioms, Proverbs & Cultural Expressions",Khotsi ndi khotsi naho e murunzi.
Question-Answer Pairs (FAQ & Contextual Understanding),Naa ni na u ḓivha nga ha Muimbi uyo?
Question-Answer Pairs (FAQ & Contextual Understanding),"Ee, ndi a mu ḓivha, o bebwa Makhado."
Question-Answer Pairs (FAQ & Contextual Understanding),Naa tshikolo tshi thoma nga awara mangafhani?
Question-Answer Pairs (FAQ & Contextual Understanding),Tshi thoma nga awara ya rathi matsheloni.
Question-Answer Pairs (FAQ & Contextual Understanding),Ni khou ita mini zwino?
Question-Answer Pairs (FAQ & Contextual Understanding),Ndi khou luga zwiḽiwa zwa mini.
Question-Answer Pairs (FAQ & Contextual Understanding),Ndi nga swika lini?
Question-Answer Pairs (FAQ & Contextual Understanding),Ni nga swika nga awara ya fumbili.
Question-Answer Pairs (FAQ & Contextual Understanding),Naa hu na mushumo une nda nga ita?
Question-Answer Pairs (FAQ & Contextual Understanding),"Ee, u nga thusa u kopa maḓi."
Commands & Instructions (Imperative Sentences),Tshimbilani nga u ṱavhanya!
Commands & Instructions (Imperative Sentences),Valani fasiḽiti iyi zwavhuḓi.
