Category,Irish Sentence
Grammar Core (Sentence Structures & Tenses),Tá an aimsir go hálainn inniu.
Grammar Core (Sentence Structures & Tenses),Bhí mé ag siúl nuair a thosaigh sé ag cur báistí.
Grammar Core (Sentence Structures & Tenses),Beidh muid ag dul chuig an trá amárach.
Grammar Core (Sentence Structures & Tenses),"Dá mbeadh níos mó ama agam, léifinn an leabhar sin."
Grammar Core (Sentence Structures & Tenses),Ní raibh sé ag súil leis an bhfreagra.
Grammar Core (Sentence Structures & Tenses),Bíodh cúram ort agus tú ag tiomáint.
Grammar Core (Sentence Structures & Tenses),Tá an scéal á insint acu anois.
Grammar Core (Sentence Structures & Tenses),Dúradh go raibh sé an-mhaith ag a phost.
Grammar Core (Sentence Structures & Tenses),An mbeidh tú anseo an tseachtain seo chugainn?
Grammar Core (Sentence Structures & Tenses),Ní dhearna mé aon rud cearr.
Conversational Data (Real-Life Dialogues & Exchanges),Dia duit! Conas atá tú?
Conversational Data (Real-Life Dialogues & Exchanges),"Tá mé go maith, agus tú féin?"
Conversational Data (Real-Life Dialogues & Exchanges),Cad é an plean don deireadh seachtaine?
Conversational Data (Real-Life Dialogues & Exchanges),"Ba mhaith liom cupán caife, le do thoil."
Conversational Data (Real-Life Dialogues & Exchanges),"Tá an aimsir an-fhuar inniu, nach bhfuil?"
Conversational Data (Real-Life Dialogues & Exchanges),Cén fáth nach dtagann tú linn?
Conversational Data (Real-Life Dialogues & Exchanges),An bhfuil aon scannáin nua ar fiú féachaint orthu?
Conversational Data (Real-Life Dialogues & Exchanges),Is breá liom an ceol seo!
Conversational Data (Real-Life Dialogues & Exchanges),Féach! Tá carr nua ag Seán.
Conversational Data (Real-Life Dialogues & Exchanges),An féidir liom cabhrú leat le rud ar bith?
Code-Switching & Multilingualism,Bhí an party an-mhaith aréir!
Code-Switching & Multilingualism,An bhfuil tú ready le dul?
Code-Switching & Multilingualism,I love an chaoi a labhraíonn tú Gaeilge!
Code-Switching & Multilingualism,Beidh mé ar líne ag an meeting ag 2pm.
Code-Switching & Multilingualism,Tá mé ag déanamh an assignment don choláiste.
Code-Switching & Multilingualism,Is maith liom an food sa bhialann nua.
Code-Switching & Multilingualism,Cén fáth nach bhfuil tú ag texting ar ais?
Code-Switching & Multilingualism,Let’s meet suas i lár na cathrach.
Code-Switching & Multilingualism,Tá sé go hálainn anseo i Spain!
Code-Switching & Multilingualism,Feicfidh mé tú later!
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tá an conradh seo bailí go dtí an bhliain seo chugainn.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Cuir do shíniú anseo, le do thoil."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ba chóir go mbeadh gach cáipéis le fáil roimh amárach.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tá an t-othar ag fáil cóireála sa bharda.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",An féidir leat an tuarascáil a sheoladh chugam?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tá an chuideachta ag fás go tapa.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tá gá le cinneadh práinneach faoi seo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Seo é mo thuairim ghairmiúil ar an ábhar.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tabharfar freagra oifigiúil an tseachtain seo chugainn.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Déan teagmháil linn más gá tuilleadh eolais.
"Idioms, Proverbs & Cultural Expressions",Ní dhéanfaidh smaoineamh maith damáiste riamh.
"Idioms, Proverbs & Cultural Expressions",Ní thagann ciall roimh aois.
"Idioms, Proverbs & Cultural Expressions",Is minic a bhris béal duine a shrón.
"Idioms, Proverbs & Cultural Expressions",Tá dhá thaobh ar gach scéal.
"Idioms, Proverbs & Cultural Expressions",Mair a chapaill agus gheobhaidh tú féar.
"Idioms, Proverbs & Cultural Expressions",Ní hé lá na gaoithe lá na scolb.
"Idioms, Proverbs & Cultural Expressions",Is fearr an tsláinte ná an táinte.
"Idioms, Proverbs & Cultural Expressions",Tá sé chomh gasta le giorria.
"Idioms, Proverbs & Cultural Expressions",Níl aon tinteán mar do thinteán féin.
"Idioms, Proverbs & Cultural Expressions",Is fearr rith maith ná drochsheasamh.
Question-Answer Pairs (FAQ & Contextual Understanding),Cén t-am a osclaíonn an siopa?
Question-Answer Pairs (FAQ & Contextual Understanding),An féidir liom ticéad a cheannach ar líne?
Question-Answer Pairs (FAQ & Contextual Understanding),Cé mhéad a chosnaíonn sé?
Question-Answer Pairs (FAQ & Contextual Understanding),An bhfuil roghanna veigeánacha ar fáil?
Question-Answer Pairs (FAQ & Contextual Understanding),Cad é an príomh-chúis leis an bhfadhb seo?
Question-Answer Pairs (FAQ & Contextual Understanding),An dtig liom bualadh leat amárach?
Question-Answer Pairs (FAQ & Contextual Understanding),Cá bhfuil an stáisiún traenach is gaire?
Question-Answer Pairs (FAQ & Contextual Understanding),Cé hé an t-údar an leabhair seo?
Question-Answer Pairs (FAQ & Contextual Understanding),An bhfuil aon imeachtaí speisialta an deireadh seachtaine seo?
Question-Answer Pairs (FAQ & Contextual Understanding),Cén bealach is fearr chun dul ann?
Commands & Instructions (Imperative Sentences),"Dún an doras, le do thoil."
