Category,Sentence (Scottish Gaelic)
Grammar Core (Sentence Structures & Tenses),Tha mi a' dol don bhùth.
Grammar Core (Sentence Structures & Tenses),Bha i a' coimhead air an dealbh.
Grammar Core (Sentence Structures & Tenses),Bidh sinn ag obair an-seo a-màireach.
Grammar Core (Sentence Structures & Tenses),Dhèanainn an obair nam biodh ùine agam.
Grammar Core (Sentence Structures & Tenses),Chaidh an leabhar a sgrìobhadh leis an sgrìobhadair ainmeil.
Grammar Core (Sentence Structures & Tenses),Nach eil thu toilichte?
Grammar Core (Sentence Structures & Tenses),Chan eil iad air am mealadh leis an latha fuar.
Grammar Core (Sentence Structures & Tenses),Tha mi air a bhith ag ionnsachadh Gàidhlig fad dà bhliadhna.
Grammar Core (Sentence Structures & Tenses),An robh thu a' cluich ball-coise a-raoir?
Grammar Core (Sentence Structures & Tenses),Càit am bi thu a' dol an ath-bhliadhna?
Conversational Data (Real-Life Dialogues & Exchanges),Ciamar a tha thu an-diugh?
Conversational Data (Real-Life Dialogues & Exchanges),"Tha mi gu math, tapadh leat!"
Conversational Data (Real-Life Dialogues & Exchanges),Càite a bheil an stèisean-trèana?
Conversational Data (Real-Life Dialogues & Exchanges),Dè an t-ainm a th' ort?
Conversational Data (Real-Life Dialogues & Exchanges),Feuch an cuidich thu mi!
Conversational Data (Real-Life Dialogues & Exchanges),A bheil thu ag iarraidh cupa tì?
Conversational Data (Real-Life Dialogues & Exchanges),"Chan eil mi cinnteach, is dòcha a-màireach."
Conversational Data (Real-Life Dialogues & Exchanges),"Tha an t-uisge ann an-diugh, nach eil?"
Conversational Data (Real-Life Dialogues & Exchanges),Càite am faigh mi bàta gu Eilean Ì?
Conversational Data (Real-Life Dialogues & Exchanges),"Feumaidh mi falbh a-nis, beannachd leat!"
Code-Switching & Multilingualism,Tha mi ag iarraidh coffee le bainne.
Code-Switching & Multilingualism,An urrainn dhut send an email a-màireach?
Code-Switching & Multilingualism,"Feumaidh mi càr ùr, my old one is broken."
Code-Switching & Multilingualism,Bha sinn air holiday ann an Alba.
Code-Switching & Multilingualism,"Fuirich ort, I need to check my phone."
Code-Switching & Multilingualism,Tha an class seo glè inntinneach!
Code-Switching & Multilingualism,Càite a bheil an best restaurant an seo?
Code-Switching & Multilingualism,An toil leat listen to music nuair a tha thu ag obair?
Code-Switching & Multilingualism,Dè an favorite book agad?
Code-Switching & Multilingualism,Tha mo charaid ag obair aig a bank ann an Glaschu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tha sinn an seo gus cùmhnantan gnìomhachais a dheasbad.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Feumaidh an t-euslainteach an cungaidh a ghabhail dà uair san latha.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tha an cùmhnant laghail air aontachadh leis an dà phàrtaidh.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Dè an clàr-ama agad airson a’ choinneamh?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tha feum air sgrìobhainnean oifigeil airson a’ ghnothach seo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Bidh an aithisg ionmhais deiseil an ath-sheachdain.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tha sinn a’ coimhead airson fuasglaidhean teicnigeach airson an duilgheadas seo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Bidh an co-labhairt a’ gabhail àite air Diardaoin.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Bu chòir dhut co-chomhairle a ghabhail ri neach-lagha mus dèan thu co-dhùnadh.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tha cùram-slàinte deatamach airson sunnd an t-sluaigh.
"Idioms, Proverbs & Cultural Expressions",Tha e coltach ri cat air a’ bhalla.
"Idioms, Proverbs & Cultural Expressions",Chan eil an t-uisge fada air falbh.
"Idioms, Proverbs & Cultural Expressions",B’ fheàrr leam cuilean na claidheamh.
