Category,Sentence_Kinshasa_French
Grammar Core,Il mange du foufou tous les jours.
Grammar Core,Nous irons au marché demain.
Grammar Core,"Si j'avais de l'argent, j'achèterais une voiture."
Grammar Core,Le livre a été écrit par un auteur congolais.
Grammar Core,"Ne parle pas trop fort, les enfants dorment."
Grammar Core,J’étais en train de préparer le repas quand tu es arrivé.
Grammar Core,"Demain, il pleuvra sûrement dans la ville."
Grammar Core,Elle n’aime pas boire du thé sans sucre.
Grammar Core,On m’a dit que la fête serait annulée.
Grammar Core,"Si tu veux réussir, travaille dur."
Conversational Data,"– Bonjour frère, ça fait longtemps ! – Oui, vraiment ! Comment va la famille ?"
Conversational Data,"– Je peux t’aider à porter ça ? – Merci, c’est gentil."
Conversational Data,"– Tu connais un bon restaurant ici ? – Oui, essayons celui-là, il a de bons plats."
Conversational Data,"– Allô ? Tu es où ? – Je suis au marché, j’achète du poisson."
Conversational Data,"– T’as fini tes devoirs ? – Pas encore, mais bientôt."
Conversational Data,"– Excuse-moi, combien ça coûte ? – 5000 francs congolais."
Conversational Data,"– On sort ce soir ? – Non, je suis trop fatigué."
Conversational Data,"– Tu regardes quoi ? – Un film congolais, c’est super !"
Conversational Data,"– Fais attention sur la route ! – T’inquiète, je gère."
Conversational Data,"– Quel temps fait-il aujourd’hui ? – Il fait très chaud, prends de l’eau !"
Code-Switching & Multilingualism,"Eh, mon frère, aujourd’hui c’est full stress, hein !"
Code-Switching & Multilingualism,Tu as checké le mail que je t’ai envoyé ?
Code-Switching & Multilingualism,"Mama, ce repas est trop delicious, merci !"
Code-Switching & Multilingualism,On va au shop acheter du pain et du beurre.
Code-Switching & Multilingualism,"Pardon, excuse-moi, je peux te poser une question ?"
Code-Switching & Multilingualism,Il faut send le message avant 18h.
Code-Switching & Multilingualism,J’ai need un peu d’aide avec ce travail.
Code-Switching & Multilingualism,C’est quoi l’update sur notre projet ?
Code-Switching & Multilingualism,Je vais printer les documents après la réunion.
Code-Switching & Multilingualism,Le boss veut un feedback ASAP.
Formal & Professional Speech,Veuillez soumettre votre rapport avant vendredi.
Formal & Professional Speech,"Madame, pouvez-vous me donner un rendez-vous ?"
Formal & Professional Speech,Le patient doit suivre strictement les indications du médecin.
Formal & Professional Speech,"Dans ce contrat, nous stipulons les conditions générales d’utilisation."
Formal & Professional Speech,La réunion avec le directeur aura lieu à 10h précises.
Formal & Professional Speech,Ce document doit être signé par toutes les parties concernées.
Formal & Professional Speech,Le conseil d’administration a approuvé le projet.
Formal & Professional Speech,Nous vous remercions pour votre collaboration.
Formal & Professional Speech,L’entreprise investit dans les énergies renouvelables.
Formal & Professional Speech,L’analyse des données montre une progression significative.
"Idioms, Proverbs & Cultural Expressions",Un rat ne peut pas accoucher d’un éléphant.
"Idioms, Proverbs & Cultural Expressions",On ne traverse pas la rivière avec un seul pied.
"Idioms, Proverbs & Cultural Expressions","Quand la chèvre broute, elle n’oublie jamais où elle attache la corde."
"Idioms, Proverbs & Cultural Expressions",Celui qui a mangé le piment connaît bien son piquant.
"Idioms, Proverbs & Cultural Expressions",On ne met pas deux crocodiles dans la même rivière.
"Idioms, Proverbs & Cultural Expressions",Le chemin du marché n’est jamais long pour celui qui a faim.
"Idioms, Proverbs & Cultural Expressions",Un arbre sans racines ne peut pas tenir debout.
"Idioms, Proverbs & Cultural Expressions",Le poisson pourrit toujours par la tête.
"Idioms, Proverbs & Cultural Expressions",Un tambour creux fait beaucoup de bruit.
"Idioms, Proverbs & Cultural Expressions",À chaque oiseau son nid est beau.
Question-Answer Pairs,Quel est le plat traditionnel du Congo ? – Le pondu avec du poisson fumé.
Question-Answer Pairs,Combien coûte ce billet ? – 10 000 francs congolais.
Question-Answer Pairs,Quelle est la capitale de la RDC ? – C’est Kinshasa.
Question-Answer Pairs,Quel âge as-tu ? – J’ai 25 ans.
Question-Answer Pairs,"Où habites-tu ? – À Bandalungwa, près du marché."
Question-Answer Pairs,Qui a gagné le match hier ? – L’AS Vita Club !
Question-Answer Pairs,"Tu préfères le thé ou le café ? – Le café, bien sûr !"
