Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Mwen té ka manjé on bon soup a zòdi.
Grammar Core (Sentence Structures & Tenses),Nou ké alé an vil pli ta.
Grammar Core (Sentence Structures & Tenses),Yo té fini travay-la avan midi.
Grammar Core (Sentence Structures & Tenses),I té ké pòté on rad blan si i té ni tan.
Grammar Core (Sentence Structures & Tenses),Nou pa té sa wè sé zwazo-la.
Grammar Core (Sentence Structures & Tenses),Kay-la té fèt dèpi lanné pasé.
Grammar Core (Sentence Structures & Tenses),Ou ké kapab vini si lapli pa tonbé.
Grammar Core (Sentence Structures & Tenses),Yo té ka palé dousman pou pa déranjé moun.
Grammar Core (Sentence Structures & Tenses),Mwen té ja konnèt sa davwa lontan.
Grammar Core (Sentence Structures & Tenses),Nou té ké rété si lakay si pa té ni soley.
Conversational Data (Real-Life Dialogues & Exchanges),"Bonjou Man Lili, kijan ou yé jòdi-a?"
Conversational Data (Real-Life Dialogues & Exchanges),"Mwen byen, mé ou menm?"
Conversational Data (Real-Life Dialogues & Exchanges),Ou vlé an ti kafe avan nou pati?
Conversational Data (Real-Life Dialogues & Exchanges),"Wi, mèsi, mé mwen pli anvi thé."
Conversational Data (Real-Life Dialogues & Exchanges),"An nou alé, sé tan pou rivé lékòl."
Conversational Data (Real-Life Dialogues & Exchanges),"Tchimbé rèd, nou ka fè sa ansanm."
Conversational Data (Real-Life Dialogues & Exchanges),"Mwen pa konprann sa ou di la, rédi ankò silvouplé."
Conversational Data (Real-Life Dialogues & Exchanges),"Sé on bèl jou pou plaj, pa vwè?"
Conversational Data (Real-Life Dialogues & Exchanges),Ou wè ti fim-la yè swa? I té bon anpil!
Conversational Data (Real-Life Dialogues & Exchanges),"Wi, mwen kriyé-w jòdi-a pou nou palé an ti moman."
Code-Switching & Multilingualism,"Mwen ka travay today, pa ni tan pou an vakans."
Code-Switching & Multilingualism,Ou sav ki lè meeting-la ka koumansé?
Code-Switching & Multilingualism,Dis mwa nou té an Paris pou an project travay.
Code-Switching & Multilingualism,"Mwen pa tro fan di fast-food, mé sometimes sa fè konvenyans."
Code-Switching & Multilingualism,Nou té ka listen mizik Caribbean tou lajounen.
Code-Switching & Multilingualism,"An plis, yo di nou must submit sa avan vendredi."
Code-Switching & Multilingualism,I di mwen ‘good job’ apré sé travay-la.
Code-Switching & Multilingualism,Ou té wè show-la on Netflix? I té doubé an kréyòl!
Code-Switching & Multilingualism,Nou ka mix pawòl kréyòl é fransé san menm réfléchi.
Code-Switching & Multilingualism,"Sa sé real Guadeloupean vibe la, you know?"
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nou swété on kolaborasyon solid ant dé kompany-la.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Doktè-la té konsèy mwen pou pran plis repo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tribinal-la ka ouvè chak madi a nèf è.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Manadjè-la mandé an rapò sou pwogrè travay-la.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kontra-la dwé siyen avan fen mwa-la.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nou ka sèvi ek on sistèm modèn pou analiz doné.
