Category,Sentence
Grammar Core (Sentence Structures & Tenses),من دیروز به مدرسه رفتم.
Grammar Core (Sentence Structures & Tenses),او در حال مطالعه یک کتاب جدید است.
Grammar Core (Sentence Structures & Tenses),ما فردا به سینما خواهیم رفت.
Grammar Core (Sentence Structures & Tenses),اگر باران ببارد، چترم را می‌آورم.
Grammar Core (Sentence Structures & Tenses),نامه توسط او نوشته شد.
Grammar Core (Sentence Structures & Tenses),من همیشه صبح زود از خواب بیدار می‌شوم.
Grammar Core (Sentence Structures & Tenses),او داشت با دوستش صحبت می‌کرد.
Grammar Core (Sentence Structures & Tenses),آن‌ها سال گذشته به سفر رفتند.
Grammar Core (Sentence Structures & Tenses),باید زودتر این کار را انجام دهی.
Grammar Core (Sentence Structures & Tenses),ای کاش می‌توانستم به کنسرت بروم.
Conversational Data (Real-Life Dialogues & Exchanges),سلام، امروز چطوری؟
Conversational Data (Real-Life Dialogues & Exchanges),می‌تونم یه قهوه سفارش بدم؟
Conversational Data (Real-Life Dialogues & Exchanges),چه فیلمی رو پیشنهاد می‌کنی ببینم؟
Conversational Data (Real-Life Dialogues & Exchanges),دیروز تو کجا بودی؟ خیلی دنبالت گشتم.
Conversational Data (Real-Life Dialogues & Exchanges),می‌تونی به من کمک کنی چمدونم رو ببرم؟
Conversational Data (Real-Life Dialogues & Exchanges),وااای! این خیلی گرونه! میشه تخفیف بدین؟
Conversational Data (Real-Life Dialogues & Exchanges),خب، پس ساعت ۵ می‌بینمت؟
Conversational Data (Real-Life Dialogues & Exchanges),ممنون که بهم گفتی، خیلی لطف کردی.
Conversational Data (Real-Life Dialogues & Exchanges),الو، شما تماس گرفتید؟
Conversational Data (Real-Life Dialogues & Exchanges),وااای، این آهنگ مورد علاقمه!
Code-Switching & Multilingualism,من امروز یه meeting دارم.
Code-Switching & Multilingualism,بریم یه café بگیریم؟
Code-Switching & Multilingualism,اوه مای گاد، این خیلی خنده‌داره!
Code-Switching & Multilingualism,امشب یه party دعوت شدم.
Code-Switching & Multilingualism,باید یه email به مدیر بفرستم.
Code-Switching & Multilingualism,این خیلی cool به نظر میاد.
Code-Switching & Multilingualism,بریم یه restaurant خوب پیدا کنیم.
Code-Switching & Multilingualism,Wow، این فوق‌العادست!
Code-Switching & Multilingualism,یادم رفت passwordم رو!
Code-Switching & Multilingualism,می‌خوام یه trip برم اروپا.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",لطفاً قرارداد را امضا کنید و برگردانید.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",بیمار نیاز به بررسی فوری پزشک دارد.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",لطفاً گزارش مالی را تا فردا ارسال کنید.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",جلسه‌ی امروز ساعت ۱۰ صبح در سالن کنفرانس برگزار می‌شود.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ما متعهد به رعایت تمام استانداردهای کیفی هستیم.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",لطفاً فرم درخواست را تکمیل کنید.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",طبق قوانین جدید، این سند باید تایید رسمی شود.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",نتایج آزمایشات نشان می‌دهد که بیمار در وضعیت پایداری است.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ما در حال بررسی پیشنهادات برای بهبود عملکرد سازمان هستیم.
