Category,Ladin Sentence
Grammar Core,Mi ai jugà al bal ier.
Grammar Core,Mi stò jugant al bal adum.
Grammar Core,Mi jugara al bal doma.
Grammar Core,Mi vödesse jugà al bal.
Grammar Core,El bal l'é gni jugà per me.
Grammar Core,Mi ai mai jugà al bal.
Grammar Core,Mi jugaria al bal se i avess temp.
Grammar Core,"Se mi avess jugà meg, avess guadagnà."
Grammar Core,Mi jug para chel cianter.
Grammar Core,Mi ai jugà al bal e ai guadagnà!
Conversational Data,Bon di! Co stast?
Conversational Data,Ben grazia! E tu?
Conversational Data,Mi ai bëra fom.
Conversational Data,Volc beivre na caffè?
Conversational Data,Va ben!
Conversational Data,"Ue, che figh! No, gràcies."
Conversational Data,"Uel, me pa pias!"
Conversational Data,Ti che ne dis?
Conversational Data,Chël l'é da cor!
Conversational Data,Ai fat na gran bèla de sira!
Code-Switching & Multilingualism,Mi stò studiando per un 'exam' de matematica.
Code-Switching & Multilingualism,Aj che mi ai 'deadline' doma!
Code-Switching & Multilingualism,El 'weekend' passà l'é stat stupend!
Code-Switching & Multilingualism,Mi preferis la 'pizza' che la pasta.
Code-Switching & Multilingualism,Te völes 'join' per na bira?
Code-Switching & Multilingualism,Chel l'é un 'cool' film!
Code-Switching & Multilingualism,Che 'good luck' per l'esam!
Code-Switching & Multilingualism,Aj che i anc pa fat la 'homework'.
Code-Switching & Multilingualism,El 'boss' l'é tant 'strict'.
Code-Switching & Multilingualism,Dema mi vai 'shopping'.
Formal & Professional Speech,Bëgn benvegni a nosta reunjon.
Formal & Professional Speech,L'document l'é pront per la firma.
Formal & Professional Speech,I spetùn la To conferma oficiala.
Formal & Professional Speech,L'contrat l'é valid fin al 2026.
Formal & Professional Speech,T'aves de respetà la scadenza.
Formal & Professional Speech,Nòssa cumpagnia ofre servisc de qualità.
Formal & Professional Speech,"Per quala chësta domand, pides infurmazions."
Formal & Professional Speech,Duvign respectar la confidenzialità.
Formal & Professional Speech,El budget l'és de 5000 euro.
Formal & Professional Speech,L'analisa l'é gnüda realisada.
"Idioms, Proverbs & Cultural Expressions",Ai na luna de carton.
"Idioms, Proverbs & Cultural Expressions",L'erba l'é semper plü verda de l'altra banda.
"Idioms, Proverbs & Cultural Expressions",Chel l'é un gat ch'i podaria pettinar.
"Idioms, Proverbs & Cultural Expressions",No sté 'metter l'ai su la polenta'.
"Idioms, Proverbs & Cultural Expressions",Faz le cos con la testa e no con la man.
"Idioms, Proverbs & Cultural Expressions",Al ragn faz la tela con patienza.
"Idioms, Proverbs & Cultural Expressions",Mai sté 'buttar l'acqua con l'bambin'.
"Idioms, Proverbs & Cultural Expressions",Pits cun pits i fa na gropa.
"Idioms, Proverbs & Cultural Expressions",L'amor l'é plü dolc che na mela.
"Idioms, Proverbs & Cultural Expressions",Parler con i mur l'é inutil.
Question-Answer Pairs,Co se dis 'hello' in Ladin?
Question-Answer Pairs,Bon di!
Question-Answer Pairs,Che ora l'é?
Question-Answer Pairs,L'é les sie e mes.
Question-Answer Pairs,Dove podon andèr per magnèr?
Question-Answer Pairs,Te podares andèr a l'osteria.
Question-Answer Pairs,T'aves na bira?
Question-Answer Pairs,"Sì, ai na Pils."
Question-Answer Pairs,Quant costa chël?
Question-Answer Pairs,Costa vint euro.
Commands & Instructions,Prenda na carta e scriva!
Commands & Instructions,Aspeta un moment!
Commands & Instructions,Doma torner pì svelt!
Commands & Instructions,Va a la posta!
Commands & Instructions,Studia pì diligent!
Commands & Instructions,Podes saver plü?
Commands & Instructions,No sté beivre trof!
Commands & Instructions,Duvign respectar la fil!
Commands & Instructions,Aiuteme cun chel!
Commands & Instructions,No sté parlar adum!
Named Entity Recognition,Maria l'é andada a Bolzano.
Named Entity Recognition,El Mont Pelmo l'é alt.
Named Entity Recognition,La Dolomites l'é bela.
Named Entity Recognition,L'Italia l'é na granda nazion.
Named Entity Recognition,En 2024 ai viagià a Roma.
Named Entity Recognition,La cumpagnia l'é Lufthansa.
Named Entity Recognition,L'università l'é a Padova.
Named Entity Recognition,Sant'Ursus l'é un santu.
Named Entity Recognition,El festival l'é in Agost.
Named Entity Recognition,L'osteria l'é chi vicin.
Sentiment Analysis,Mi sent fort content!
Sentiment Analysis,"Che dispiacer, ai perdü!"
Sentiment Analysis,Chel l'é un desaster!
Sentiment Analysis,Mi ai na granda gioia.
Sentiment Analysis,Mi sun tant nervos!
Sentiment Analysis,Chel film l'é stupend!
Sentiment Analysis,Mi sun indifferent a chël.
Sentiment Analysis,Chel l'é orribile!
Sentiment Analysis,Mi sun plü che felice!
Sentiment Analysis,L'é tant frustrant!
Paraphrased & Augmented Sentences,Mi ai beivre na bira.
Paraphrased & Augmented Sentences,Mi sun bever na bira.
Paraphrased & Augmented Sentences,Mi ai jantà al ristorante.
Paraphrased & Augmented Sentences,Mi ai magnà fora.
Paraphrased & Augmented Sentences,Mi ai dormü ben.
Paraphrased & Augmented Sentences,Mi ai fat na bela dormida.
Paraphrased & Augmented Sentences,Chel l'é bel!
Paraphrased & Augmented Sentences,Chel l'é stupend!
Paraphrased & Augmented Sentences,El bal l'é gran.
Paraphrased & Augmented Sentences,El bal l'é enòrme.
