Category,Xitsonga_Sentence
Grammar Core (Sentence Structures & Tenses),Ndzi famba ensin’wini.
Grammar Core (Sentence Structures & Tenses),U ta dyondza swinene mundzuku.
Grammar Core (Sentence Structures & Tenses),A hi rhanganga hi fika.
Grammar Core (Sentence Structures & Tenses),"Ndzi ta rhandza ku pfuna, loko ndzi nga swi kota."
Grammar Core (Sentence Structures & Tenses),A swi vulavuriwi kahle.
Grammar Core (Sentence Structures & Tenses),Ndzi dyondze xikolo xa le henhla.
Grammar Core (Sentence Structures & Tenses),Va le ku lunghiseleleni ntirho.
Grammar Core (Sentence Structures & Tenses),Ndzi nga dyondzi nchumu eka xikolo lexi.
Grammar Core (Sentence Structures & Tenses),N’wana u komberiwe ku hlawula buku.
Grammar Core (Sentence Structures & Tenses),Ndzi ta va ndzi ri karhi ndzi tirhisa Xitsonga nkarhi hinkwawo.
Conversational Data (Real-Life Dialogues & Exchanges),— U famba kwini? — Ndzi ya ekaya.
Conversational Data (Real-Life Dialogues & Exchanges),— Wa tshama kwihi? — Ndzi tshama eGiyani.
Conversational Data (Real-Life Dialogues & Exchanges),"— Xewani, ndzi kombela ku vulavula na n’wina."
Conversational Data (Real-Life Dialogues & Exchanges),"— Wa rhandza swakudya leswi? — Ina, ngopfu-ngopfu mavele!"
Conversational Data (Real-Life Dialogues & Exchanges),"— Ndzi rivalela, ndzi hlundzukile."
Conversational Data (Real-Life Dialogues & Exchanges),— Xana u tirha kwihi? — Ndzi tirha eholweni ya masipala.
Conversational Data (Real-Life Dialogues & Exchanges),"— Ndzi twa ku karhateka, n'wina ke? — Na mina ndzi titwa hi ndlela leyi."
Conversational Data (Real-Life Dialogues & Exchanges),— U dyondza yini? — Ndzi dyondza swa vumaki.
Conversational Data (Real-Life Dialogues & Exchanges),— Ndzi rhandza ku vulavula na wena nkarhi hinkwawo. — Mina na swona!
Conversational Data (Real-Life Dialogues & Exchanges),— U ni malembe mangani? — Ndzi ni malembe ya 25.
Code-Switching & Multilingualism,Ndzi vulavula Xitsonga na English loko ndzi le xikolweni.
Code-Switching & Multilingualism,Wa nghena meeting leyi online hi Zoom?
Code-Switching & Multilingualism,Ndzi lava ku request-a leave ya 2 days.
Code-Switching & Multilingualism,Ndzi famba hi taxi ku ya eJoburg.
Code-Switching & Multilingualism,Ndzi rhandza ku nghena class ya science.
Code-Switching & Multilingualism,Ndzi fanele ku complete-a project ya mina.
Code-Switching & Multilingualism,Ndzi tirhisa laptop ku endla homework ya mathematics.
Code-Switching & Multilingualism,Ndzi hlayisa documents ya mina eGoogle Drive.
Code-Switching & Multilingualism,Ndzi fanele ku download-a PDF leyi.
Code-Switching & Multilingualism,Ndzi swi tiva leswaku u nghena eka Zoom call namuntlha.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ndzi kombela ku yimisiwa ntirho lowu hi mhaka ya ku tlhariha ka ntirho.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ku na ntirho wa mpimo wa le henhla lowu lavaka tinhlawulo ta nkoka.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ndzi vulavurisana na vatirhi eka projeke ya masipala.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Hi ta tirhisa data ya vana ku endla xiboho lexi fambelanaka.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",N'wana u laveka ku vona dokodela hi xihatla.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ku lulamisiwa ka masangu ehovisi ya rihanyo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ndzi ta tshama na hosi leswaku hi burisana hi timfanelo ta vaakindhawu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ndzi lulamisile xitatimende xa mfumo hi leswi endlaka.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Va tirha eka projeke ya technology ya le ka ndhawu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ndzi tirhisa software ku lulamisa leswi.
"Idioms, Proverbs & Cultural Expressions","Mbyana yi sungula hi ku tsutsuma, yi hetelela hi ku tsokombela."
"Idioms, Proverbs & Cultural Expressions",Loko u dya u nga tsemi xandla lexi ku dyaka ha xona.
