Category,Ewe Sentence
Grammar Core (Sentence Structures & Tenses),Metsɔ gbɔna o.
Grammar Core (Sentence Structures & Tenses),Wòava le kɔsiɖa la me.
Grammar Core (Sentence Structures & Tenses),Mègale be mèdzɔ o.
Grammar Core (Sentence Structures & Tenses),Wògblɔ be wòakɔ kpɔ ŋutsu la.
Grammar Core (Sentence Structures & Tenses),Metsɔ nu le ɖe sia ɖe.
Grammar Core (Sentence Structures & Tenses),Wògblɔ be yènyɛ tsɔnu.
Grammar Core (Sentence Structures & Tenses),Mèɖɔ agbalẽ o.
Grammar Core (Sentence Structures & Tenses),Wòava ɖo ŋusẽɖe la.
Grammar Core (Sentence Structures & Tenses),Yèanyra nu gɔme o.
Grammar Core (Sentence Structures & Tenses),Mèwɔ ŋkɔwo le agbe sia me.
Conversational Data (Real-Life Dialogues & Exchanges),"– Efo, wòle gake? – Mele dzidzɔ!"
Conversational Data (Real-Life Dialogues & Exchanges),"– Nàɖu nu? – Yoo, míɖu."
Conversational Data (Real-Life Dialogues & Exchanges),"– Wòanye lã? – Yoo, wòanye lã gake nyuie."
Conversational Data (Real-Life Dialogues & Exchanges),– Elabena? – Elabena míabia ta.
Conversational Data (Real-Life Dialogues & Exchanges),"– Mívã nu? – Ee, nàvã!"
Conversational Data (Real-Life Dialogues & Exchanges),– Gake mèɖu o. – Mèkpɔ be yèwo katã tsɔnu.
Conversational Data (Real-Life Dialogues & Exchanges),"– Wòe nye mí? – Yoo, nye mí ɖe dɔ."
Conversational Data (Real-Life Dialogues & Exchanges),"– Le agbe sia nye, mèkpɔ akpa o. – Va, miaɖu ta."
Conversational Data (Real-Life Dialogues & Exchanges),– Nétsɔ ɖe afi ma? – Màtsɔ.
Conversational Data (Real-Life Dialogues & Exchanges),"– Aŋlɔ meɖe be míegblɔ? – Yoo, míegblɔ Eʋegbe."
Code-Switching & Multilingualism,Metsɔ taxi kple driver bubu.
Code-Switching & Multilingualism,"Ɖe school me, wògblɔ French be ɖe classroom."
Code-Switching & Multilingualism,Menu la kpɔ be order yi ready.
Code-Switching & Multilingualism,Wòyɛ mechanic gake wòkpɔ nya English.
Code-Switching & Multilingualism,Nàtsɔ fan na wòle cool.
Code-Switching & Multilingualism,Meɖe appointment le 3pm.
Code-Switching & Multilingualism,Kpɔ notice board la le office me.
Code-Switching & Multilingualism,Wotsɔ WhatsApp message ɖe nu me.
Code-Switching & Multilingualism,"Le church la, wòɖo English song be Hallelujah."
Code-Switching & Multilingualism,Meɖu rice kple sauce.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Wòtsɔ agbale be wòava le meeting la.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nye lawyer la gblɔ be nu sia menye nunana o.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Le hospital la, doctor la ƒo ɖe patient la ŋu."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Yètsɔ document kple signature na director la.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Wòtsɔ invoice na client la.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Meɖe contract la le wò xɔme.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nàkpɔ report la ɖe table la dzi.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Le workshop la, facilitator la gblɔ Eʋegbe."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Yèawɔ policy na office la.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Wòtsɔ prescription be wòadɔ agbalẽ me.
"Idioms, Proverbs & Cultural Expressions",Agbalẽ meɖe ŋutɔ le kpɔ dzi o.
"Idioms, Proverbs & Cultural Expressions","Tɔgbi kple mãwã ne nyà gbe be, ɖe le ɖeka me."
"Idioms, Proverbs & Cultural Expressions","Afi si ɖe kuku me, menye lã o."
"Idioms, Proverbs & Cultural Expressions",Aʋu meɖe dzɔ̃ me kpɔe ŋu o.
"Idioms, Proverbs & Cultural Expressions",Kɔklo ɖe ɖe ŋu ɖe be wònɔ agbe.
"Idioms, Proverbs & Cultural Expressions",Nusi wòkpɔ le edzi menye nyuie o.
"Idioms, Proverbs & Cultural Expressions",Zã ƒe nɔvi mètsɔ nu vɔ̃ o.
"Idioms, Proverbs & Cultural Expressions",Nu bubu kple agbe nye dɔwɔ.
"Idioms, Proverbs & Cultural Expressions",Xɔsedodo mekpɔ ŋkɔ o.
"Idioms, Proverbs & Cultural Expressions",Tomewo dze agbalẽ dzi.
Question-Answer Pairs (FAQ & Contextual Understanding),– Nùtsɔ gbɔna? – Meɖɔ agbalẽ me.
Question-Answer Pairs (FAQ & Contextual Understanding),"– Nàva fia mí le afitɔ? – Yoo, matɔ."
Question-Answer Pairs (FAQ & Contextual Understanding),– Wòava afi sia? – Mava wòle abe ɖeka.
Question-Answer Pairs (FAQ & Contextual Understanding),– Elabena míele school? – Gake mítsɔ le dɔwɔ.
Question-Answer Pairs (FAQ & Contextual Understanding),– Nusi wòkpɔ be yènyra? – Wòkpɔ be menye dzidzɔ o.
Question-Answer Pairs (FAQ & Contextual Understanding),"– Wòtsɔ gome le afima? – Yoo, matɔ."
Question-Answer Pairs (FAQ & Contextual Understanding),"– Mìegblɔ be míeɖu nu? – Ee, nàɖu."
