Category,Sentence
Grammar Core (Sentence Structures & Tenses),அவன் பள்ளிக்குச் சென்றான்.
Grammar Core (Sentence Structures & Tenses),நான் என் வீட்டில் இருந்தேன்.
Grammar Core (Sentence Structures & Tenses),நாங்கள் நாளை கடற்கரைக்கு போகிறோம்.
Grammar Core (Sentence Structures & Tenses),அவர்கள் பசிக்கு உணவளிக்க வேண்டும்.
Grammar Core (Sentence Structures & Tenses),நீ எழுந்திருக்க வேண்டும்.
Grammar Core (Sentence Structures & Tenses),"மழை வந்தால், நாம் வீட்டில் இருப்போம்."
Grammar Core (Sentence Structures & Tenses),பழம் வெருகிவிட்டது.
Grammar Core (Sentence Structures & Tenses),நான் இன்று வேலைக்குச் செல்லவில்லை.
Grammar Core (Sentence Structures & Tenses),அவன் செய்த தவறு மன்னிக்க முடியாது.
Grammar Core (Sentence Structures & Tenses),காலை எழுந்தவுடன் நீர் குடிக்க வேண்டும்.
Conversational Data (Real-Life Dialogues & Exchanges),வணக்கம்! நீ எப்படி இருக்கிறாய்?
Conversational Data (Real-Life Dialogues & Exchanges),நான் நன்றாக இருக்கிறேன். நீ?
Conversational Data (Real-Life Dialogues & Exchanges),இன்று வேலை எப்படி போயிற்று?
Conversational Data (Real-Life Dialogues & Exchanges),நீ என்ன சாப்பிட்டாய்?
Conversational Data (Real-Life Dialogues & Exchanges),இந்தப் புத்தகம் நன்றாக இருக்கிறதா?
Conversational Data (Real-Life Dialogues & Exchanges),நீ எப்போது வீட்டிற்கு வந்தாய்?
Conversational Data (Real-Life Dialogues & Exchanges),நான் பஸ் நிறுத்தத்தில் காத்திருக்கிறேன்.
Conversational Data (Real-Life Dialogues & Exchanges),"நீ அழைத்தால், நான் பதில் தருவேன்."
Conversational Data (Real-Life Dialogues & Exchanges),"இன்றைக்கு சூடாக இருக்கிறது, அல்லவா?"
Conversational Data (Real-Life Dialogues & Exchanges),நீ இப்போது எங்கே இருக்கிறாய்?
Code-Switching & Multilingualism,இந்தப் problemக்கு என்ன solution?
Code-Switching & Multilingualism,நீ onlineலா book பண்ணுவேனா?
Code-Switching & Multilingualism,எனக்கு Tamil-English mix பண்ணி பேச தெரியும்.
Code-Switching & Multilingualism,இது heavy rain மாதிரி feel ஆகுது.
Code-Switching & Multilingualism,Meeting முடிந்த பிறகு call பண்ணலாமா?
Code-Switching & Multilingualism,நீ approval வாங்கினாயா for the project?
Code-Switching & Multilingualism,நான் already அதை check பண்ணிவிட்டேன்.
Code-Switching & Multilingualism,இந்த design superஆ இருக்கு!
Code-Switching & Multilingualism,Weekend plan என்ன? Chill பண்ணலாமா?
Code-Switching & Multilingualism,தமிழ் script எளிதாக type செய்ய முடியுமா?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",இந்தக் கோரிக்கை உங்களது மேலதிகாரிக்கு அனுப்பப்பட்டுள்ளது.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",தயவுசெய்து உங்கள் விபரங்களை பூர்த்தி செய்யவும்.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",மருத்துவமனை வருகை நேரம் காலை 9 மணி முதல்.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",இந்தக் கணக்கு அனுமதிக்கப்படவில்லை.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",உங்கள் விண்ணப்பம் செயலாக்கத்தில் உள்ளது.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",நீங்கள் எந்த மருத்துவக் குறைபாடுகளைக் கொண்டிருக்கிறீர்கள்?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",இந்த திட்டத்தின் நிதி மதிப்பு உயர்ந்தது.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",உங்கள் குறைகள் தீர்க்கப்படும்.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",இந்தக் கடிதத்தை உங்களது மேலாளருக்கு அனுப்பவும்.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",தயவுசெய்து இந்தக் கோப்புகளை சரிபார்க்கவும்.
"Idioms, Proverbs & Cultural Expressions",நீர் முடியாமல் போகிறது.
