Category,Sentence (Kyrgyz)
Grammar Core (Sentence Structures & Tenses),Мен китеп окуйм.
Grammar Core (Sentence Structures & Tenses),Ал кечээ базарга барды.
Grammar Core (Sentence Structures & Tenses),Биз эртең саякаттайбыз.
Grammar Core (Sentence Structures & Tenses),"Эгерде убактым болсо, мен жардам берем."
Grammar Core (Sentence Structures & Tenses),Китептер сатылууда.
Grammar Core (Sentence Structures & Tenses),Сен келдиңби?
Grammar Core (Sentence Structures & Tenses),Менин досум азыр китеп окуп жатат.
Grammar Core (Sentence Structures & Tenses),Алар мектепке бара алышпайт.
Grammar Core (Sentence Structures & Tenses),Жаңы мыйзам кабыл алынды.
Grammar Core (Sentence Structures & Tenses),Биз көп китеп окуйбуз.
Conversational Data (Real-Life Dialogues & Exchanges),Салам! Кантип жатасың?
Conversational Data (Real-Life Dialogues & Exchanges),Бүгүн аба ырайы кандай?
Conversational Data (Real-Life Dialogues & Exchanges),Кечээ кечинде кино көрдүңбү?
Conversational Data (Real-Life Dialogues & Exchanges),Жумушуң кандай өтүп жатат?
Conversational Data (Real-Life Dialogues & Exchanges),Бир кофе ала аласызбы?
Conversational Data (Real-Life Dialogues & Exchanges),Сага жардам бере аламбы?
Conversational Data (Real-Life Dialogues & Exchanges),Канча саатта жолугушабыз?
Conversational Data (Real-Life Dialogues & Exchanges),Сенин сүйүктүү тамагың эмне?
Conversational Data (Real-Life Dialogues & Exchanges),Жакшы эс алып жатасыңбы?
Conversational Data (Real-Life Dialogues & Exchanges),"Мени кечир, кечигип калдым."
Code-Switching & Multilingualism,"Мен үйгө кетип жатам, но I’ll call you later."
Code-Switching & Multilingualism,Кечээ shopping кылганга бардым.
Code-Switching & Multilingualism,"Биз бирге отуруп чай ичкенбиз, then we watched a movie."
Code-Switching & Multilingualism,Бул жерде Wi-Fi барбы?
Code-Switching & Multilingualism,"Мааниси жок, just forget it."
Code-Switching & Multilingualism,Менин schedule абдан busy.
Code-Switching & Multilingualism,Биз азыр ready эмеспиз.
Code-Switching & Multilingualism,Кантип айтсаң болот? Let me think.
Code-Switching & Multilingualism,Бүгүн жумуштун deadline бар.
Code-Switching & Multilingualism,Бул нерсе important эмес.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Урматтуу мырзалар жана айымдар, конференция башталды."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Бул мыйзам боюнча уруксат берилбейт.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Дарылануудан мурун доктур менен кеңешиңиз.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Сиздин резюмеңиз бизге жетти.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Маалыматтарды толтуруңуз.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Жыйын эртең саат 10до болот.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Биз келишимди карап жатабыз.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Урматтоо менен, компания жетекчиси."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Сот процесси эртең башталат.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Келишим мыйзамдуу күчкө ээ.
"Idioms, Proverbs & Cultural Expressions","Жети өлчөп, бир кес."
"Idioms, Proverbs & Cultural Expressions",Жамгырдан кийинки күн жылуу болот.
"Idioms, Proverbs & Cultural Expressions","Кудайдан корк, адамдан уял."
"Idioms, Proverbs & Cultural Expressions","Арыстан болуп бир күн жашагандан көрө, кой болуп миң жыл жашайын."
"Idioms, Proverbs & Cultural Expressions","Ишти баштаганча ойло, баштагандан кийин бүтүр."
"Idioms, Proverbs & Cultural Expressions",Бөлүнгөндү бөрү жейт.
"Idioms, Proverbs & Cultural Expressions","Карышкырды канча бакпа, ал токойду эңсейт."
"Idioms, Proverbs & Cultural Expressions",Бийик чокуга чыгуу оңой эмес.
"Idioms, Proverbs & Cultural Expressions",Ийгилик аракетке байланыштуу.
"Idioms, Proverbs & Cultural Expressions",Сабыр түбү сары алтын.
Question-Answer Pairs (FAQ & Contextual Understanding),Кантип паспорт алсам болот?
Question-Answer Pairs (FAQ & Contextual Understanding),Мектепке каттоо качан башталат?
Question-Answer Pairs (FAQ & Contextual Understanding),Бул смартфон канча турат?
Question-Answer Pairs (FAQ & Contextual Understanding),Кайсы жол менен барсам болот?
Question-Answer Pairs (FAQ & Contextual Understanding),Мен кантип арыз толтурсам болот?
Question-Answer Pairs (FAQ & Contextual Understanding),Сиздин кеңсе кайда жайгашкан?
Question-Answer Pairs (FAQ & Contextual Understanding),Бул продукт тууралуу көбүрөөк маалымат бере аласызбы?
Question-Answer Pairs (FAQ & Contextual Understanding),Сиздин жумуш тажрыйбаңыз барбы?
Question-Answer Pairs (FAQ & Contextual Understanding),Кайсы күндөр дем алыш болуп саналат?
Question-Answer Pairs (FAQ & Contextual Understanding),Бул маселе боюнча кимге кайрылсам болот?
Commands & Instructions (Imperative Sentences),Бул документке кол коюңуз.
Commands & Instructions (Imperative Sentences),"Келгиле, жолугалы."
Commands & Instructions (Imperative Sentences),Мага суу алып келчи.
Commands & Instructions (Imperative Sentences),Телефонду үнсүз кылыңыз.
Commands & Instructions (Imperative Sentences),Маалыматтарды толтуруңуз.
Commands & Instructions (Imperative Sentences),Жолду кесип өтпөңүз.
Commands & Instructions (Imperative Sentences),Башкы директорго кирүүгө уруксат сураңыз.
Commands & Instructions (Imperative Sentences),Менин тамагымды алып келиңиз.
Commands & Instructions (Imperative Sentences),Бул маалыматты текшериңиз.
Commands & Instructions (Imperative Sentences),Керек болсо жардам сураңыз.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Айжан Бишкеекте жашайт.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Кыргызстандын борбору Бишкек.
