Category,Sentence (Javanese)
Grammar Core,Aku mangan sega.
Grammar Core,Dheweke bakal lunga menyang pasar.
Grammar Core,Kowe wis maca buku mau?
Grammar Core,Aku ora ngerti yen dheweke teka.
Grammar Core,Buku iku bakal diwaca dening siswa.
Grammar Core,Apa kowe ora bakal dolan dina Senin?
Grammar Core,"Nalika aku bocah, aku kerep dolanan ing kebon."
Grammar Core,"Yen aku sugih, aku bakal tuku omah gedhe."
Grammar Core,Aku mesthi mangan sadurunge lunga.
Grammar Core,Aku ora ngerti apa dheweke isih kerja.
Conversational Data,"Halo, kepiye kabarmu dina iki?"
Conversational Data,"Aku arep menyang warung, apa kowe butuh apa-apa?"
Conversational Data,"Dadi, apa rencanamu akhir minggu iki?"
Conversational Data,"Matur nuwun, aku seneng banget pitulunganmu."
Conversational Data,"Lho, kok ora ngomong saka awal?"
Conversational Data,"Duh, aku lali nggawa dompetku!"
Conversational Data,"Ojok kuatir, aku bakal nulungi kowe."
Conversational Data,Serius? Aku ora percaya yen kedadian kaya ngono!
Conversational Data,Kowe krungu warta anyar bab pawartos iku?
Conversational Data,"Ayo kita lunga bareng, luwih nyenengake!"
Code-Switching & Multilingualism,Aku bakal tuku roti lan juice ing supermarket.
Code-Switching & Multilingualism,Dheweke ora ngerti yen 'meeting' wis direschedule.
Code-Switching & Multilingualism,Minggu ngarep aku bakal holiday karo kulawarga.
Code-Switching & Multilingualism,Aku pengin upgrade laptopku supaya luwih cepet.
Code-Switching & Multilingualism,Ayo kita planning trip kanggo liburan iki.
Code-Switching & Multilingualism,"Aku ngerti iku, tapi aku perlu validasi saka bos."
Code-Switching & Multilingualism,Online learning nggawe kita luwih fleksibel.
Code-Switching & Multilingualism,Dokumen iki kudu di-submit sadurunge deadline.
Code-Switching & Multilingualism,Sampeyan bisa contact customer service kanggo pitulungan.
Code-Switching & Multilingualism,"Iki project penting, kita kudu brainstorm bareng."
Formal & Professional Speech,"Miturut hukum, perusahaan kudu tundhuk marang peraturan anyar."
Formal & Professional Speech,Dheweke bakal menehi presentasi babagan strategi anyar.
Formal & Professional Speech,"Sesuai karo kebijakan kantor, kabeh kudu on-time."
Formal & Professional Speech,Kita kudu nyiapake laporan sadurunge rapat esuk.
Formal & Professional Speech,Proposal iki wis diverifikasi dening tim manajemen.
Formal & Professional Speech,Sampeyan bisa hubungi departemen HR kanggo info luwih lanjut.
Formal & Professional Speech,Email resmi bakal dikirim ing pungkasan minggu iki.
Formal & Professional Speech,Workshop iki bakal nambah katrampilan profesional panjenengan.
Formal & Professional Speech,Silakan ngisi formulir lan kirim sadurunge deadline.
Formal & Professional Speech,Matur nuwun kanggo partisipasi ing diskusi iki.
"Idioms, Proverbs & Cultural Expressions",Ana cacing ana dawa.
"Idioms, Proverbs & Cultural Expressions",Sikilmu kaya lampus!
"Idioms, Proverbs & Cultural Expressions","Yen ora mlebu luang, ora bakal metu guyang."
"Idioms, Proverbs & Cultural Expressions",Ngoyak glugu tinumpuk.
"Idioms, Proverbs & Cultural Expressions",Aja nggawa srengenge menyang peken.
"Idioms, Proverbs & Cultural Expressions","Nyilih enthung, bali ulet."
"Idioms, Proverbs & Cultural Expressions",Udan salah mongso.
"Idioms, Proverbs & Cultural Expressions",Kuwi kayadene mangan bubur dingklik.
"Idioms, Proverbs & Cultural Expressions",Aja nyandhak wit randu.
"Idioms, Proverbs & Cultural Expressions",Mlayu tanpa tongkat.
