Category,Sentence (Serbian)
Grammar Core (Sentence Structures & Tenses),Ja sam učio srpski prošle godine.
Grammar Core (Sentence Structures & Tenses),Ona će kupiti novi auto sledeće nedelje.
Grammar Core (Sentence Structures & Tenses),Mi bismo otišli da je bilo lepo vreme.
Grammar Core (Sentence Structures & Tenses),Nisam znao da dolaziš danas.
Grammar Core (Sentence Structures & Tenses),Knjiga je pročitana u jednom dahu.
Grammar Core (Sentence Structures & Tenses),Učimo gramatiku svakog dana.
Grammar Core (Sentence Structures & Tenses),Da li si već ručao?
Grammar Core (Sentence Structures & Tenses),Oni su se smejali šali.
Grammar Core (Sentence Structures & Tenses),Ti bi trebalo da ideš kod lekara.
Grammar Core (Sentence Structures & Tenses),"Ako budem imao vremena, svratiću do tebe."
Conversational Data (Real-Life Dialogues & Exchanges),Ćao! Kako si danas?
Conversational Data (Real-Life Dialogues & Exchanges),"Dobro sam, hvala. A ti?"
Conversational Data (Real-Life Dialogues & Exchanges),Gde ćemo na kafu posle posla?
Conversational Data (Real-Life Dialogues & Exchanges),Može u onaj kafić kod parka.
Conversational Data (Real-Life Dialogues & Exchanges),"Čekaj me ispred zgrade, stižem za pet minuta."
Conversational Data (Real-Life Dialogues & Exchanges),"Ej, jesi gledao onaj novi film sinoć?"
Conversational Data (Real-Life Dialogues & Exchanges),"Jesam, bio je baš dobar!"
Conversational Data (Real-Life Dialogues & Exchanges),"Izvini, kasnim malo, bio je gužva u saobraćaju."
Conversational Data (Real-Life Dialogues & Exchanges),"Nema veze, i ja sam tek stigao."
Conversational Data (Real-Life Dialogues & Exchanges),"Super, ajde onda da krenemo!"
Code-Switching & Multilingualism,Juče sam bio u šopingu i kupio sam jaknu on sale.
Code-Switching & Multilingualism,Moramo da schedule-ujemo meeting za sutra.
Code-Switching & Multilingualism,"On je baš cool lik, uvek je relaxed."
Code-Switching & Multilingualism,Kupila sam neke snacks za večeras.
Code-Switching & Multilingualism,Ajde da se nađemo kod Starbucks-a u 6.
Code-Switching & Multilingualism,Prezentacija je bila totalno awesome.
Code-Switching & Multilingualism,"Ne mogu sada, imam deadline do kraja dana."
Code-Switching & Multilingualism,Let's grab some lunch posle sastanka.
Code-Switching & Multilingualism,Bila je to baš chill atmosfera.
Code-Switching & Multilingualism,Zaboravio sam da reply-ujem na mejl.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Poštovani, ovim putem Vam dostavljamo ugovor na uvid."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Zakazali smo sastanak sa klijentom za petak u 10 časova.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Molimo Vas da popunite formular i vratite ga u roku od tri dana.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Pacijent je stabilno i pod stalnim nadzorom.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Predlažemo da se projekat podeli na više faza.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",U dokumentu su navedeni svi potrebni podaci.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Primili smo Vaš zahtev i trenutno ga obrađujemo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Prema važećem zakonu, neophodno je dostaviti potvrdu o prebivalištu."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Operacija je prošla bez komplikacija.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Sistem je uspešno ažuriran i spreman za upotrebu.
"Idioms, Proverbs & Cultural Expressions","Ko rano rani, dve sreće grabi."
"Idioms, Proverbs & Cultural Expressions",Nije zlato sve što sija.
"Idioms, Proverbs & Cultural Expressions",Bolje vrabac u ruci nego golub na grani.
"Idioms, Proverbs & Cultural Expressions",Pametan popušta.
"Idioms, Proverbs & Cultural Expressions","Ko nema u glavi, ima u nogama."
"Idioms, Proverbs & Cultural Expressions","Gde ima dima, ima i vatre."
"Idioms, Proverbs & Cultural Expressions",Svako čudo za tri dana.
"Idioms, Proverbs & Cultural Expressions",Preko trnja do zvezda.
"Idioms, Proverbs & Cultural Expressions",Tiha voda breg roni.
"Idioms, Proverbs & Cultural Expressions",U zdravom telu zdrav duh.
Question-Answer Pairs (FAQ & Contextual Understanding),Kako se zoveš? — Zovem se Marko.
Question-Answer Pairs (FAQ & Contextual Understanding),Gde si rođen? — U Novom Sadu.
Question-Answer Pairs (FAQ & Contextual Understanding),Kada počinje sastanak? — U devet ujutru.
Question-Answer Pairs (FAQ & Contextual Understanding),Ko je pobedio na utakmici? — Crvena zvezda.
Question-Answer Pairs (FAQ & Contextual Understanding),Zašto si zakasnio? — Zbog saobraćajne gužve.
Question-Answer Pairs (FAQ & Contextual Understanding),Šta radiš večeras? — Idem u bioskop.
Question-Answer Pairs (FAQ & Contextual Understanding),Koliko košta karta? — Pet stotina dinara.
Question-Answer Pairs (FAQ & Contextual Understanding),Da li ima slobodnih mesta? — Ima nekoliko.
Question-Answer Pairs (FAQ & Contextual Understanding),Kakav je bio film? — Bio je odličan.
Question-Answer Pairs (FAQ & Contextual Understanding),Hoćemo li na ručak zajedno? — Naravno!
Commands & Instructions (Imperative Sentences),"Zatvori prozor, molim te."
Commands & Instructions (Imperative Sentences),Uključi svetlo u hodniku.
Commands & Instructions (Imperative Sentences),Pogledaj ovaj izveštaj.
Commands & Instructions (Imperative Sentences),Ne zaboravi da poneseš kišobran.
Commands & Instructions (Imperative Sentences),Pošalji mi poruku kad stigneš.
Commands & Instructions (Imperative Sentences),Otvori vrata i pusti goste.
Commands & Instructions (Imperative Sentences),Isključi računar pre nego što odeš.
Commands & Instructions (Imperative Sentences),Popuni obrazac do kraja dana.
Commands & Instructions (Imperative Sentences),Pazi kako voziš!
Commands & Instructions (Imperative Sentences),"Pričaj tiše, beba spava."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ana je otišla u Beograd prošlog jula.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Google je najavio novu funkciju.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Marija radi u bolnici u Subotici.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Sastanak je zakazan za 12. april.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Petar Petrović je poznati slikar.
