Category,Thai Sentence
Grammar Core (Sentence Structures & Tenses),ฉันกินข้าวทุกวัน
Grammar Core (Sentence Structures & Tenses),เขากำลังเดินไปโรงเรียน
Grammar Core (Sentence Structures & Tenses),เธอจะไปเที่ยวญี่ปุ่นพรุ่งนี้
Grammar Core (Sentence Structures & Tenses),พวกเขาเคยไปเชียงใหม่เมื่อปีที่แล้ว
Grammar Core (Sentence Structures & Tenses),ถ้าฝนตก เราจะอยู่บ้าน
Grammar Core (Sentence Structures & Tenses),ข้าวถูกหุงโดยแม่ของฉัน
Grammar Core (Sentence Structures & Tenses),เขาไม่เคยเล่นฟุตบอลมาก่อน
Grammar Core (Sentence Structures & Tenses),ฉันหวังว่าเขาจะมาพรุ่งนี้
Grammar Core (Sentence Structures & Tenses),เด็กๆ กำลังเรียนภาษาไทยในห้องเรียน
Grammar Core (Sentence Structures & Tenses),ฉันจะไม่ทำผิดอีกต่อไป
Conversational Data (Real-Life Dialogues & Exchanges),สวัสดีครับ วันนี้เป็นยังไงบ้าง?
Conversational Data (Real-Life Dialogues & Exchanges),ไม่ค่อยดีเลย ฉันปวดหัวนิดหน่อย
Conversational Data (Real-Life Dialogues & Exchanges),คุณอยากไปดูหนังกับฉันไหม?
Conversational Data (Real-Life Dialogues & Exchanges),โอเค เจอกันที่ห้างตอนหกโมงเย็นนะ
Conversational Data (Real-Life Dialogues & Exchanges),ช่วยแนะนำร้านอาหารอร่อยๆ หน่อยได้ไหม?
Conversational Data (Real-Life Dialogues & Exchanges),ฉันคิดว่าร้านนี้ดีที่สุดในเมืองเลย
Conversational Data (Real-Life Dialogues & Exchanges),ขอโทษนะ คุณช่วยถ่ายรูปให้หน่อยได้ไหม?
Conversational Data (Real-Life Dialogues & Exchanges),แน่นอนครับ ยืนตรงนี้นะครับ
Conversational Data (Real-Life Dialogues & Exchanges),อากาศวันนี้ร้อนมากเลยเนอะ
Conversational Data (Real-Life Dialogues & Exchanges),ใช่แล้ว แดดแรงมากเลย
Code-Switching & Multilingualism,ฉันชอบกิน sushi มากเลย
Code-Switching & Multilingualism,เดี๋ยวไป meeting ตอนบ่าย
Code-Switching & Multilingualism,ขอ Wi-Fi password หน่อยได้ไหม?
Code-Switching & Multilingualism,เธอเคยไป New York หรือยัง?
Code-Switching & Multilingualism,คืนนี้เราจะไป party กันที่ไหน?
Code-Switching & Multilingualism,ขอ check bill ด้วยค่ะ
Code-Switching & Multilingualism,เจอกันที่ Starbucks นะ
Code-Switching & Multilingualism,เพื่อนของฉันเป็น software developer
Code-Switching & Multilingualism,อาหารที่นี่ดู fancy มาก
Code-Switching & Multilingualism,ดู Netflix กันคืนนี้ไหม?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",เรียนท่านผู้จัดการ ข้าพเจ้าใคร่ขอเสนอแนะ
"Formal & Professional Speech (Business, Legal, Medical, Technical)",โปรดส่งอีเมลรายละเอียดโครงการมาที่อีเมลนี้
