Category,Sentence (Bulgarian)
Code-Switching & Multilingualism,Беше super забавно на партито!
Code-Switching & Multilingualism,Вчера гледахме много cool филм.
Code-Switching & Multilingualism,Днес ще направим brainstorming за новия проект.
Code-Switching & Multilingualism,Какъв е deadline-ът за този доклад?
Code-Switching & Multilingualism,"Може ли да изпратиш този имейл, please?"
Code-Switching & Multilingualism,Нуждая се от feedback за тази задача.
Code-Switching & Multilingualism,Трябва да fix-на този код.
Code-Switching & Multilingualism,Тя има нов smartphone.
Code-Switching & Multilingualism,Ще отида до store-а след работа.
Code-Switching & Multilingualism,Ще се видим в mall-а утре.
Commands & Instructions (Imperative Sentences),Донесете ми документите.
Commands & Instructions (Imperative Sentences),"Затворете вратата, моля."
Commands & Instructions (Imperative Sentences),Изключете телефона си по време на срещата.
Commands & Instructions (Imperative Sentences),Кажете ми истината.
Commands & Instructions (Imperative Sentences),"Моля, попълнете този формуляр."
Commands & Instructions (Imperative Sentences),Напишете доклада до утре.
Commands & Instructions (Imperative Sentences),Оставете багажа тук.
Commands & Instructions (Imperative Sentences),Отговорете на въпроса ми.
Commands & Instructions (Imperative Sentences),Седнете тук и изчакайте.
Commands & Instructions (Imperative Sentences),Следвайте инструкциите внимателно.
Conversational Data (Real-Life Dialogues & Exchanges),"Здравей, как си днес?"
Conversational Data (Real-Life Dialogues & Exchanges),"Извинете, къде е автобусната спирка?"
Conversational Data (Real-Life Dialogues & Exchanges),Искаш ли да излезем за кафе?
Conversational Data (Real-Life Dialogues & Exchanges),Как беше денят ти?
Conversational Data (Real-Life Dialogues & Exchanges),Какво мислиш за този филм?
Conversational Data (Real-Life Dialogues & Exchanges),Какво правиш този уикенд?
Conversational Data (Real-Life Dialogues & Exchanges),Може ли да ми кажеш къде е най-близкото кафе?
Conversational Data (Real-Life Dialogues & Exchanges),Може ли да ми помогнеш с този проблем?
Conversational Data (Real-Life Dialogues & Exchanges),Обичам да се разхождам в парка вечер.
Conversational Data (Real-Life Dialogues & Exchanges),Ще дойдеш ли на партито в петък?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Бих искал да уговоря среща с адвокат.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Болницата предлага спешна медицинска помощ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Вие сте поканени на годишната конференция по маркетинг.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Докладът съдържа важни икономически анализи.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Имаме нужда от допълнителна информация за проекта.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Моля, подпишете този договор."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Пациентът има високо кръвно налягане и трябва да се следи.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Този продукт има двегодишна гаранция.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Фирмата ни търси опитен програмист.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Юридическите документи трябва да бъдат нотариално заверени.
Grammar Core (Sentence Structures & Tenses),Аз имам нов телефон.
Grammar Core (Sentence Structures & Tenses),Аз чета книга всеки ден.
Grammar Core (Sentence Structures & Tenses),"Ако беше учил, щеше да знае отговора."
Grammar Core (Sentence Structures & Tenses),Вчера видях приятеля си.
Grammar Core (Sentence Structures & Tenses),Децата играеха в парка.
Grammar Core (Sentence Structures & Tenses),Книгата беше прочетена от мен.
Grammar Core (Sentence Structures & Tenses),Къде ще бъдеш следващата седмица?
Grammar Core (Sentence Structures & Tenses),Той ще отиде на работа утре.
Grammar Core (Sentence Structures & Tenses),Тя не иска да говори с никого.
