Category,Somali Sentence
Grammar Core,Wiilku wuu ciyaaray shalay.
Grammar Core,Gabadhu waxay akhrinaysaa buug hadda.
Grammar Core,Barnaamijku wuu shaqayn doonaa berrito.
Grammar Core,"Haddii roob da’o, waan joogi doonaa guriga."
Grammar Core,Ardaydu ma samaynin layliskoodii.
Grammar Core,Shaqada waxaa la qabtay shalay.
Grammar Core,"Haddaad shaqeyso, lacagtaada waad kasban doontaa."
Grammar Core,Waan jeclahay inaan luuqado barto.
Grammar Core,"Haddii aad caafimaad leedahay, waad faraxsan tahay."
Grammar Core,Wuxuu lahaa guri weyn oo qurux badan.
Conversational Data,Maxaad samaynaysaa caawa?
Conversational Data,"Haye, ma ii diyaarineysaa shaah?"
Conversational Data,Miyaad aragtay buuggii aan doonayay?
Conversational Data,"Haa, waan tegayaa suuqa goor dhow."
Conversational Data,Sidee tahay saaxiib? Waan ku waayey!
Conversational Data,"Waan ka xumahay, dib ayaan kuu soo wici doonaa."
Conversational Data,Waa maxay qorshahaaga axadda?
Conversational Data,Xalay cunto wanaagsan ayaan cunay!
Conversational Data,"I sug daqiiqad, wicitaan ayaan helayaa."
Conversational Data,"Haddii aad rabto caawimaad, ii sheeg."
Code-Switching & Multilingualism,Ma fahamtay waxa loo yaqaan 'Artificial Intelligence'?
Code-Switching & Multilingualism,Shaqadayda waa software developer.
Code-Switching & Multilingualism,"Waxaan rabaa inaan order sameeyo, fadlan ii sheeg menu-ga."
Code-Switching & Multilingualism,Ma haysaa charger-ka iPhone-ka?
Code-Switching & Multilingualism,Event-kan waxaa lagu qaban doonaa Villa Somalia.
Code-Switching & Multilingualism,Meeting-ka berri subax ayaan imaan doonaa.
Code-Switching & Multilingualism,Bank transfer ma sameyn karaa?
Code-Switching & Multilingualism,Halkan waxaa lagu isticmaalaa free Wi-Fi.
Code-Switching & Multilingualism,Dukaankaas aad ayuu u expensive yahay.
Code-Switching & Multilingualism,Casharka maanta wuxuu ahaa physics iyo chemistry.
Formal & Professional Speech,Fadlan buuxi foomkan si aad u hesho oggolaanshahaaga.
Formal & Professional Speech,Shirkaddani waxay bixisaa adeegyo tayo sare leh.
Formal & Professional Speech,Daraasaddan waxay muujinaysaa in cilmi-baarista ay muhiim tahay.
Formal & Professional Speech,Fadlan nala soo xiriir haddii aad su’aalo qabto.
Formal & Professional Speech,Dhaqaalaha waddanku wuu kobcayaa sanadkan.
Formal & Professional Speech,Qareenku wuxuu sharraxay xeerka cusub.
Formal & Professional Speech,Fadlan sug ilaa aad loogu yeero.
Formal & Professional Speech,Baaritaan caafimaad ayaad mari doontaa.
Formal & Professional Speech,Mushaharkaagu wuxuu ku xiran yahay waxqabadkaaga.
Formal & Professional Speech,Sharciyadu waa in si sax ah loo raaco.
"Idioms, Proverbs & Cultural Expressions",Aqoon la’aan waa iftiin la’aan.
"Idioms, Proverbs & Cultural Expressions",Dadku waa labo: mid wax barta iyo mid wax timaada.
"Idioms, Proverbs & Cultural Expressions","Libaax aan cadho lahayn, wuxuu noqonayaa bisad."
"Idioms, Proverbs & Cultural Expressions",Dhirta waa midabka nolosha.
"Idioms, Proverbs & Cultural Expressions",Gacmo wadajir bay wax ku gooyaan.
"Idioms, Proverbs & Cultural Expressions",Nin la arag iyo nin la sugaaba isma oga.
