Category,Sentence_Luxembourgish
Grammar Core (Sentence Structures & Tenses),Ech hunn d'Buch gelies.
Grammar Core (Sentence Structures & Tenses),Si wäert geschwënn heemgoen.
Grammar Core (Sentence Structures & Tenses),Mir géife komme wann et net reent.
Grammar Core (Sentence Structures & Tenses),Hien huet net vill Zäit gehat.
Grammar Core (Sentence Structures & Tenses),D’Kanner ginn an d'Schoul all Moien.
Grammar Core (Sentence Structures & Tenses),D’Zäit gouf verluer.
Grammar Core (Sentence Structures & Tenses),Hat hie gär Kaffi gedronk?
Grammar Core (Sentence Structures & Tenses),"Wann ech Zäit hunn, liesen ech e Buch."
Grammar Core (Sentence Structures & Tenses),Si waren um 8 Auer ukomm.
Grammar Core (Sentence Structures & Tenses),D’Rechnung gëtt all Mount bezuelt.
Conversational Data (Real-Life Dialogues & Exchanges),Salut! Wéi geet et dir?
Conversational Data (Real-Life Dialogues & Exchanges),Ech hunn haut vill Aarbecht.
Conversational Data (Real-Life Dialogues & Exchanges),Wëlls de e Kaffi?
Conversational Data (Real-Life Dialogues & Exchanges),"Jo gären, merci!"
Conversational Data (Real-Life Dialogues & Exchanges),Wat hues de gëschter gemaach?
Conversational Data (Real-Life Dialogues & Exchanges),Ech war am Kino mam Tom.
Conversational Data (Real-Life Dialogues & Exchanges),Ass et de Moien kal?
Conversational Data (Real-Life Dialogues & Exchanges),"Jo, ech hunn mäi Mantel misse mat huelen."
Conversational Data (Real-Life Dialogues & Exchanges),Komm mir ginn e Spadséiergang maachen.
Conversational Data (Real-Life Dialogues & Exchanges),Kleng Paus? Ech brauch eng Tëschenzäit!
Code-Switching & Multilingualism,Ech ginn elo an de Supermarché shoppen.
Code-Switching & Multilingualism,Hues de meng Keys gesinn?
Code-Switching & Multilingualism,"D’Meeting ass um 3 Auer, right?"
Code-Switching & Multilingualism,Ech hu meng Hausaufgaben net gemaach well ech war busy.
Code-Switching & Multilingualism,"Mir ginn spéider e Film kucken, okay?"
Code-Switching & Multilingualism,"D'Zäit flitt, especially wanns de Spaass hues!"
Code-Switching & Multilingualism,Komm mir maachen e chillen Dag haut.
Code-Switching & Multilingualism,Ech muss mäi Laptop oplueden fir meng Class online.
Code-Switching & Multilingualism,"Dat ass net fair, you know?"
Code-Switching & Multilingualism,"Meng Mamm kacht haut Pasta, yummy!"
"Formal & Professional Speech (Business, Legal, Medical, Technical)",De Client huet d’Fakture per E-Mail geschéckt.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",D’Kontrakt gëtt fir eng Dauer vun zwee Joer ënnerschriwwen.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",D’Doktesch huet eng nei Behandlung proposéiert.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Den Uwendungsdatum ass den éischten Januar.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",All Mataarbechter muss de Sécherheetsinstruktiounen nokommen.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",D’Resultater vum Test ginn den Owend publizéiert.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",D’Reklamatioun gouf no enger Iwwerpréiwung akzeptéiert.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mir mussen eng technesch Inspektioun organiséieren.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Déi juristesch Prozedur ass nach amgaang.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",D’Entreprise entwéckelt en neit System fir Dateverschlësselung.
"Idioms, Proverbs & Cultural Expressions",Et ass net alles Gold wat glënzt.
"Idioms, Proverbs & Cultural Expressions",Hien ass ëmmer um Sprong.
"Idioms, Proverbs & Cultural Expressions",Si huet de Kapp an de Wolleken.
"Idioms, Proverbs & Cultural Expressions",Besser eng Mooss voll wéi eng Scheffel verluer.
"Idioms, Proverbs & Cultural Expressions",De Fréien Vugel fänkt d’Wierm.
"Idioms, Proverbs & Cultural Expressions",Dat ass wéi d’Kachkéip iwwer d’Feier werfen.
"Idioms, Proverbs & Cultural Expressions",Et geet duer wéi d’Fauscht op d’Aa.
"Idioms, Proverbs & Cultural Expressions",Hien dréit d’Welt op de Schëlleren.
"Idioms, Proverbs & Cultural Expressions",Et ass wéi d'Seesaw vum Liewen.
"Idioms, Proverbs & Cultural Expressions",Déi Kaz léisst sech net méi am Sak kafen.
Question-Answer Pairs (FAQ & Contextual Understanding),Wat sinn d’Ouvertureszäite vum Musée?
Question-Answer Pairs (FAQ & Contextual Understanding),De Musée ass all Dag op vun 10 bis 18 Auer.
Question-Answer Pairs (FAQ & Contextual Understanding),Wéi kënnt een op d’Uni Lëtzebuerg?
Question-Answer Pairs (FAQ & Contextual Understanding),Ech huele meeschtens den Zuch bis Belval.
Question-Answer Pairs (FAQ & Contextual Understanding),Wat kascht eng Dageskaart?
Question-Answer Pairs (FAQ & Contextual Understanding),Eng Dageskaart kascht 5 Euro.
Question-Answer Pairs (FAQ & Contextual Understanding),Kann ech meng Reservatioun änneren?
Question-Answer Pairs (FAQ & Contextual Understanding),"Jo, bis 24 Stonnen am Viraus."
Question-Answer Pairs (FAQ & Contextual Understanding),Wéi eng Zorte vu Brout hutt dir?
Question-Answer Pairs (FAQ & Contextual Understanding),"Mir hu Weesbrout, Roggen a Vollkorn."
Commands & Instructions (Imperative Sentences),Maach d’Dier zou!
Commands & Instructions (Imperative Sentences),Klick hei fir weiderzegoen.
Commands & Instructions (Imperative Sentences),Lies d’Instruktiounen virsiichteg.
Commands & Instructions (Imperative Sentences),Ruff den Dokter un!
Commands & Instructions (Imperative Sentences),"Gëff mir d’Fläsch Waasser, w.e.g."
Commands & Instructions (Imperative Sentences),Schalt d’Luuchten aus wanns de fort gees.
Commands & Instructions (Imperative Sentences),Ziel bis zéng!
Commands & Instructions (Imperative Sentences),Kommt all op Zäit!
Commands & Instructions (Imperative Sentences),Benotz dengem eegene Benotzernumm.
Commands & Instructions (Imperative Sentences),Stell dech hannen an d’Rei!
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Jean-Claude ass gëschter op Lëtzebuerg komm.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",D’Post huet d’Päck den 3. Mäerz geliwwert.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Meng Aarbecht ass bei der Spuerkeess.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",D’Stad Esch huet e neit Schwämmbad gebaut.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",D’EU huet eng nei Regelung verëffentlecht.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mir fueren am Summer op Berlin.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",D’UNICEF hëlleft Kanner op der ganzer Welt.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Den Alex huet de Marathon zu Paräis gelaf.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",D’Bank BIL huet hir Zënsen erhéicht.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",De Premierminister huet d’Gesetz ënnerschriwwen.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ech si sou frou haut!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Dat war eng traureg Nouvelle.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ech si wierklech enttäuscht vum Resultat.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),D’Show war absolut fantastesch!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Ech mengen, dat war net fair."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Dëst Iessen ass extrem lecker!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ech hu mech ganz eleng gefillt.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Wéi schéin et hei ass!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Dëst Buch war zimlech langweileg.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Hien ass ëmmer sou positiv!
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ech si midd.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ech sinn ausgepaust.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Meng Energie ass fort.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ech brauchen eng Paus.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ech fille mech net gutt.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ech si bal ageschlof.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Meng Aen maachen zou.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ech kann net méi laang dru schaffen.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ech sinn net méi fäeg ze konzentréieren.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ech hu genuch fir haut.
